dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	e27e47ee3909	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-03	64	1					-27	-27	-27	1			1	0.008531566411803184			0.008531566411803184				100	1			1					1.8382352941176472			1.8867924528301887	163610	11721177	6.4	32.7
ecdc/worldwide	8f389304f8d1	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-10	71	8					-20	-20	-20	2			2	0.01706313282360637			0.01706313282360637				100	1			1	100			100	1.8382352941176472			1.8867924528301887	163610	11721177	6.4	32.7
ecdc/worldwide	da881434c3aa	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-11	72	9					-19	-19	-19	5			5	0.04265783205901592			0.04265783205901592				100	3			3	150			150	5.514705882352941			5.660377358490567	163610	11721177	6.4	32.7
ecdc/worldwide	73f81807ef93	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-12	73	10					-18	-18	-18	7			7	0.05972096488262228			0.05972096488262228				100	2			2	40			40	3.6764705882352944			3.7735849056603774	163610	11721177	6.4	32.7
ecdc/worldwide	1d869edf5f56	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-13	74	11	1				-17	-17	-17	13			13	0.11091036335344139			0.11091036335344139				100	6			6	85.71428571428571			85.71428571428571	11.029411764705882			11.320754716981133	163610	11721177	6.4	32.7
ecdc/worldwide	0cc45883065b	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-14	75	12	2				-16	-16	-16	16			16	0.13650506258885095			0.13650506258885095				100	3			3	23.076923076923077			23.076923076923077	5.514705882352941			5.660377358490567	163610	11721177	6.4	32.7
ecdc/worldwide	8af01482f1c9	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-16	77	14	4				-14	-14	-14	18			18	0.1535681954124573			0.1535681954124573				100	2			2	12.5			12.5	3.6764705882352944			3.7735849056603774	163610	11721177	6.4	32.7
ecdc/worldwide	f5ba329b07b7	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-17	78	15	5				-13	-13	-13	20			20	0.17063132823606367			0.17063132823606367				100	2			2	11.11111111111111			11.11111111111111	3.6764705882352944			3.7735849056603774	163610	11721177	6.4	32.7
ecdc/worldwide	dd7d66429424	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-18	79	16	6				-12	-12	-12	24			24	0.20475759388327638			0.20475759388327638				100	4			4	20			20	7.352941176470589			7.547169811320755	163610	11721177	6.4	32.7
ecdc/worldwide	28945d7766ea	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-19	80	17	7				-11	-11	-11	29			29	0.24741542594229232			0.24741542594229232				100	5			5	20.833333333333332			20.833333333333332	9.191176470588236			9.433962264150944	163610	11721177	6.4	32.7
ecdc/worldwide	b2afc58a1358	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-20	81	18	8				-10	-10	-10	39			39	0.3327310900603242			0.3327310900603242				100	10			10	34.48275862068966			34.48275862068966	18.38235294117647			18.867924528301888	163610	11721177	6.4	32.7
ecdc/worldwide	1682ae203f4c	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-21	82	19	9				-9	-9	-9	54	1		53	0.4607045862373719	0.008531566411803184		0.4521730198255687		1.8518518518518516		98.14814814814815	15	1		14	38.46153846153846			35.8974358974359	27.573529411764707	41.66666666666667		26.41509433962264	163610	11721177	6.4	32.7
ecdc/worldwide	d3897edcb13f	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-22	83	20	10				-8	-8	-8	60	1		59	0.511893984708191	0.008531566411803184		0.5033624182963878		1.6666666666666667		98.33333333333333	6			6	11.11111111111111			11.320754716981131	11.029411764705882			11.320754716981133	163610	11721177	6.4	32.7
ecdc/worldwide	e4f36409b7f5	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-23	84	21	11				-7	-7	-7	75	3		72	0.6398674808852388	0.025594699235409548		0.6142727816498292		4		96	15	2		13	25	200		22.033898305084747	27.573529411764707	83.33333333333334		24.528301886792452	163610	11721177	6.4	32.7
ecdc/worldwide	f1e151e46a2d	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-24	85	22	12				-6	-6	-6	89	3		86	0.7593094106504833	0.025594699235409548		0.7337147114150738		3.3707865168539324		96.62921348314607	14			14	18.666666666666668			19.444444444444443	25.73529411764706			26.41509433962264	163610	11721177	6.4	32.7
ecdc/worldwide	53349839b83b	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-25	86	23	13	1			-5	-5	-5	114	3		111	0.9725985709455629	0.025594699235409548		0.9470038717101534		2.631578947368421		97.36842105263158	25			25	28.089887640449437			29.069767441860463	45.95588235294118			47.16981132075472	163610	11721177	6.4	32.7
ecdc/worldwide	f84e4a14dbd0	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-26	87	24	14	2			-4	-4	-4	173	5		168	1.4759609892419507	0.04265783205901592		1.4333031571829349		2.8901734104046244		97.10982658959537	59	2		57	51.75438596491228	66.66666666666667		51.351351351351354	108.45588235294117	83.33333333333334		107.54716981132076	163610	11721177	6.4	32.7
ecdc/worldwide	88db512ccc0d	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-28	89	26	16	4			-2	-2	-2	227	6		221	1.9366655754793227	0.051189398470819096		1.8854761770085036		2.643171806167401		97.3568281938326	54	1		53	31.213872832369944	20		31.547619047619047	99.26470588235294	41.66666666666667		100	163610	11721177	6.4	32.7
ecdc/worldwide	d58ec36d58d1	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-30	91	28	18	6			0	0	0	278	8		270	2.3717754624812852	0.06825253129442548		2.3035229311868592		2.877697841726619		97.12230215827337	51	2		49	22.46696035242291	33.333333333333336		22.171945701357465	93.75	83.33333333333334		92.45283018867924	163610	11721177	6.4	32.7
ecdc/worldwide	38814224960c	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-03-31	92	29	19	7			1	1	1	312	8		304	2.6618487204825936	0.06825253129442548		2.5935961891881676		2.564102564102564		97.43589743589743	34			34	12.23021582733813			12.592592592592593	62.5			64.15094339622641	163610	11721177	6.4	32.7
ecdc/worldwide	219fafa90167	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-01	93	30	20	8			2	2	2	362	9		353	3.088427041072752	0.07678409770622865		3.0116429433665237		2.4861878453038675		97.51381215469614	50	1		49	16.025641025641026	12.5		16.11842105263158	91.91176470588236	41.66666666666667		92.45283018867924	163610	11721177	6.4	32.7
ecdc/worldwide	d10f4d0b1002	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-02	94	31	21	9			3	3	3	394	10		384	3.3614371662504543	0.08531566411803183		3.276121502132422		2.5380710659898478		97.46192893401016	32	1		31	8.839779005524862	11.11111111111111		8.78186968838527	58.82352941176471	41.66666666666667		58.490566037735846	163610	11721177	6.4	32.7
ecdc/worldwide	5d5115fedf95	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-03	95	32	22	10			4	4	4	455	13		442	3.8818627173704483	0.11091036335344139		3.770952354017007		2.857142857142857		97.14285714285714	61	3		58	15.48223350253807	30		15.104166666666666	112.13235294117648	125		109.43396226415094	163610	11721177	6.4	32.7
ecdc/worldwide	4b3e225ae525	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-05	97	34	24	12			6	6	6	495	18		477	4.223125373842576	0.1535681954124573		4.069557178430118		3.6363636363636362		96.36363636363636	40	5		35	8.791208791208792	38.46153846153846		7.918552036199095	73.52941176470588	208.33333333333334		66.0377358490566	163610	11721177	6.4	32.7
ecdc/worldwide	619b872f9c62	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-06	98	35	25	13			7	7	7	553	19		534	4.717956225727161	0.16209976182426047		4.5558564639028996		3.4358047016274864		96.56419529837251	58	1		57	11.717171717171718	5.555555555555555		11.949685534591195	106.61764705882352	41.66666666666667		107.54716981132076	163610	11721177	6.4	32.7
ecdc/worldwide	6417a76d82ba	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-07	99	36	26	14			8	8	8	574	22		552	4.897119120375027	0.18769446105967003		4.709424659315357		3.8327526132404177		96.16724738675958	21	3		18	3.7974683544303796	15.789473684210526		3.3707865168539324	38.60294117647059	125		33.9622641509434	163610	11721177	6.4	32.7
ecdc/worldwide	90707529a2c6	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-08	100	37	27	15			9	9	9	596	22		574	5.084813581434697	0.18769446105967003		4.897119120375027		3.691275167785235		96.30872483221476	22			22	3.832752613240418			3.9855072463768115	40.44117647058824			41.509433962264154	163610	11721177	6.4	32.7
ecdc/worldwide	47a1a63686a1	ff5ce1b55da8	total-country	Tunisia	TN	Tunisia			34	9	Africa	Northern Africa	2020-04-09	101	38	28	16			10	10	10	623	23		600	5.315165874553383	0.19622602747147322		5.1189398470819105		3.6918138041733553		96.30818619582665	27	1		26	4.530201342281879	4.545454545454546		4.529616724738676	49.63235294117647	41.66666666666667		49.056603773584904	163610	11721177	6.4	32.7
