dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f7c1994e75cb	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-17	78	1					-10	-9	-12	1			1	0.002			0.002				100	1			1					0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	985b4ac70d8b	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-19	80	3					-8	-7	-10	3			3	0.005			0.005				100	2			2	200			200	0.003			0.003	55.556			58.824	947300	58552845	7.1	18.2
ecdc/worldwide	8e435902243f	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-22	83	6					-5	-4	-7	6			6	0.01			0.01				100	3			3	100			100	0.005			0.005	83.333			88.235	947300	58552845	7.1	18.2
ecdc/worldwide	4db2ff41ae61	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-23	84	7	1				-4	-3	-6	12			12	0.02			0.02				100	6			6	100			100	0.01			0.01	166.667			176.471	947300	58552845	7.1	18.2
ecdc/worldwide	c8181a280ee2	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-27	88	11	5				-0	1	-2	13			13	0.022			0.022				100	1			1	8.333			8.333	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	7d20aad4aa1d	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-29	90	13	7				1	3	0	13	1		12	0.022	0.002		0.02		7.692		92.308		1		-1				-7.692		0.002		-0.002		100		-29.412	947300	58552845	7.1	18.2
ecdc/worldwide	e941c0a13e5d	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-30	91	14	8				2	4	1	14	1		13	0.024	0.002		0.022		7.143		92.857	1			1	7.692			8.333	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	e5da05df65af	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-03-31	92	15	9				3	5	2	19	1		18	0.032	0.002		0.031		5.263		94.737	5			5	35.714			38.462	0.009			0.009	138.889			147.059	947300	58552845	7.1	18.2
ecdc/worldwide	e250b484639b	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-02	94	17	11				5	7	4	20	1		19	0.034	0.002		0.032		5		95	1			1	5.263			5.556	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	134f4d58b60c	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-03	95	18	12				6	8	5	21	1		20	0.036	0.002		0.034		4.762		95.238	1			1	5			5.263	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	5e2307b1e905	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-06	98	21	15				9	11	8	22	1		21	0.038	0.002		0.036		4.545		95.455	1			1	4.762			5	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	2247c73e4477	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-07	99	22	16				10	12	9	24	1		23	0.041	0.002		0.039		4.167		95.833	2			2	9.091			9.524	0.003			0.003	55.556			58.824	947300	58552845	7.1	18.2
ecdc/worldwide	288593498881	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-09	101	24	18				12	14	11	25	1		24	0.043	0.002		0.041		4		96	1			1	4.167			4.348	0.002			0.002	27.778			29.412	947300	58552845	7.1	18.2
ecdc/worldwide	6e64aede1685	14ab6c7c88ff	total-country	Tanzania	TZ	Tanzania			-6	35	Africa	Eastern Africa	2020-04-11	103	26	20				14	16	13	32	3		29	0.055	0.005		0.05		9.375		90.625	7	2		5	28	200		20.833	0.012	0.003		0.009	194.444	200		147.059	947300	58552845	7.1	18.2
