dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	9c6c9b159562	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-04	65	1					-33	-34	-33	1			1	0.002			0.002				100	1			1					0.002			0.002	0.549			0.565	603550	43922939	14	41.2
ecdc/worldwide	7e81429fa071	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-13	74	10					-24	-25	-24	3			3	0.007			0.007				100	2			2	200			200	0.005			0.005	1.098			1.13	603550	43922939	14	41.2
ecdc/worldwide	63e60abb8650	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-17	78	14					-20	-21	-20	5			5	0.011			0.011				100	2			2	66.667			66.667	0.005			0.005	1.098			1.13	603550	43922939	14	41.2
ecdc/worldwide	912005808847	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-18	79	15	1				-19	-20	-19	14			14	0.032			0.032				100	9			9	180			180	0.02			0.02	4.94			5.085	603550	43922939	14	41.2
ecdc/worldwide	08aba33b897f	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-19	80	16	2				-18	-19	-18	19	2		17	0.043	0.005		0.039		10.526		89.474	5	2		3	35.714			21.429	0.011	0.005		0.007	2.744	33.333		1.695	603550	43922939	14	41.2
ecdc/worldwide	856690ba8219	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-20	81	17	3				-17	-18	-17	26	2		24	0.059	0.005		0.055		7.692		92.308	7			7	36.842			41.176	0.016			0.016	3.842			3.955	603550	43922939	14	41.2
ecdc/worldwide	9b50f7876a9c	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-21	82	18	4				-16	-17	-16	26	3		23	0.059	0.007		0.052		11.538		88.462		1		-1		50		-4.167		0.002		-0.002		16.667		-0.565	603550	43922939	14	41.2
ecdc/worldwide	d7a95d28a8c9	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-22	83	19	5				-15	-16	-15	41	3		38	0.093	0.007		0.087		7.317		92.683	15			15	57.692			65.217	0.034			0.034	8.233			8.475	603550	43922939	14	41.2
ecdc/worldwide	645542c6b1b7	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-23	84	20	6				-14	-15	-14	47	3		44	0.107	0.007		0.1		6.383		93.617	6			6	14.634			15.789	0.014			0.014	3.293			3.39	603550	43922939	14	41.2
ecdc/worldwide	6b787159b2dd	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-24	85	21	7				-13	-14	-13	73	3		70	0.166	0.007		0.159		4.11		95.89	26			26	55.319			59.091	0.059			0.059	14.27			14.689	603550	43922939	14	41.2
ecdc/worldwide	8e082e020a7c	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-25	86	22	8				-12	-13	-12	84	3		81	0.191	0.007		0.184		3.571		96.429	11			11	15.068			15.714	0.025			0.025	6.037			6.215	603550	43922939	14	41.2
ecdc/worldwide	18bac303195f	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-26	87	23	9	1			-11	-12	-11	113	4		109	0.257	0.009		0.248		3.54		96.46	29	1		28	34.524	33.333		34.568	0.066	0.002		0.064	15.917	16.667		15.819	603550	43922939	14	41.2
ecdc/worldwide	98f27915fdd1	21f59bafd6b9	total-country	Ukraine	UA	Ukraine			49	32	Europe	Eastern Europe	2020-03-27	88	24	10	2			-10	-11	-10	156	5		151	0.355	0.011		0.344		3.205		96.795	43	1		42	38.053	25		38.532	0.098	0.002		0.096	23.6	16.667		23.729	603550	43922939	14	41.2
