dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	486d2a00374c	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-15	76	1					-16	-13	-20	6			6	0.177			0.177				100	6			6					0.177			0.177	20.408			20.69	176215	3387605	9.3	35.5
ecdc/worldwide	156f95a4f515	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-16	77	2					-15	-12	-19	8			8	0.236			0.236				100	2			2	33.333			33.333	0.059			0.059	6.803			6.897	176215	3387605	9.3	35.5
ecdc/worldwide	4d88cbc1c713	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-17	78	3	1				-14	-11	-18	29			29	0.856			0.856				100	21			21	262.5			262.5	0.62			0.62	71.429			72.414	176215	3387605	9.3	35.5
ecdc/worldwide	e27d3b9ad973	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-18	79	4	2				-13	-10	-17	50			50	1.476			1.476				100	21			21	72.414			72.414	0.62			0.62	71.429			72.414	176215	3387605	9.3	35.5
ecdc/worldwide	8d6a155b722a	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-19	80	5	3				-12	-9	-16	79			79	2.332			2.332				100	29			29	58			58	0.856			0.856	98.639			100	176215	3387605	9.3	35.5
ecdc/worldwide	d4617526c366	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-20	81	6	4				-11	-8	-15	94			94	2.775			2.775				100	15			15	18.987			18.987	0.443			0.443	51.02			51.724	176215	3387605	9.3	35.5
ecdc/worldwide	099239810ef7	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-21	82	7	5	1			-10	-7	-14	110			110	3.247			3.247				100	16			16	17.021			17.021	0.472			0.472	54.422			55.172	176215	3387605	9.3	35.5
ecdc/worldwide	5cee8cfc6d9a	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-22	83	8	6	2			-9	-6	-13	135			135	3.985			3.985				100	25			25	22.727			22.727	0.738			0.738	85.034			86.207	176215	3387605	9.3	35.5
ecdc/worldwide	8617ffe04e3d	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-23	84	9	7	3			-8	-5	-12	158			158	4.664			4.664				100	23			23	17.037			17.037	0.679			0.679	78.231			79.31	176215	3387605	9.3	35.5
ecdc/worldwide	3f32348ec83f	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-24	85	10	8	4			-7	-4	-11	162			162	4.782			4.782				100	4			4	2.532			2.532	0.118			0.118	13.605			13.793	176215	3387605	9.3	35.5
ecdc/worldwide	35970c3c96d5	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-25	86	11	9	5			-6	-3	-10	189			189	5.579			5.579				100	27			27	16.667			16.667	0.797			0.797	91.837			93.103	176215	3387605	9.3	35.5
ecdc/worldwide	3fdd20eacb51	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-26	87	12	10	6			-5	-2	-9	217			217	6.406			6.406				100	28			28	14.815			14.815	0.827			0.827	95.238			96.552	176215	3387605	9.3	35.5
ecdc/worldwide	5980039cd504	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-27	88	13	11	7			-4	-1	-8	238			238	7.026			7.026				100	21			21	9.677			9.677	0.62			0.62	71.429			72.414	176215	3387605	9.3	35.5
ecdc/worldwide	8d6d459cc984	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-29	90	15	13	9			-2	1	-6	304			304	8.974			8.974				100	66			66	27.731			27.731	1.948			1.948	224.49			227.586	176215	3387605	9.3	35.5
ecdc/worldwide	6bd92f342b95	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-30	91	16	14	10			-1	2	-5	309	1		308	9.121	0.03		9.092		0.324		99.676	5	1		4	1.645			1.316	0.148	0.03		0.118	17.007	100		13.793	176215	3387605	9.3	35.5
ecdc/worldwide	85c58a8749f9	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-31	92	17	15	11			-0	3	-4	320	1		319	9.446	0.03		9.417		0.313		99.688	11			11	3.56			3.571	0.325			0.325	37.415			37.931	176215	3387605	9.3	35.5
ecdc/worldwide	d9de90f2b478	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-01	93	18	16	12			0	4	-3	338	1		337	9.978	0.03		9.948		0.296		99.704	18			18	5.625			5.643	0.531			0.531	61.224			62.069	176215	3387605	9.3	35.5
ecdc/worldwide	e748d3235220	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-02	94	19	17	13			1	5	-2	338	2		336	9.978	0.059		9.919		0.592		99.408		1		-1		100		-0.297		0.03		-0.03		100		-3.448	176215	3387605	9.3	35.5
ecdc/worldwide	ac0fd62b796a	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-03	95	20	18	14			2	6	-1	369	4		365	10.893	0.118		10.775		1.084		98.916	31	2		29	9.172	100		8.631	0.915	0.059		0.856	105.442	200		100	176215	3387605	9.3	35.5
