dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	54ed7e81e013	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-16	77	1					-17	-21	-14	6			6	0.019630032130109425			0.019630032130109425				100	6			6					11.627906976744185			11.673151750972762	447400	30565411	5.4	30.1
ecdc/worldwide	c7f11458f903	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-17	78	2					-16	-20	-13	8			8	0.026173376173479233			0.026173376173479233				100	2			2	33.333333333333336			33.333333333333336	3.875968992248062			3.8910505836575875	447400	30565411	5.4	30.1
ecdc/worldwide	c186de00a65f	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-18	79	3	1				-15	-19	-12	16			16	0.052346752346958465			0.052346752346958465				100	8			8	100			100	15.503875968992247			15.56420233463035	447400	30565411	5.4	30.1
ecdc/worldwide	cfb97338272e	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-19	80	4	2				-14	-18	-11	23			23	0.0752484564987528			0.0752484564987528				100	7			7	43.75			43.75	13.565891472868216			13.618677042801558	447400	30565411	5.4	30.1
ecdc/worldwide	ab5bba69afd3	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-21	82	6	4				-12	-16	-9	33			33	0.10796517671560182			0.10796517671560182				100	10			10	43.47826086956522			43.47826086956522	19.37984496124031			19.45525291828794	447400	30565411	5.4	30.1
ecdc/worldwide	a67e97f95418	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-23	84	8	6				-10	-14	-7	46			46	0.1504969129975056			0.1504969129975056				100	13			13	39.39393939393939			39.39393939393939	25.1937984496124			25.291828793774318	447400	30565411	5.4	30.1
ecdc/worldwide	922e9b9177d1	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-24	85	9	7				-9	-13	-6	49			49	0.16031192906256028			0.16031192906256028				100	3			3	6.521739130434782			6.521739130434782	5.813953488372093			5.836575875486381	447400	30565411	5.4	30.1
ecdc/worldwide	03e9f52efbf6	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-25	86	10	8				-8	-12	-5	55			55	0.1799419611926697			0.1799419611926697				100	6			6	12.244897959183673			12.244897959183673	11.627906976744185			11.673151750972762	447400	30565411	5.4	30.1
ecdc/worldwide	2544a39caa11	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-26	87	11	9				-7	-11	-4	65			65	0.21265868140951877			0.21265868140951877				100	10			10	18.181818181818183			18.181818181818183	19.37984496124031			19.45525291828794	447400	30565411	5.4	30.1
ecdc/worldwide	e573836c5543	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-27	88	12	10				-6	-10	-3	83			83	0.27154877779984704			0.27154877779984704				100	18			18	27.692307692307693			27.692307692307693	34.883720930232556			35.01945525291829	447400	30565411	5.4	30.1
ecdc/worldwide	652656e9d831	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-28	89	13	11	1			-5	-9	-2	104			104	0.34025389025523			0.34025389025523				100	21			21	25.301204819277107			25.301204819277107	40.69767441860465			40.856031128404666	447400	30565411	5.4	30.1
ecdc/worldwide	2a600c9dfcb4	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-29	90	14	12	2			-4	-8	-1	133	1		132	0.43513237888409223	0.003271672021684904		0.4318607068624073		0.7518796992481203		99.24812030075188	29	1		28	27.884615384615383			26.923076923076923	56.201550387596896	100		54.47470817120623	447400	30565411	5.4	30.1
ecdc/worldwide	577d0f87df7c	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-30	91	15	13	3			-3	-7	0	145	1		144	0.47439244314431106	0.003271672021684904		0.4711207711226261		0.6896551724137931		99.3103448275862	12			12	9.022556390977444			9.090909090909092	23.25581395348837			23.346303501945524	447400	30565411	5.4	30.1
ecdc/worldwide	fd98a0312a20	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-31	92	16	14	4			-2	-6	1	149	2		147	0.4874791312310507	0.006543344043369808		0.4809357871876809		1.342281879194631		98.65771812080537	4	1		3	2.7586206896551726	100		2.0833333333333335	7.751937984496124	100		5.836575875486381	447400	30565411	5.4	30.1
ecdc/worldwide	dc08af6f07bc	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-01	93	17	15	5			-1	-5	2	173	2		171	0.5659992597514883	0.006543344043369808		0.5594559157081186		1.1560693641618496		98.84393063583815	24			24	16.107382550335572			16.3265306122449	46.51162790697674			46.69260700389105	447400	30565411	5.4	30.1
ecdc/worldwide	2a816555213d	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-02	94	18	16	6			-0	-4	3	187	2		185	0.6118026680550771	0.006543344043369808		0.6052593240117072		1.06951871657754		98.93048128342245	14			14	8.092485549132949			8.187134502923977	27.131782945736433			27.237354085603116	447400	30565411	5.4	30.1
ecdc/worldwide	8986a38192d6	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-03	95	19	17	7			0	-3	4	190	2		188	0.6216176841201317	0.006543344043369808		0.6150743400767619		1.0526315789473684		98.94736842105263	3			3	1.6042780748663101			1.6216216216216217	5.813953488372093			5.836575875486381	447400	30565411	5.4	30.1
ecdc/worldwide	353e745800af	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-04	96	20	18	8			1	-2	5	227	2		225	0.7426695489224732	0.006543344043369808		0.7361262048791034		0.881057268722467		99.11894273127754	37			37	19.473684210526315			19.680851063829788	71.70542635658914			71.98443579766537	447400	30565411	5.4	30.1
ecdc/worldwide	c717338a331d	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-05	97	21	19	9			2	-1	6	266	2		264	0.8702647577681845	0.006543344043369808		0.8637214137248146		0.7518796992481203		99.24812030075188	39			39	17.180616740088105			17.333333333333332	75.5813953488372			75.87548638132296	447400	30565411	5.4	30.1
ecdc/worldwide	f3ff4f28d154	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-06	98	22	20	10			3	0	7	342	2		340	1.1189118314162372	0.006543344043369808		1.1123684873728672		0.5847953216374269		99.41520467836257	76			76	28.571428571428573			28.78787878787879	147.28682170542635			147.85992217898834	447400	30565411	5.4	30.1
ecdc/worldwide	b7a4ec72d274	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-07	99	23	21	11			4	1	8	397	2		395	1.2988537926089068	0.006543344043369808		1.292310448565537		0.5037783375314862		99.49622166246851	55			55	16.08187134502924			16.176470588235293	106.5891472868217			107.00389105058366	447400	30565411	5.4	30.1
ecdc/worldwide	a28326bb2889	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-08	100	24	22	12			5	2	9	504	2		502	1.6489226989291914	0.006543344043369808		1.6423793548858219		0.3968253968253968		99.60317460317461	107			107	26.952141057934508			27.088607594936708	207.36434108527132			208.17120622568095	447400	30565411	5.4	30.1
ecdc/worldwide	06c06f98b302	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-09	101	25	23	13			6	3	10	555	3		552	1.8157779720351215	0.009815016065054713		1.8059629559700667		0.5405405405405406		99.45945945945947	51	1		50	10.119047619047619	50		9.9601593625498	98.83720930232558	100		97.27626459143968	447400	30565411	5.4	30.1
