dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	beac977b8140	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-16	77	1					-13	-12	-14	2			2	0.1034782131796061			0.1034782131796061				100	2			2					12.048192771084336			12.048192771084336	10887	1932774	7	30.5
ecdc/worldwide	5219b66c005a	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-18	79	3	1				-11	-10	-12	19			19	0.9830430252062581			0.9830430252062581				100	17			17	850			850	102.40963855421685			102.40963855421685	10887	1932774	7	30.5
ecdc/worldwide	a5553186383d	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-20	81	5	3				-9	-8	-10	21			21	1.0865212383858642			1.0865212383858642				100	2			2	10.526315789473685			10.526315789473685	12.048192771084336			12.048192771084336	10887	1932774	7	30.5
ecdc/worldwide	7a78e0509a3c	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-21	82	6	4				-8	-7	-9	24			24	1.2417385581552733			1.2417385581552733				100	3			3	14.285714285714286			14.285714285714286	18.072289156626503			18.072289156626503	10887	1932774	7	30.5
ecdc/worldwide	92b6b547bd13	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-23	84	8	6				-6	-5	-7	31	1		30	1.6039123042838948	0.05173910658980305		1.5521731976940916		3.225806451612903		96.7741935483871	7	1		6	29.166666666666668			25	42.16867469879518	66.66666666666666		36.14457831325301	10887	1932774	7	30.5
ecdc/worldwide	3c8bf970a16c	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-24	85	9	7				-5	-4	-6	61	1		60	3.1560855019779863	0.05173910658980305		3.104346395388183		1.639344262295082		98.36065573770492	30			30	96.7741935483871			100	180.72289156626505			180.72289156626505	10887	1932774	7	30.5
ecdc/worldwide	ced8b4af3af1	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-25	86	10	8				-4	-3	-5	63	1		62	3.2595637151575922	0.05173910658980305		3.2078246085677895		1.5873015873015872		98.4126984126984	2			2	3.278688524590164			3.3333333333333335	12.048192771084336			12.048192771084336	10887	1932774	7	30.5
ecdc/worldwide	3eb3b1f22d2b	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-26	87	11	9				-3	-2	-4	71	1		70	3.673476567876017	0.05173910658980305		3.621737461286214		1.4084507042253522		98.59154929577466	8			8	12.698412698412698			12.903225806451612	48.192771084337345			48.192771084337345	10887	1932774	7	30.5
ecdc/worldwide	5e93ff69a9cb	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-27	88	12	10				-2	-1	-3	79	1		78	4.087389420594442	0.05173910658980305		4.035650314004638		1.2658227848101267		98.73417721518987	8			8	11.267605633802816			11.428571428571429	48.192771084337345			48.192771084337345	10887	1932774	7	30.5
ecdc/worldwide	42a662bbae46	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-28	89	13	11				-1	0	-2	86	1		85	4.449563166723062	0.05173910658980305		4.39782406013326		1.1627906976744187		98.83720930232558	7			7	8.860759493670885			8.974358974358974	42.16867469879518			42.16867469879518	10887	1932774	7	30.5
