dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	101a60323d84	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-06	67	1					-24	-22	-27	1			1	0.002			0.002				100	1			1					0.002			0.002	0.668			0.672	1219090	56463617	9.3	28
ecdc/worldwide	0cce91b2ad24	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-08	69	3					-22	-20	-25	2			2	0.004			0.004				100	1			1	100			100	0.002			0.002	0.668			0.672	1219090	56463617	9.3	28
ecdc/worldwide	a126005a8615	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-09	70	4					-21	-19	-24	3			3	0.005			0.005				100	1			1	50			50	0.002			0.002	0.668			0.672	1219090	56463617	9.3	28
ecdc/worldwide	c927bd2f5f8a	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-10	71	5					-20	-18	-23	7			7	0.012			0.012				100	4			4	133.333			133.333	0.007			0.007	2.67			2.688	1219090	56463617	9.3	28
ecdc/worldwide	e3902d9e3076	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-12	73	7	1				-18	-16	-21	13			13	0.023			0.023				100	6			6	85.714			85.714	0.011			0.011	4.005			4.032	1219090	56463617	9.3	28
ecdc/worldwide	aa7cfe175533	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-13	74	8	2				-17	-15	-20	17			17	0.03			0.03				100	4			4	30.769			30.769	0.007			0.007	2.67			2.688	1219090	56463617	9.3	28
ecdc/worldwide	90d67d742b06	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-14	75	9	3				-16	-14	-19	24			24	0.043			0.043				100	7			7	41.176			41.176	0.012			0.012	4.673			4.704	1219090	56463617	9.3	28
ecdc/worldwide	12df6f7193b2	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-16	77	11	5				-14	-12	-17	51			51	0.09			0.09				100	27			27	112.5			112.5	0.048			0.048	18.024			18.145	1219090	56463617	9.3	28
ecdc/worldwide	4d0b4a41f52f	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-17	78	12	6				-13	-11	-16	62			62	0.11			0.11				100	11			11	21.569			21.569	0.019			0.019	7.343			7.392	1219090	56463617	9.3	28
ecdc/worldwide	83bfdb9fcedd	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-18	79	13	7				-12	-10	-15	85			85	0.151			0.151				100	23			23	37.097			37.097	0.041			0.041	15.354			15.457	1219090	56463617	9.3	28
ecdc/worldwide	16b39f720919	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-19	80	14	8	1			-11	-9	-14	116			116	0.205			0.205				100	31			31	36.471			36.471	0.055			0.055	20.694			20.833	1219090	56463617	9.3	28
ecdc/worldwide	dc3a28540bea	b0516adebd03	total-country	South Africa	ZA	South Africa			-29	24	Africa	Southern Africa	2020-03-20	81	15	9	2			-10	-8	-13	150			150	0.266			0.266				100	34			34	29.31			29.31	0.06			0.06	22.697			22.849	1219090	56463617	9.3	28
