dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	888dc5ffc302	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-19	80	1					-10	-10		2			2	0.011476692873886123			0.011476692873886123				100	2			2					45.45454545454545			47.61904761904761	752618	17426623	11.6	16.9
ecdc/worldwide	1f5d6cdb2e38	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-23	84	5					-6	-6		3			3	0.017215039310829183			0.017215039310829183				100	1			1	50			50	22.727272727272727			23.809523809523807	752618	17426623	11.6	16.9
ecdc/worldwide	b70d6ea7d5ed	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-26	87	8	1				-3	-3		12			12	0.06886015724331673			0.06886015724331673				100	9			9	300			300	204.54545454545453			214.28571428571428	752618	17426623	11.6	16.9
ecdc/worldwide	c0273d146060	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-27	88	9	2				-2	-2		14			14	0.08033685011720286			0.08033685011720286				100	2			2	16.666666666666668			16.666666666666668	45.45454545454545			47.61904761904761	752618	17426623	11.6	16.9
ecdc/worldwide	2bb01ce69dec	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-28	89	10	3				-1	-1		16			16	0.09181354299108899			0.09181354299108899				100	2			2	14.285714285714286			14.285714285714286	45.45454545454545			47.61904761904761	752618	17426623	11.6	16.9
ecdc/worldwide	791e7fcc7ac1	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-29	90	11	4				0	0		28			28	0.16067370023440572			0.16067370023440572				100	12			12	75			75	272.7272727272727			285.7142857142857	752618	17426623	11.6	16.9
ecdc/worldwide	739c708371de	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-30	91	12	5				1	1		29			29	0.1664120466713488			0.1664120466713488				100	1			1	3.5714285714285716			3.5714285714285716	22.727272727272727			23.809523809523807	752618	17426623	11.6	16.9
ecdc/worldwide	24798334a45d	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-03-31	92	13	6				2	2		35			35	0.20084212529300716			0.20084212529300716				100	6			6	20.689655172413794			20.689655172413794	136.36363636363635			142.85714285714286	752618	17426623	11.6	16.9
ecdc/worldwide	e8a083168c9f	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-04-02	94	15	8				4	4		36			36	0.2065804717299502			0.2065804717299502				100	1			1	2.857142857142857			2.857142857142857	22.727272727272727			23.809523809523807	752618	17426623	11.6	16.9
ecdc/worldwide	787371b8b424	22459501c66d	total-country	Zambia	ZM	Zambia			-15	30	Africa	Eastern Africa	2020-04-03	95	16	9				5	5		39	1		38	0.22379551104077938	0.005738346436943062		0.21805716460383634		2.564102564102564		97.43589743589743	3	1		2	8.333333333333334			5.555555555555555	68.18181818181817			47.61904761904761	752618	17426623	11.6	16.9
