dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	16d259d28e95	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-02-28	38	1					-32	-35	-30	1			1	0.009798340357110313			0.009798340357110313				100	1			1					1.461988304093567			1.5243902439024393	86600	10205810	7	32.6
jhu/daily	3b99dfa7ac68	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-01	40	3					-30	-33	-28	3			3	0.029395021071330938			0.029395021071330938				100	2			2	200			200	2.923976608187134			3.0487804878048785	86600	10205810	7	32.6
jhu/daily	cb50e140af92	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-05	44	7					-26	-29	-24	6			6	0.058790042142661876			0.058790042142661876				100	3			3	100			100	4.385964912280701			4.573170731707318	86600	10205810	7	32.6
jhu/daily	6748118dbe00	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-07	46	9					-24	-27	-22	9			9	0.08818506321399282			0.08818506321399282				100	3			3	50			50	4.385964912280701			4.573170731707318	86600	10205810	7	32.6
jhu/daily	55bb97b284de	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-10	49	12	1				-21	-24	-19	11			11	0.10778174392821345			0.10778174392821345				100	2			2	22.22222222222222			22.22222222222222	2.923976608187134			3.0487804878048785	86600	10205810	7	32.6
jhu/daily	a2909758eff3	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-11	50	13	2				-20	-23	-18	11		3	8	0.10778174392821345		0.029395021071330938	0.0783867228568825			27.27272727272727	72.72727272727273			3	-3				-27.272727272727273			38.46153846153847	-4.573170731707318	86600	10205810	7	32.6
jhu/daily	fd4540a8ab32	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-13	52	15	4				-18	-21	-16	15	1	3	11	0.1469751053566547	0.009798340357110313	0.029395021071330938	0.10778174392821345		6.666666666666667	20	73.33333333333333	4	1		3	36.36363636363637			37.5	5.847953216374268	100		4.573170731707318	86600	10205810	7	32.6
jhu/daily	ce4f3efaf113	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-15	54	17	6				-16	-19	-14	23	1	6	16	0.2253618282135372	0.009798340357110313	0.058790042142661876	0.156773445713765		4.3478260869565215	26.08695652173913	69.56521739130434	8		3	5	53.333333333333336		100	45.45454545454545	11.695906432748536		38.46153846153847	7.621951219512196	86600	10205810	7	32.6
jhu/daily	dc44ae6bf15e	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-16	55	18	7				-15	-18	-13	15	1	6	8	0.1469751053566547	0.009798340357110313	0.058790042142661876	0.0783867228568825		6.666666666666667	40	53.333333333333336	-8			-8	-34.78260869565217			-50	-11.695906432748536			-12.195121951219514	86600	10205810	7	32.6
jhu/daily	4de7f4afc32a	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-17	56	19	8				-14	-17	-12	28	1	6	21	0.27435352999908874	0.009798340357110313	0.058790042142661876	0.20576514749931657		3.571428571428571	21.428571428571427	75	13			13	86.66666666666667			162.5	19.005847953216374			19.817073170731707	86600	10205810	7	32.6
jhu/daily	8f2e8b021d20	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-19	58	21	10				-12	-15	-10	44	1	6	37	0.4311269757128538	0.009798340357110313	0.058790042142661876	0.3625385932130816		2.272727272727273	13.636363636363635	84.0909090909091	16			16	57.142857142857146			76.19047619047619	23.391812865497073			24.39024390243903	86600	10205810	7	32.6
jhu/daily	5226346b534b	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-21	60	23	12				-10	-13	-8	53	1	11	41	0.5193120389268466	0.009798340357110313	0.10778174392821345	0.40173195464152284		1.8867924528301887	20.754716981132077	77.35849056603774	9		5	4	20.454545454545453		83.33333333333333	10.81081081081081	13.157894736842104		64.1025641025641	6.097560975609757	86600	10205810	7	32.6
