dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	364fc84b970b	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-17	56	1					-15	-12	-19	2			2	0.6789788158609452			0.6789788158609452				100	2			2					33.33333333333333			34.48275862068966	430	294560	8.8	39.5
jhu/daily	d4d907a660de	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-19	58	3					-13	-10	-17	5			5	1.6974470396523629			1.6974470396523629				100	3			3	150			150	50			51.724137931034484	430	294560	8.8	39.5
jhu/daily	bb0183ba00f8	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-21	60	5					-11	-8	-15	6			6	2.0369364475828355			2.0369364475828355				100	1			1	20			20	16.666666666666664			17.24137931034483	430	294560	8.8	39.5
jhu/daily	d5f3d6e2ea5c	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-22	61	6	1				-10	-7	-14	14			14	4.752851711026616			4.752851711026616				100	8			8	133.33333333333334			133.33333333333334	133.33333333333331			137.93103448275863	430	294560	8.8	39.5
jhu/daily	e061654ee7f4	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-23	62	7	2				-9	-6	-13	17			17	5.771319934818034			5.771319934818034				100	3			3	21.428571428571427			21.428571428571427	50			51.724137931034484	430	294560	8.8	39.5
jhu/daily	fe2824180655	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-24	63	8	3				-8	-5	-12	18			18	6.110809342748507			6.110809342748507				100	1			1	5.882352941176471			5.882352941176471	16.666666666666664			17.24137931034483	430	294560	8.8	39.5
jhu/daily	758a2b988626	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-27	66	11	6				-5	-2	-9	24			24	8.147745790331342			8.147745790331342				100	6			6	33.333333333333336			33.333333333333336	100			103.44827586206897	430	294560	8.8	39.5
jhu/daily	27c42819a603	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-28	67	12	7				-4	-1	-8	26			26	8.826724606192286			8.826724606192286				100	2			2	8.333333333333334			8.333333333333334	33.33333333333333			34.48275862068966	430	294560	8.8	39.5
jhu/daily	d7defc418dc1	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-29	68	13	8				-3	0	-7	33			33	11.203150461705595			11.203150461705595				100	7			7	26.923076923076923			26.923076923076923	116.66666666666667			120.6896551724138	430	294560	8.8	39.5
jhu/daily	7d4ad31872c0	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-31	70	15	10				-1	2	-5	34			34	11.542639869636067			11.542639869636067				100	1			1	3.0303030303030303			3.0303030303030303	16.666666666666664			17.24137931034483	430	294560	8.8	39.5
