dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	f285f48f08e6	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-16	55	1					-18	-18		1			1	0.008			0.008				100	1			1					0.008			0.008	25			33.333	112622	12864634	8.4	17
jhu/daily	753035c3704e	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-18	57	3					-16	-16		2			2	0.016			0.016				100	1			1	100			100	0.008			0.008	25			33.333	112622	12864634	8.4	17
jhu/daily	1488f0a59486	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-23	62	8					-11	-11		5			5	0.039			0.039				100	3			3	150			150	0.023			0.023	75			100	112622	12864634	8.4	17
jhu/daily	402864470d12	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-24	63	9					-10	-10		6			6	0.047			0.047				100	1			1	20			20	0.008			0.008	25			33.333	112622	12864634	8.4	17
jhu/daily	b6bf3ebf3e07	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-31	70	16					-3	-3		9		1	8	0.07		0.008	0.062			11.111	88.889	3		1	2	50			33.333	0.023		0.008	0.016	75		100	66.667	112622	12864634	8.4	17
jhu/daily	19c90d5d9207	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-01	71	17	1				-2	-2		13		1	12	0.101		0.008	0.093			7.692	92.308	4			4	44.444			50	0.031			0.031	100			133.333	112622	12864634	8.4	17
jhu/daily	72cf55d31ee2	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-03	73	19	3				0	0		16		2	14	0.124		0.016	0.109			12.5	87.5	3		1	2	23.077		100	16.667	0.023		0.008	0.016	75		100	66.667	112622	12864634	8.4	17
jhu/daily	cc6e61b6c127	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-05	75	21	5				2	2		22		5	17	0.171		0.039	0.132			22.727	77.273	6		3	3	37.5		150	21.429	0.047		0.023	0.023	150		300	100	112622	12864634	8.4	17
jhu/daily	03499990e7dc	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-06	76	22	6				3	3		26	1	5	20	0.202	0.008	0.039	0.155		3.846	19.231	76.923	4	1		3	18.182			17.647	0.031	0.008		0.023	100			100	112622	12864634	8.4	17
jhu/daily	28e2bafa992a	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-10	80	26	10				7	7		35	1	5	29	0.272	0.008	0.039	0.225		2.857	14.286	82.857	9			9	34.615			45	0.07			0.07	225			300	112622	12864634	8.4	17
