dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	f50f2bae7415	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-22	1	1	1	1			-21	-15	-27	547	17	28	502	0.039	0.001	0.002	0.036		3.108	5.119	91.773	547	17	28	502					0.039	0.001	0.002	0.036	12.191	10.787	0.949	13.22	9596960	1394015977	8.2	38.4
jhu/daily	38460b9e73a8	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-23	2	2	2	2			-20	-14	-26	639	18	30	591	0.046	0.001	0.002	0.042		2.817	4.695	92.488	92	1	2	89	16.819	5.882	7.143	17.729	0.007	0	0	0.006	2.05	0.635	0.068	2.344	9596960	1394015977	8.2	38.4
jhu/daily	c581621b1c85	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-24	3	3	3	3			-19	-13	-25	916	26	36	854	0.066	0.002	0.003	0.061		2.838	3.93	93.231	277	8	6	263	43.349	44.444	20	44.501	0.02	0.001	0	0.019	6.174	5.076	0.203	6.926	9596960	1394015977	8.2	38.4
jhu/daily	9dd03340d2bb	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-25	4	4	4	4	1		-18	-12	-24	1399	42	39	1318	0.1	0.003	0.003	0.095		3.002	2.788	94.21	483	16	3	464	52.729	61.538	8.333	54.333	0.035	0.001	0	0.033	10.765	10.152	0.102	12.219	9596960	1394015977	8.2	38.4
jhu/daily	91082d33590c	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-26	5	5	5	5	2		-17	-11	-23	2062	56	49	1957	0.148	0.004	0.004	0.14		2.716	2.376	94.908	663	14	10	639	47.391	33.333	25.641	48.483	0.048	0.001	0.001	0.046	14.777	8.883	0.339	16.827	9596960	1394015977	8.2	38.4
jhu/daily	14ef762f0a89	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-27	6	6	6	6	3		-16	-10	-22	2863	82	58	2723	0.205	0.006	0.004	0.195		2.864	2.026	95.11	801	26	9	766	38.846	46.429	18.367	39.142	0.057	0.002	0.001	0.055	17.852	16.497	0.305	20.172	9596960	1394015977	8.2	38.4
jhu/daily	3469dfef8148	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-28	7	7	7	7	4		-15	-9	-21	5494	131	101	5262	0.394	0.009	0.007	0.377		2.384	1.838	95.777	2631	49	43	2539	91.897	59.756	74.138	93.243	0.189	0.004	0.003	0.182	58.639	31.091	1.457	66.862	9596960	1394015977	8.2	38.4
jhu/daily	a1f192390516	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-29	8	8	8	8	5		-14	-8	-20	6070	133	120	5817	0.435	0.01	0.009	0.417		2.191	1.977	95.832	576	2	19	555	10.484	1.527	18.812	10.547	0.041	0	0.001	0.04	12.838	1.269	0.644	14.615	9596960	1394015977	8.2	38.4
jhu/daily	f61c6d7121f4	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-30	9	9	9	9	6		-13	-7	-19	8124	171	135	7818	0.583	0.012	0.01	0.561		2.105	1.662	96.233	2054	38	15	2001	33.839	28.571	12.5	34.399	0.147	0.003	0.001	0.144	45.779	24.112	0.508	52.694	9596960	1394015977	8.2	38.4
jhu/daily	c3262578ff95	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-01-31	10	10	10	10	7		-12	-6	-18	9783	213	214	9356	0.702	0.015	0.015	0.671		2.177	2.187	95.635	1659	42	79	1538	20.421	24.561	58.519	19.673	0.119	0.003	0.006	0.11	36.975	26.65	2.677	40.501	9596960	1394015977	8.2	38.4
jhu/daily	7311083a3952	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-01	11	11	11	11	8	1	-11	-5	-17	11871	259	275	11337	0.852	0.019	0.02	0.813		2.182	2.317	95.502	2088	46	61	1981	21.343	21.596	28.505	21.174	0.15	0.003	0.004	0.142	46.537	29.188	2.067	52.167	9596960	1394015977	8.2	38.4
jhu/daily	8e4bd70c7d47	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-02	12	12	12	12	9	2	-10	-4	-16	16607	361	463	15783	1.191	0.026	0.033	1.132		2.174	2.788	95.038	4736	102	188	4446	39.896	39.382	68.364	39.217	0.34	0.007	0.013	0.319	105.554	64.721	6.37	117.08	9596960	1394015977	8.2	38.4
jhu/daily	9402a05297aa	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-03	13	13	13	13	10	3	-9	-3	-15	19693	425	614	18654	1.413	0.03	0.044	1.338		2.158	3.118	94.724	3086	64	151	2871	18.583	17.729	32.613	18.19	0.221	0.005	0.011	0.206	68.78	40.609	5.116	75.604	9596960	1394015977	8.2	38.4
jhu/daily	22e09ab32338	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-04	14	14	14	14	11	4	-8	-2	-14	23680	490	843	22347	1.699	0.035	0.06	1.603		2.069	3.56	94.371	3987	65	229	3693	20.246	15.294	37.296	19.797	0.286	0.005	0.016	0.265	88.861	41.244	7.759	97.251	9596960	1394015977	8.2	38.4
jhu/daily	b1a02d0b6c74	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-05	15	15	15	15	12	5	-7	-1	-13	27409	562	1115	25732	1.966	0.04	0.08	1.846		2.05	4.068	93.882	3729	72	272	3385	15.747	14.694	32.266	15.147	0.268	0.005	0.02	0.243	83.11	45.685	9.216	89.14	9596960	1394015977	8.2	38.4
jhu/daily	440e1f642380	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-06	16	16	16	16	13	6	-6	0	-12	30553	632	1476	28445	2.192	0.045	0.106	2.041		2.069	4.831	93.101	3144	70	361	2713	11.471	12.456	32.377	10.543	0.226	0.005	0.026	0.195	70.072	44.416	12.231	71.444	9596960	1394015977	8.2	38.4
jhu/daily	2e2444859e31	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-07	17	17	17	17	14	7	-5	1	-11	34075	717	1998	31360	2.444	0.051	0.143	2.25		2.104	5.864	92.032	3522	85	522	2915	11.528	13.449	35.366	10.248	0.253	0.006	0.037	0.209	78.497	53.934	17.687	76.763	9596960	1394015977	8.2	38.4
jhu/daily	dc822281b3d5	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-08	18	18	18	18	15	8	-4	2	-10	36778	804	2595	33379	2.638	0.058	0.186	2.394		2.186	7.056	90.758	2703	87	597	2019	7.933	12.134	29.88	6.438	0.194	0.006	0.043	0.145	60.243	55.203	20.228	53.168	9596960	1394015977	8.2	38.4
jhu/daily	ae398577e6d4	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-09	19	19	19	19	16	9	-3	3	-9	39790	904	3218	35668	2.854	0.065	0.231	2.559		2.272	8.087	89.641	3012	100	623	2289	8.19	12.438	24.008	6.858	0.216	0.007	0.045	0.164	67.13	63.452	21.109	60.278	9596960	1394015977	8.2	38.4
jhu/daily	260495aa1d54	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-10	20	20	20	20	17	10	-2	4	-8	42306	1011	3917	37378	3.035	0.073	0.281	2.681		2.39	9.259	88.352	2516	107	699	1710	6.323	11.836	21.722	4.794	0.18	0.008	0.05	0.123	56.076	67.893	23.684	45.031	9596960	1394015977	8.2	38.4
jhu/daily	6452ba33ef9c	7f65b40cf52d	total-country	China	CN	China			35	105	Asia	Eastern Asia	2020-02-11	21	21	21	21	18	11	-1	5	-7	44327	1111	4635	38581	3.18	0.08	0.332	2.768		2.506	10.456	87.037	2021	100	718	1203	4.777	9.891	18.33	3.218	0.145	0.007	0.052	0.086	45.043	63.452	24.327	31.68	9596960	1394015977	8.2	38.4
