dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	f68f1a9fab7a	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-12	51	1					-21	-21	-22	3			3	0.027127074610848553			0.027127074610848553				100	3			3					8.152173913043478			8.982035928143713	110860	11059062	9.1	42.1
jhu/daily	5cfcae9d97e0	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-13	52	2					-20	-20	-21	4			4	0.03616943281446473			0.03616943281446473				100	1			1	33.333333333333336			33.333333333333336	2.717391304347826			2.9940119760479043	110860	11059062	9.1	42.1
jhu/daily	1127dc13c775	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-17	56	6					-16	-16	-17	5			5	0.04521179101808092			0.04521179101808092				100	1			1	25			25	2.717391304347826			2.9940119760479043	110860	11059062	9.1	42.1
jhu/daily	d7baedb6527c	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-18	57	7					-15	-15	-16	7	1		6	0.06329650742531329	0.009042358203616183		0.05425414922169711		14.285714285714285		85.71428571428571	2	1		1	40			20	5.434782608695652	71.42857142857143		2.9940119760479043	110860	11059062	9.1	42.1
jhu/daily	e7a4fd71d51f	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-19	58	8	1				-14	-14	-15	11	1		10	0.09946594023977802	0.009042358203616183		0.09042358203616184		9.090909090909092		90.9090909090909	4			4	57.142857142857146			66.66666666666667	10.869565217391305			11.976047904191617	110860	11059062	9.1	42.1
jhu/daily	a94cdf766ad9	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-20	59	9	2				-13	-13	-14	16	1		15	0.14467773125785893	0.009042358203616183		0.13563537305424275		6.25		93.75	5			5	45.45454545454545			50	13.586956521739133			14.970059880239523	110860	11059062	9.1	42.1
jhu/daily	c1f8f1cd91df	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-21	60	10	3				-12	-12	-13	21	1		20	0.18988952227593986	0.009042358203616183		0.18084716407232368		4.761904761904762		95.23809523809523	5			5	31.25			33.333333333333336	13.586956521739133			14.970059880239523	110860	11059062	9.1	42.1
jhu/daily	79e0f725a41a	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-22	61	11	4				-11	-11	-12	35	1		34	0.31648253712656643	0.009042358203616183		0.3074401789229503		2.857142857142857		97.14285714285714	14			14	66.66666666666667			70	38.04347826086957			41.91616766467066	110860	11059062	9.1	42.1
jhu/daily	2acd64517547	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-23	62	12	5				-10	-10	-11	40	1		39	0.36169432814464736	0.009042358203616183		0.3526519699410312		2.5		97.5	5			5	14.285714285714286			14.705882352941176	13.586956521739133			14.970059880239523	110860	11059062	9.1	42.1
jhu/daily	dcd251c6ac76	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-24	63	13	6				-9	-9	-10	48	1	1	46	0.43403319377357685	0.009042358203616183	0.009042358203616183	0.4159484773663445		2.083333333333333	2.083333333333333	95.83333333333334	8		1	7	20			17.94871794871795	21.73913043478261		31.25	20.95808383233533	110860	11059062	9.1	42.1
jhu/daily	b99f5c4672db	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-25	64	14	7				-8	-8	-9	57	1	1	55	0.5154144176061225	0.009042358203616183	0.009042358203616183	0.4973297011988901		1.7543859649122806	1.7543859649122806	96.49122807017544	9			9	18.75			19.565217391304348	24.456521739130437			26.94610778443114	110860	11059062	9.1	42.1
jhu/daily	5412b306eefe	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-26	65	15	8				-7	-7	-8	67	2	1	64	0.6058379996422844	0.018084716407232367	0.009042358203616183	0.5787109250314357		2.9850746268656714	1.4925373134328357	95.52238805970148	10	1		9	17.54385964912281	100		16.363636363636363	27.173913043478265	71.42857142857143		26.94610778443114	110860	11059062	9.1	42.1
jhu/daily	8bd5bb984556	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-27	66	16	9				-6	-6	-7	80	2	4	74	0.7233886562892947	0.018084716407232367	0.03616943281446473	0.6691345070675976		2.5	5	92.5	13		3	10	19.402985074626866		300	15.625	35.32608695652174		93.75	29.940119760479046	110860	11059062	9.1	42.1
jhu/daily	f195df404025	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-28	67	17	10	1			-5	-5	-6	119	3	4	112	1.076040626230326	0.027127074610848553	0.03616943281446473	1.0127441188050126		2.5210084033613445	3.361344537815126	94.11764705882352	39	1		38	48.75	50		51.351351351351354	105.97826086956523	71.42857142857143		113.77245508982037	110860	11059062	9.1	42.1
jhu/daily	77c91a1c6d1b	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-29	68	18	11	2			-4	-4	-5	139	3	4	132	1.2568877903026494	0.027127074610848553	0.03616943281446473	1.1935912828773363		2.158273381294964	2.877697841726619	94.96402877697841	20			20	16.80672268907563			17.857142857142858	54.34782608695653			59.88023952095809	110860	11059062	9.1	42.1
jhu/daily	8d2a8bdc61cb	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-30	69	19	12	3			-3	-3	-4	170	4	4	162	1.5372008946147513	0.03616943281446473	0.03616943281446473	1.4648620289858219		2.3529411764705883	2.3529411764705883	95.29411764705881	31	1		30	22.302158273381295	33.333333333333336		22.727272727272727	84.23913043478262	71.42857142857143		89.82035928143713	110860	11059062	9.1	42.1
jhu/daily	157f561a57cf	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-31	70	20	13	4			-2	-2	-3	186	6	8	172	1.6818786258726102	0.05425414922169711	0.07233886562892947	1.5552856110219835		3.225806451612903	4.301075268817205	92.47311827956989	16	2	4	10	9.411764705882353	50	100	6.172839506172839	43.47826086956522	142.85714285714286	125	29.940119760479046	110860	11059062	9.1	42.1
jhu/daily	d5fdcfc8ccd7	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-01	71	21	14	5			-1	-1	-2	212	6	12	194	1.916979939166631	0.05425414922169711	0.10850829844339421	1.7542174915015398		2.8301886792452833	5.660377358490567	91.50943396226415	26		4	22	13.978494623655914		50	12.790697674418604	70.65217391304348		125	65.86826347305389	110860	11059062	9.1	42.1
jhu/daily	cc031c50db4c	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-02	72	22	15	6			-0	0	-1	233	6	13	214	2.106869461442571	0.05425414922169711	0.1175506566470104	1.9350646555738635		2.575107296137339	5.579399141630901	91.84549356223177	21		1	20	9.90566037735849		8.333333333333334	10.309278350515465	57.06521739130436		31.25	59.88023952095809	110860	11059062	9.1	42.1
jhu/daily	074bf89f736f	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-03	73	23	16	7			0	1	0	269	6	15	248	2.4323943567727535	0.05425414922169711	0.13563537305424275	2.2425048344968137		2.2304832713754648	5.5762081784386615	92.19330855018588	36		2	34	15.450643776824034		15.384615384615385	15.88785046728972	97.82608695652175		62.5	101.79640718562875	110860	11059062	9.1	42.1
jhu/daily	6997a4b0111c	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-04	74	24	17	8			1	2	1	288	6	15	267	2.6041991626414607	0.05425414922169711	0.13563537305424275	2.414309640365521		2.083333333333333	5.208333333333334	92.70833333333334	19			19	7.063197026022305			7.661290322580645	51.6304347826087			56.886227544910184	110860	11059062	9.1	42.1
jhu/daily	7cb157e639b2	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-05	75	25	18	9			2	3	2	320	8	15	297	2.893554625157179	0.07233886562892947	0.13563537305424275	2.6855803864740064		2.5	4.6875	92.8125	32	2		30	11.11111111111111	33.333333333333336		11.235955056179776	86.95652173913044	142.85714285714286		89.82035928143713	110860	11059062	9.1	42.1
jhu/daily	90c1ec5c3ade	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-06	76	26	19	10			3	4	3	350	9	18	323	3.1648253712656644	0.08138122383254565	0.1627624476650913	2.9206816997680276		2.571428571428571	5.142857142857142	92.28571428571428	30	1	3	26	9.375	12.5	20	8.754208754208754	81.5217391304348	71.42857142857143	93.75	77.84431137724552	110860	11059062	9.1	42.1
jhu/daily	c035b7707bfb	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-07	77	27	20	11			4	5	4	396	11	27	358	3.580773848632009	0.09946594023977802	0.24414367149763697	3.2371642368945936		2.7777777777777777	6.8181818181818175	90.40404040404042	46	2	9	35	13.142857142857142	22.22222222222222	50	10.8359133126935	125	142.85714285714286	281.25	104.79041916167667	110860	11059062	9.1	42.1
jhu/daily	488714181c12	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-04-08	78	28	21	12			5	6	5	457	12	27	418	4.132357699052596	0.10850829844339421	0.24414367149763697	3.7797057291115648		2.62582056892779	5.908096280087528	91.46608315098467	61	1		60	15.404040404040405	9.090909090909092		16.75977653631285	165.7608695652174	71.42857142857143		179.64071856287427	110860	11059062	9.1	42.1
