dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	7103fc799708	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-14	53	1					-14	-14		1			1	0.661			0.661				100	1			1					55.556			55.556	444	151345	8.7	36.7
jhu/daily	1fc993a11475	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-17	56	4					-11	-11		3			3	1.982			1.982				100	2			2	200			200	111.111			111.111	444	151345	8.7	36.7
jhu/daily	95af3a261c34	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-19	58	6					-9	-9		3	1		2	1.982	0.661		1.321		33.333		66.667		1		-1				-33.333				-55.556	444	151345	8.7	36.7
jhu/daily	f1e7df61618f	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-23	62	10					-5	-5		4	1		3	2.643	0.661		1.982		25		75	1			1	33.333			50	55.556			55.556	444	151345	8.7	36.7
jhu/daily	3381a508c85a	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-24	63	11					-4	-4		6	1		5	3.964	0.661		3.304		16.667		83.333	2			2	50			66.667	111.111			111.111	444	151345	8.7	36.7
jhu/daily	5ea9d44b1651	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-26	65	13					-2	-2		6	1	2	3	3.964	0.661	1.321	1.982		16.667	33.333	50			2	-2				-40			120	-111.111	444	151345	8.7	36.7
jhu/daily	f13ad99bcacd	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-27	66	14					-1	-1		8	1	2	5	5.286	0.661	1.321	3.304		12.5	25	62.5	2			2	33.333			66.667	111.111			111.111	444	151345	8.7	36.7
jhu/daily	2c833fb91740	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-30	69	17	1				2	2		11	1	2	8	7.268	0.661	1.321	5.286		9.091	18.182	72.727	3			3	37.5			60	166.667			166.667	444	151345	8.7	36.7
jhu/daily	853ff940fff8	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-01	71	19	3				4	4		11	1	3	7	7.268	0.661	1.982	4.625		9.091	27.273	63.636			1	-1			50	-12.5			60	-55.556	444	151345	8.7	36.7
jhu/daily	e6b29e3d196e	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-04	74	22	6				7	7		11	1	5	5	7.268	0.661	3.304	3.304		9.091	45.455	45.455			2	-2			66.667	-28.571			120	-111.111	444	151345	8.7	36.7
jhu/daily	9b660c448e3c	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-06	76	24	8				9	9		13	1	5	7	8.59	0.661	3.304	4.625		7.692	38.462	53.846	2			2	18.182			40	111.111			111.111	444	151345	8.7	36.7
jhu/daily	3fca38414274	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-07	77	25	9				10	10		13	1	7	5	8.59	0.661	4.625	3.304		7.692	53.846	38.462			2	-2			40	-28.571			120	-111.111	444	151345	8.7	36.7
jhu/daily	2317aa980915	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-08	78	26	10				11	11		14	1	7	6	9.25	0.661	4.625	3.964		7.143	50	42.857	1			1	7.692			20	55.556			55.556	444	151345	8.7	36.7
