dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	a0c39cf76ea9	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-09	48	1					-22	-23	-21	2			2	0.15789357341577484			0.15789357341577484				100	2			2					5.780346820809249			6.024096385542168	9251	1266676	7	37.9
jhu/daily	9be57529c95d	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-10	49	2					-21	-22	-20	3			3	0.23684036012366225			0.23684036012366225				100	1			1	50			50	2.8901734104046244			3.012048192771084	9251	1266676	7	37.9
jhu/daily	8eab477a3579	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-11	50	3					-20	-21	-19	6			6	0.4736807202473245			0.4736807202473245				100	3			3	100			100	8.670520231213873			9.036144578313252	9251	1266676	7	37.9
jhu/daily	68b4d382fcef	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-13	52	5	1				-18	-19	-17	14			14	1.1052550139104238			1.1052550139104238				100	8			8	133.33333333333334			133.33333333333334	23.121387283236995			24.096385542168672	9251	1266676	7	37.9
jhu/daily	95b26c86b6c6	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-14	53	6	2				-17	-18	-16	26			26	2.0526164544050727			2.0526164544050727				100	12			12	85.71428571428571			85.71428571428571	34.68208092485549			36.14457831325301	9251	1266676	7	37.9
jhu/daily	4dbd40102600	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-16	55	8	4				-15	-16	-14	33			33	2.605243961360285			2.605243961360285				100	7			7	26.923076923076923			26.923076923076923	20.231213872832367			21.08433734939759	9251	1266676	7	37.9
jhu/daily	b1237dab941e	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-17	56	9	5				-14	-15	-13	46			46	3.6315521885628215			3.6315521885628215				100	13			13	39.39393939393939			39.39393939393939	37.57225433526011			39.1566265060241	9251	1266676	7	37.9
jhu/daily	75033b2f8141	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-18	57	10	6				-13	-14	-12	49			49	3.8683925486864834			3.8683925486864834				100	3			3	6.521739130434782			6.521739130434782	8.670520231213873			9.036144578313252	9251	1266676	7	37.9
jhu/daily	5ff483496871	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-19	58	11	7				-12	-13	-11	67			67	5.289434709428457			5.289434709428457				100	18			18	36.734693877551024			36.734693877551024	52.02312138728323			54.21686746987952	9251	1266676	7	37.9
jhu/daily	e46d4103c904	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-21	60	13	9				-10	-11	-9	84			84	6.631530083462543			6.631530083462543				100	17			17	25.37313432835821			25.37313432835821	49.13294797687861			51.20481927710843	9251	1266676	7	37.9
