dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	e1e66e3918bb	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-28	7	1					-65	-62	-68	4			4	0.005			0.005				100	4			4					0.005			0.005	0.061			0.092	357022	80159662	12.1	47.8
jhu/daily	f26788d3e91b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-31	10	4					-62	-59	-65	5			5	0.006			0.006				100	1			1	25			25	0.001			0.001	0.015			0.023	357022	80159662	12.1	47.8
jhu/daily	b50e88bf1fb1	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-01	11	5					-61	-58	-64	8			8	0.01			0.01				100	3			3	60			60	0.004			0.004	0.046			0.069	357022	80159662	12.1	47.8
jhu/daily	4490f04bd4cd	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-02	12	6	1				-60	-57	-63	10			10	0.012			0.012				100	2			2	25			25	0.002			0.002	0.03			0.046	357022	80159662	12.1	47.8
jhu/daily	fdba16353b9b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-03	13	7	2				-59	-56	-62	12			12	0.015			0.015				100	2			2	20			20	0.002			0.002	0.03			0.046	357022	80159662	12.1	47.8
jhu/daily	dbbf3080b6cc	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-07	17	11	6				-55	-52	-58	13			13	0.016			0.016				100	1			1	8.333			8.333	0.001			0.001	0.015			0.023	357022	80159662	12.1	47.8
jhu/daily	4f17e90a26f2	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-09	19	13	8				-53	-50	-56	14			14	0.017			0.017				100	1			1	7.692			7.692	0.001			0.001	0.015			0.023	357022	80159662	12.1	47.8
jhu/daily	4e53200de5ab	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-11	21	15	10				-51	-48	-54	16			16	0.02			0.02				100	2			2	14.286			14.286	0.002			0.002	0.03			0.046	357022	80159662	12.1	47.8
jhu/daily	3435ad5c0d09	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-13	23	17	12				-49	-46	-52	16		1	15	0.02		0.001	0.019			6.25	93.75			1	-1				-6.25			0.001	-0.001			0.02	-0.023	357022	80159662	12.1	47.8
jhu/daily	f92e526878fb	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-18	28	22	17				-44	-41	-47	16		12	4	0.02		0.015	0.005			75	25			11	-11			1100	-73.333			0.014	-0.014			0.22	-0.252	357022	80159662	12.1	47.8
