dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	3e3c01ec01fd	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-01-29	8	1					-63	-62	-64	1			1	0.017947956311084746			0.017947956311084746				100	1			1					0.6925207756232686			0.7022471910112359	338145	5571665	10.3	42.8
jhu/daily	51f1527eb463	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-12	22	15					-49	-48	-50	1		1		0.017947956311084746		0.017947956311084746				100				1	-1				-100			20	-0.7022471910112359	338145	5571665	10.3	42.8
jhu/daily	196c7ac7a8c2	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-26	36	29					-35	-34	-36	2		1	1	0.03589591262216949		0.017947956311084746	0.017947956311084746			50	50	1			1	100				0.6925207756232686			0.7022471910112359	338145	5571665	10.3	42.8
jhu/daily	e6ac3418c6c2	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-29	39	32					-32	-31	-33	3		1	2	0.05384386893325425		0.017947956311084746	0.03589591262216949			33.33333333333333	66.66666666666666	1			1	50			100	0.6925207756232686			0.7022471910112359	338145	5571665	10.3	42.8
jhu/daily	dbdd2187526b	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-01	40	33					-31	-30	-32	6		1	5	0.1076877378665085		0.017947956311084746	0.08973978155542374			16.666666666666664	83.33333333333334	3			3	100			150	2.0775623268698062			2.106741573033708	338145	5571665	10.3	42.8
jhu/daily	c19a280d8ca5	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-05	44	37	1				-27	-26	-28	12		1	11	0.215375475733017		0.017947956311084746	0.1974275194219322			8.333333333333332	91.66666666666666	6			6	100			120	4.1551246537396125			4.213483146067416	338145	5571665	10.3	42.8
jhu/daily	e7ec68d16c18	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-06	45	38	2				-26	-25	-27	15		1	14	0.26921934466627123		0.017947956311084746	0.2512713883551865			6.666666666666667	93.33333333333333	3			3	25			27.272727272727273	2.0775623268698062			2.106741573033708	338145	5571665	10.3	42.8
jhu/daily	db4c5c88b1bd	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-08	47	40	4				-24	-23	-25	23		1	22	0.4128029951549492		0.017947956311084746	0.3948550388438644			4.3478260869565215	95.65217391304348	8			8	53.333333333333336			57.142857142857146	5.540166204986149			5.617977528089887	338145	5571665	10.3	42.8
jhu/daily	599d76633c8c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-09	48	41	5				-23	-22	-24	30		1	29	0.5384386893325425		0.017947956311084746	0.5204907330214577			3.3333333333333335	96.66666666666667	7			7	30.434782608695652			31.818181818181817	4.84764542936288			4.915730337078651	338145	5571665	10.3	42.8
jhu/daily	51820fe55f17	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-10	49	42	6				-22	-21	-23	40		1	39	0.7179182524433899		0.017947956311084746	0.6999702961323051			2.5	97.5	10			10	33.333333333333336			34.48275862068966	6.925207756232686			7.022471910112358	338145	5571665	10.3	42.8
jhu/daily	7e82c6acd3e9	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-11	50	43	7				-21	-20	-22	59		1	58	1.0589294223540002		0.017947956311084746	1.0409814660429153			1.694915254237288	98.30508474576271	19			19	47.5			48.717948717948715	13.157894736842104			13.342696629213483	338145	5571665	10.3	42.8
jhu/daily	4aafc0b848a7	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-13	52	45	9	1			-19	-18	-20	155		1	154	2.781933228218136		0.017947956311084746	2.763985271907051			0.6451612903225806	99.35483870967742	96			96	162.71186440677965			165.51724137931035	66.4819944598338			67.41573033707866	338145	5571665	10.3	42.8
jhu/daily	4ef27277e9b4	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-14	53	46	10	2			-18	-17	-19	225		1	224	4.038290169994068		0.017947956311084746	4.020342213682984			0.4444444444444444	99.55555555555556	70			70	45.16129032258065			45.45454545454545	48.476454293628805			49.157303370786515	338145	5571665	10.3	42.8
jhu/daily	15033de4abc1	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-15	54	47	11	3			-17	-16	-18	244		10	234	4.3793013399046785		0.17947956311084748	4.199821776793831			4.098360655737705	95.90163934426229	19		9	10	8.444444444444445		900	4.464285714285714	13.157894736842104		180	7.022471910112358	338145	5571665	10.3	42.8
jhu/daily	01e9630172a0	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-16	55	48	12	4			-16	-15	-17	277		10	267	4.971583898170475		0.17947956311084748	4.792104335059628			3.6101083032490973	96.38989169675091	33			33	13.524590163934427			14.102564102564102	22.853185595567865			23.174157303370784	338145	5571665	10.3	42.8
jhu/daily	885f2ad6dc0a	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-17	56	49	13	5			-15	-14	-16	321		10	311	5.761293975858204		0.17947956311084748	5.581814412747357			3.115264797507788	96.88473520249221	44			44	15.884476534296029			16.47940074906367	30.47091412742382			30.89887640449438	338145	5571665	10.3	42.8
jhu/daily	2ffcb67c26a2	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-18	57	50	14	6			-14	-13	-15	336		10	326	6.030513320524475		0.17947956311084748	5.851033757413628			2.976190476190476	97.02380952380952	15			15	4.672897196261682			4.823151125401929	10.38781163434903			10.53370786516854	338145	5571665	10.3	42.8
jhu/daily	ee7a5c180b2d	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-19	58	51	15	7			-13	-12	-14	400		10	390	7.1791825244339		0.17947956311084748	6.999702961323051			2.5	97.5	64			64	19.047619047619047			19.631901840490798	44.32132963988919			44.9438202247191	338145	5571665	10.3	42.8
jhu/daily	cbb4e18db1f0	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-20	59	52	16	8			-12	-11	-13	450		10	440	8.076580339988135		0.17947956311084748	7.897100776877289			2.2222222222222223	97.77777777777777	50			50	12.5			12.820512820512821	34.62603878116343			35.11235955056179	338145	5571665	10.3	42.8
jhu/daily	62be2d97d79f	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-21	60	53	17	9			-11	-10	-12	523	1	10	512	9.386781150697324	0.017947956311084746	0.17947956311084748	9.18935363127539		0.19120458891013384	1.9120458891013385	97.89674952198853	73	1		72	16.22222222222222			16.363636363636363	50.55401662049861	31.25		50.56179775280899	338145	5571665	10.3	42.8
jhu/daily	dc1c5bdf2ef0	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-22	61	54	18	10			-10	-9	-11	626	1	10	615	11.235420650739051	0.017947956311084746	0.17947956311084748	11.03799313131712		0.1597444089456869	1.5974440894568689	98.24281150159744	103			103	19.694072657743785			20.1171875	71.32963988919667			72.3314606741573	338145	5571665	10.3	42.8
jhu/daily	7817b0178487	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-23	62	55	19	11			-9	-8	-10	700	1	10	689	12.563569417759323	0.017947956311084746	0.17947956311084748	12.366141898337391		0.14285714285714285	1.4285714285714286	98.42857142857143	74			74	11.821086261980831			12.032520325203253	51.24653739612188			51.96629213483146	338145	5571665	10.3	42.8
jhu/daily	64622e1a0b13	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-24	63	56	20	12			-8	-7	-9	792	1	10	781	14.21478139837912	0.017947956311084746	0.17947956311084748	14.017353878957186		0.12626262626262627	1.2626262626262625	98.61111111111111	92			92	13.142857142857142			13.352685050798259	63.711911357340725			64.60674157303372	338145	5571665	10.3	42.8
jhu/daily	6ed741435f1b	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-25	64	57	21	13			-7	-6	-8	880	3	10	867	15.794201553754577	0.05384386893325425	0.17947956311084748	15.560878121710475		0.3409090909090909	1.1363636363636365	98.52272727272727	88	2		86	11.11111111111111	200		11.011523687580025	60.94182825484764	62.5		60.39325842696629	338145	5571665	10.3	42.8
jhu/daily	41e330c07424	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-26	65	58	22	14			-6	-5	-7	958	5	10	943	17.19414214601919	0.08973978155542374	0.17947956311084748	16.924922801352917		0.5219206680584552	1.0438413361169103	98.43423799582463	78	2		76	8.863636363636363	66.66666666666667		8.765859284890427	54.016620498614955	62.5		53.37078651685393	338145	5571665	10.3	42.8
jhu/daily	ad8c8b80505f	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-27	66	59	23	15	1		-5	-4	-6	1041	7	10	1024	18.68382251983922	0.12563569417759324	0.17947956311084748	18.37870726255078		0.6724303554274735	0.9606147934678195	98.36695485110471	83	2		81	8.663883089770355	40		8.589607635206788	57.479224376731295	62.5		56.88202247191011	338145	5571665	10.3	42.8
jhu/daily	3e655432b1a0	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-28	67	60	24	16	2		-4	-3	-5	1167	9	10	1148	20.9452650150359	0.16153160679976275	0.17947956311084748	20.60425384512529		0.7712082262210797	0.8568980291345331	98.3718937446444	126	2		124	12.103746397694524	28.571428571428573		12.109375	87.25761772853186	62.5		87.07865168539325	338145	5571665	10.3	42.8
jhu/daily	f62fa5dc869c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-29	68	61	25	17	3		-3	-2	-4	1240	11	10	1219	22.255465825745087	0.1974275194219322	0.17947956311084748	21.878558743212306		0.8870967741935484	0.8064516129032258	98.30645161290322	73	2		71	6.255355612682091	22.22222222222222		6.184668989547038	50.55401662049861	62.5		49.85955056179775	338145	5571665	10.3	42.8
jhu/daily	9054d414cade	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-30	69	62	26	18	4		-2	-1	-3	1352	13	10	1329	24.265636932586578	0.2333234320441017	0.17947956311084748	23.85283393743163		0.9615384615384616	0.7396449704142012	98.29881656804734	112	2		110	9.03225806451613	18.181818181818183		9.023789991796555	77.56232686980609	62.5		77.24719101123596	338145	5571665	10.3	42.8
jhu/daily	1eca44d99709	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-31	70	63	27	19	5		-1	0	-2	1418	17	10	1391	25.45020204911817	0.3051152572884407	0.17947956311084748	24.965607228718884		1.1988716502115657	0.7052186177715092	98.09590973201693	66	4		62	4.881656804733728	30.76923076923077		4.6651617757712565	45.70637119113573	125		43.53932584269663	338145	5571665	10.3	42.8
jhu/daily	5272caa986d6	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-04-01	71	64	28	20	6		0	1	-1	1446	17	10	1419	25.952744825828546	0.3051152572884407	0.17947956311084748	25.46815000542926		1.1756569847856155	0.6915629322268326	98.13278008298755	28			28	1.9746121297602257			2.01294033069734	19.39058171745152			19.662921348314605	338145	5571665	10.3	42.8
jhu/daily	683340ab48f6	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-04-02	72	65	29	21	7		1	2	0	1518	19	300	1199	27.244997680226646	0.3410111699106102	5.384386893325424	21.51959961699061		1.251646903820817	19.76284584980237	78.98550724637681	72	2	290	-220	4.979253112033195	11.764705882352942	2900	-15.503875968992247	49.86149584487534	62.5	5800	-154.4943820224719	338145	5571665	10.3	42.8
