dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	feab9f2fa207	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-04	43	1					-17	-17		1			1	1.937			1.937				100	1			1					1.937			1.937	7.042			7.353	1393	51628	8.8	37.2
jhu/daily	2449a7e59ac5	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-08	47	5					-13	-13		2			2	3.874			3.874				100	1			1	100			100	1.937			1.937	7.042			7.353	1393	51628	8.8	37.2
jhu/daily	b95eb21872cf	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-13	52	10					-8	-8		3			3	5.811			5.811				100	1			1	50			50	1.937			1.937	7.042			7.353	1393	51628	8.8	37.2
jhu/daily	cd03183c50f9	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-14	53	11					-7	-7		9			9	17.432			17.432				100	6			6	200			200	11.622			11.622	42.254			44.118	1393	51628	8.8	37.2
jhu/daily	6e9b163c6fca	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-15	54	12	1				-6	-6		11			11	21.306			21.306				100	2			2	22.222			22.222	3.874			3.874	14.085			14.706	1393	51628	8.8	37.2
jhu/daily	e04b876a7d74	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-16	55	13	2				-5	-5		18			18	34.865			34.865				100	7			7	63.636			63.636	13.559			13.559	49.296			51.471	1393	51628	8.8	37.2
jhu/daily	e26015f1634c	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-17	56	14	3				-4	-4		47			47	91.036			91.036				100	29			29	161.111			161.111	56.171			56.171	204.225			213.235	1393	51628	8.8	37.2
jhu/daily	97d06219cf48	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-18	57	15	4				-3	-3		58			58	112.342			112.342				100	11			11	23.404			23.404	21.306			21.306	77.465			80.882	1393	51628	8.8	37.2
jhu/daily	e8043c833a0b	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-19	58	16	5				-2	-2		72			72	139.459			139.459				100	14			14	24.138			24.138	27.117			27.117	98.592			102.941	1393	51628	8.8	37.2
jhu/daily	be01787a0cdf	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-20	59	17	6				-1	-1		80			80	154.955			154.955				100	8			8	11.111			11.111	15.495			15.495	56.338			58.824	1393	51628	8.8	37.2
jhu/daily	43946f7e27ab	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-21	60	18	7				0	0		92			92	178.198			178.198				100	12			12	15			15	23.243			23.243	84.507			88.235	1393	51628	8.8	37.2
jhu/daily	2147e5e66d4b	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-22	61	19	8	1			1	1		115		3	112	222.747		5.811	216.937			2.609	97.391	23		3	20	25			21.739	44.549		5.811	38.739	161.972		25	147.059	1393	51628	8.8	37.2
jhu/daily	b931950a9568	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-23	62	20	9	2			2	2		118		23	95	228.558		44.549	184.009			19.492	80.508	3		20	-17	2.609		666.667	-15.179	5.811		38.739	-32.928	21.127		166.667	-125	1393	51628	8.8	37.2
jhu/daily	e7f94a2b1a0e	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-24	63	21	10	3			3	3		122		33	89	236.306		63.919	172.387			27.049	72.951	4		10	-6	3.39		43.478	-6.316	7.748		19.369	-11.622	28.169		83.333	-44.118	1393	51628	8.8	37.2
jhu/daily	8b696f6ff663	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-25	64	22	11	4			4	4		132		38	94	255.675		73.603	182.072			28.788	71.212	10		5	5	8.197		15.152	5.618	19.369		9.685	9.685	70.423		41.667	36.765	1393	51628	8.8	37.2
jhu/daily	2baaa59c6163	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-26	65	23	12	5			5	5		140		47	93	271.171		91.036	180.135			33.571	66.429	8		9	-1	6.061		23.684	-1.064	15.495		17.432	-1.937	56.338		75	-7.353	1393	51628	8.8	37.2
jhu/daily	1ba491147037	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-27	66	24	13	6			6	6		144		54	90	278.918		104.594	174.324			37.5	62.5	4		7	-3	2.857		14.894	-3.226	7.748		13.559	-5.811	28.169		58.333	-22.059	1393	51628	8.8	37.2
jhu/daily	408ba63f74c7	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-28	67	25	14	7			7	7		155		54	101	300.225		104.594	195.63			34.839	65.161	11			11	7.639			12.222	21.306			21.306	77.465			80.882	1393	51628	8.8	37.2
jhu/daily	1f6ba31a8aea	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-29	68	26	15	8			8	8		159		70	89	307.972		135.585	172.387			44.025	55.975	4		16	-12	2.581		29.63	-11.881	7.748		30.991	-23.243	28.169		133.333	-88.235	1393	51628	8.8	37.2
jhu/daily	1efd52214db4	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-30	69	27	16	9			9	9		168		70	98	325.405		135.585	189.819			41.667	58.333	9			9	5.66			10.112	17.432			17.432	63.38			66.176	1393	51628	8.8	37.2
jhu/daily	d85d6071b5fe	dd9bb4f2e800	total-country	Faroe Islands	FO	Faroe Islands			62	-7	Europe	Northern Europe	2020-03-31	70	28	17	10			10	10		169		74	95	327.342		143.333	184.009			43.787	56.213	1		4	-3	0.595		5.714	-3.061	1.937		7.748	-5.811	7.042		33.333	-22.059	1393	51628	8.8	37.2
