dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	9afd34d41dca	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-04	43	1					-26	-26		1			1	3.381			3.381				100	1			1					10.417			10.87	6.5	29581	8.6	35.5
jhu/daily	7a9c030cde71	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-10	49	7					-20	-20		1		1		3.381		3.381				100				1	-1				-100			13.514	-10.87	6.5	29581	8.6	35.5
jhu/daily	8c17ad1325ed	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-17	56	14					-13	-13		3		1	2	10.142		3.381	6.761			33.333	66.667	2			2	200				20.833			21.739	6.5	29581	8.6	35.5
jhu/daily	6251f96cced9	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-18	57	15					-12	-12		8		2	6	27.044		6.761	20.283			25	75	5		1	4	166.667		100	200	52.083		13.514	43.478	6.5	29581	8.6	35.5
jhu/daily	722e876f0efc	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-19	58	16	1				-11	-11		10		2	8	33.805		6.761	27.044			20	80	2			2	25			33.333	20.833			21.739	6.5	29581	8.6	35.5
jhu/daily	a02196c9ca91	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-22	61	19	4				-8	-8		15		2	13	50.708		6.761	43.947			13.333	86.667	5			5	50			62.5	52.083			54.348	6.5	29581	8.6	35.5
jhu/daily	42f851d8c386	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-23	62	20	5				-7	-7		15		5	10	50.708		16.903	33.805			33.333	66.667			3	-3			150	-23.077			40.541	-32.609	6.5	29581	8.6	35.5
jhu/daily	1c2713f8ed5c	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-25	64	22	7				-5	-5		26		5	21	87.894		16.903	70.992			19.231	80.769	11			11	73.333			110	114.583			119.565	6.5	29581	8.6	35.5
jhu/daily	f90814a654ab	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-26	65	23	8				-4	-4		35		13	22	118.319		43.947	74.372			37.143	62.857	9		8	1	34.615		160	4.762	93.75		108.108	10.87	6.5	29581	8.6	35.5
jhu/daily	c268e87d852e	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-27	66	24	9				-3	-3		55		14	41	185.93		47.328	138.602			25.455	74.545	20		1	19	57.143		7.692	86.364	208.333		13.514	206.522	6.5	29581	8.6	35.5
jhu/daily	62d143fe77e3	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-28	67	25	10				-2	-2		56		14	42	189.311		47.328	141.983			25	75	1			1	1.818			2.439	10.417			10.87	6.5	29581	8.6	35.5
jhu/daily	892142961102	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-29	68	26	11				-1	-1		65		14	51	219.736		47.328	172.408			21.538	78.462	9			9	16.071			21.429	93.75			97.826	6.5	29581	8.6	35.5
jhu/daily	55a901fd8e1d	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-03-30	69	27	12				0	0		69		34	35	233.258		114.939	118.319			49.275	50.725	4		20	-16	6.154		142.857	-31.373	41.667		270.27	-173.913	6.5	29581	8.6	35.5
jhu/daily	29edf082dd81	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-01	71	29	14				2	2		81		34	47	273.824		114.939	158.886			41.975	58.025	12			12	17.391			34.286	125			130.435	6.5	29581	8.6	35.5
jhu/daily	7ba1add72073	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-02	72	30	15				3	3		88		46	42	297.488		155.505	141.983			52.273	47.727	7		12	-5	8.642		35.294	-10.638	72.917		162.162	-54.348	6.5	29581	8.6	35.5
jhu/daily	102dc08dccca	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-03	73	31	16				4	4		95		46	49	321.152		155.505	165.647			48.421	51.579	7			7	7.955			16.667	72.917			76.087	6.5	29581	8.6	35.5
jhu/daily	1a24afd6be16	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-04	74	32	17				5	5		98		52	46	331.294		175.789	155.505			53.061	46.939	3		6	-3	3.158		13.043	-6.122	31.25		81.081	-32.609	6.5	29581	8.6	35.5
jhu/daily	33593070c739	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-05	75	33	18	1			6	6		103		52	51	348.196		175.789	172.408			50.485	49.515	5			5	5.102			10.87	52.083			54.348	6.5	29581	8.6	35.5
jhu/daily	9e030883afde	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-06	76	34	19	2			7	7		109		52	57	368.48		175.789	192.691			47.706	52.294	6			6	5.825			11.765	62.5			65.217	6.5	29581	8.6	35.5
jhu/daily	ae626a4d63ae	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-07	77	35	20	3			8	8		113		60	53	382.002		202.833	179.169			53.097	46.903	4		8	-4	3.67		15.385	-7.018	41.667		108.108	-43.478	6.5	29581	8.6	35.5
jhu/daily	2c3652b8d186	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-08	78	36	21	4			9	9		120		60	60	405.666		202.833	202.833			50	50	7			7	6.195			13.208	72.917			76.087	6.5	29581	8.6	35.5
jhu/daily	5a241ce7e4d8	a76522ab7411	total-country	Gibraltar	GI	Gibraltar			36.13333333	-5.35	Europe	Southern Europe	2020-04-09	79	37	22	5			10	10		123		60	63	415.807		202.833	212.975			48.78	51.22	3			3	2.5			5	31.25			32.609	6.5	29581	8.6	35.5
