dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	f171abd932b6	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-16	55	1					-9	-9		1			1	1.736			1.736				100	1			1					83.333			83.333	2166086	57616	9	34.3
jhu/daily	0eeb68d0ffc6	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-19	58	4					-6	-6		2			2	3.471			3.471				100	1			1	100			100	83.333			83.333	2166086	57616	9	34.3
jhu/daily	693129d3d8fb	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-22	61	7					-3	-3		4			4	6.943			6.943				100	2			2	100			100	166.667			166.667	2166086	57616	9	34.3
jhu/daily	5079fb442ef7	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-24	63	9					-1	-1		5		2	3	8.678		3.471	5.207			40	60	1		2	-1	25			-25	83.333		160	-83.333	2166086	57616	9	34.3
jhu/daily	0447091bd3c1	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-25	64	10					0	0		6		2	4	10.414		3.471	6.943			33.333	66.667	1			1	20			33.333	83.333			83.333	2166086	57616	9	34.3
jhu/daily	f69ea3e206e6	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-27	66	12	1				2	2		10		2	8	17.356		3.471	13.885			20	80	4			4	66.667			100	333.333			333.333	2166086	57616	9	34.3
jhu/daily	412158897e01	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-03	73	19	8				9	9		10		3	7	17.356		5.207	12.149			30	70			1	-1			50	-12.5			80	-83.333	2166086	57616	9	34.3
jhu/daily	97ebc1b97401	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-04	74	20	9				10	10		11		3	8	19.092		5.207	13.885			27.273	72.727	1			1	10			14.286	83.333			83.333	2166086	57616	9	34.3
jhu/daily	799c706b5bc0	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-06	76	22	11				12	12		11		4	7	19.092		6.943	12.149			36.364	63.636			1	-1			33.333	-12.5			80	-83.333	2166086	57616	9	34.3
jhu/daily	7e2e6f4a79ee	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-07	77	23	12				13	13		11		10	1	19.092		17.356	1.736			90.909	9.091			6	-6			150	-85.714			480	-500	2166086	57616	9	34.3
jhu/daily	685852888f2b	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-08	78	24	13				14	14		11		11		19.092		19.092				100				1	-1			10	-100			80	-83.333	2166086	57616	9	34.3
