dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	c38c31c8d174	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-13	52	1					-23	-23		1			1	0.008			0.008				100	1			1					0.008			0.008	3.817			4.167	245857	12527440	8.4	19.1
jhu/daily	3d3bed9a46a4	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-21	60	9					-15	-15		2			2	0.016			0.016				100	1			1	100			100	0.008			0.008	3.817			4.167	245857	12527440	8.4	19.1
jhu/daily	569469931c9c	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-23	62	11					-13	-13		4			4	0.032			0.032				100	2			2	100			100	0.016			0.016	7.634			8.333	245857	12527440	8.4	19.1
jhu/daily	2bee203c4be7	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-27	66	15					-9	-9		8			8	0.064			0.064				100	4			4	100			100	0.032			0.032	15.267			16.667	245857	12527440	8.4	19.1
jhu/daily	d45614f128d8	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-29	68	17	1				-7	-7		16			16	0.128			0.128				100	8			8	100			100	0.064			0.064	30.534			33.333	245857	12527440	8.4	19.1
jhu/daily	ce1e4f7beddb	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-30	69	18	2				-6	-6		22			22	0.176			0.176				100	6			6	37.5			37.5	0.048			0.048	22.901			25	245857	12527440	8.4	19.1
jhu/daily	975ac5465f27	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-01	71	20	4				-4	-4		30			30	0.239			0.239				100	8			8	36.364			36.364	0.064			0.064	30.534			33.333	245857	12527440	8.4	19.1
jhu/daily	7549bfe28998	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-02	72	21	5				-3	-3		52			52	0.415			0.415				100	22			22	73.333			73.333	0.176			0.176	83.969			91.667	245857	12527440	8.4	19.1
jhu/daily	b543d0e892c1	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-03	73	22	6				-2	-2		73		2	71	0.583		0.016	0.567			2.74	97.26	21		2	19	40.385			36.538	0.168		0.016	0.152	80.153		72.727	79.167	245857	12527440	8.4	19.1
jhu/daily	69081306304b	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-04	74	23	7	1			-1	-1		111		5	106	0.886		0.04	0.846			4.505	95.495	38		3	35	52.055		150	49.296	0.303		0.024	0.279	145.038		109.091	145.833	245857	12527440	8.4	19.1
jhu/daily	b39ea2d57aba	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-05	75	24	8	2			0	0		121		5	116	0.966		0.04	0.926			4.132	95.868	10			10	9.009			9.434	0.08			0.08	38.168			41.667	245857	12527440	8.4	19.1
jhu/daily	f7a366175520	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-06	76	25	9	3			1	1		128		5	123	1.022		0.04	0.982			3.906	96.094	7			7	5.785			6.034	0.056			0.056	26.718			29.167	245857	12527440	8.4	19.1
jhu/daily	33cab196f19d	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-07	77	26	10	4			2	2		144		5	139	1.149		0.04	1.11			3.472	96.528	16			16	12.5			13.008	0.128			0.128	61.069			66.667	245857	12527440	8.4	19.1
jhu/daily	9eeafe683d0e	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-08	78	27	11	5			3	3		164		5	159	1.309		0.04	1.269			3.049	96.951	20			20	13.889			14.388	0.16			0.16	76.336			83.333	245857	12527440	8.4	19.1
jhu/daily	b510d8843848	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-09	79	28	12	6			4	4		194		11	183	1.549		0.088	1.461			5.67	94.33	30		6	24	18.293		120	15.094	0.239		0.048	0.192	114.504		218.182	100	245857	12527440	8.4	19.1
jhu/daily	250963adfdb8	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-10	80	29	13	7			5	5		212		15	197	1.692		0.12	1.573			7.075	92.925	18		4	14	9.278		36.364	7.65	0.144		0.032	0.112	68.702		145.455	58.333	245857	12527440	8.4	19.1
jhu/daily	ee34302983af	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-11	81	30	14	8			6	6		250		17	233	1.996		0.136	1.86			6.8	93.2	38		2	36	17.925		13.333	18.274	0.303		0.016	0.287	145.038		72.727	150	245857	12527440	8.4	19.1
