dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	860d00e2b8a2	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-13	52	1					-14	-12	-17	1			1								100	1			1									8.772			10.204				
jhu/daily	f0ad233921e6	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-15	54	3					-12	-10	-15	3			3								100	2			2	200			200					17.544			20.408				
jhu/daily	f5463b56de6c	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-16	55	4					-11	-9	-14	9			9								100	6			6	200			200					52.632			61.224				
jhu/daily	c6c0d3259185	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-17	56	5	1				-10	-8	-13	24			24								100	15			15	166.667			166.667					131.579			153.061				
jhu/daily	08c2aec9a10d	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-18	57	6	2				-9	-7	-12	27			27								100	3			3	12.5			12.5					26.316			30.612				
jhu/daily	e827382b0e6c	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-19	58	7	3				-8	-6	-11	33			33								100	6			6	22.222			22.222					52.632			61.224				
jhu/daily	9a1b36584867	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-20	59	8	4				-7	-5	-10	45			45								100	12			12	36.364			36.364					105.263			122.449				
jhu/daily	ad76cc076317	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-21	60	9	5				-6	-4	-9	53			53								100	8			8	17.778			17.778					70.175			81.633				
jhu/daily	cc146f59efd6	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-22	61	10	6				-5	-3	-8	56	1		55						1.786		98.214	3	1		2	5.66			3.774					26.316	83.333		20.408				
jhu/daily	cb23966d081b	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-23	62	11	7				-4	-2	-7	62	1		61						1.613		98.387	6			6	10.714			10.909					52.632			61.224				
jhu/daily	553adafe055b	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-25	64	13	9				-2	0	-5	73	1		72						1.37		98.63	11			11	17.742			18.033					96.491			112.245				
jhu/daily	eae822d61fac	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-28	67	16	12	1			0	3	-2	102	2	17	83						1.961	16.667	81.373	29	1	17	11	39.726	100		15.278					254.386	83.333	197.674	112.245				
jhu/daily	ff05730fde95	c10f0e4071d3	total-country	Guadeloupe	GP	Guadeloupe			16.25	-61.583333	Americas	Caribbean	2020-03-29	68	17	13	2			1	4	-1	106	4	17	85						3.774	16.038	80.189	4	2		2	3.922	100		2.41					35.088	166.667		20.408				
