dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	50118101b483	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-14	53	1					-17	-24	-11	1			1	0.006			0.006				100	1			1					0.006			0.006	10.204			11.628	108889	17153288	4.9	23.2
jhu/daily	ccb56a1900bb	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-16	55	3					-15	-22	-9	2	1		1	0.012	0.006		0.006		50		50	1	1			100				0.006	0.006			10.204	100			108889	17153288	4.9	23.2
jhu/daily	5f5191179fff	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-17	56	4					-14	-21	-8	6	1		5	0.035	0.006		0.029		16.667		83.333	4			4	200			400	0.023			0.023	40.816			46.512	108889	17153288	4.9	23.2
jhu/daily	fd628954eae8	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-19	58	6					-12	-19	-6	9	1		8	0.052	0.006		0.047		11.111		88.889	3			3	50			60	0.017			0.017	30.612			34.884	108889	17153288	4.9	23.2
jhu/daily	7b5ecd5283a1	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-20	59	7	1				-11	-18	-5	12	1		11	0.07	0.006		0.064		8.333		91.667	3			3	33.333			37.5	0.017			0.017	30.612			34.884	108889	17153288	4.9	23.2
jhu/daily	9fcad11d1dc8	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-21	60	8	2				-10	-17	-4	17	1		16	0.099	0.006		0.093		5.882		94.118	5			5	41.667			45.455	0.029			0.029	51.02			58.14	108889	17153288	4.9	23.2
jhu/daily	4595f78befc1	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-22	61	9	3				-9	-16	-3	19	1		18	0.111	0.006		0.105		5.263		94.737	2			2	11.765			12.5	0.012			0.012	20.408			23.256	108889	17153288	4.9	23.2
jhu/daily	dca4daa6529b	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-23	62	10	4				-8	-15	-2	20	1		19	0.117	0.006		0.111		5		95	1			1	5.263			5.556	0.006			0.006	10.204			11.628	108889	17153288	4.9	23.2
jhu/daily	3b4c71e3b83f	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-24	63	11	5				-7	-14	-1	21	1		20	0.122	0.006		0.117		4.762		95.238	1			1	5			5.263	0.006			0.006	10.204			11.628	108889	17153288	4.9	23.2
jhu/daily	5de5ee4ba132	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-25	64	12	6				-6	-13	0	24	1	4	19	0.14	0.006	0.023	0.111		4.167	16.667	79.167	3		4	-1	14.286			-5	0.017		0.023	-0.006	30.612		153.846	-11.628	108889	17153288	4.9	23.2
jhu/daily	7a444066c6a7	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-26	65	13	7				-5	-12	1	25	1	4	20	0.146	0.006	0.023	0.117		4	16	80	1			1	4.167			5.263	0.006			0.006	10.204			11.628	108889	17153288	4.9	23.2
jhu/daily	3e31cd715af0	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-27	66	14	8				-4	-11	2	28	1	4	23	0.163	0.006	0.023	0.134		3.571	14.286	82.143	3			3	12			15	0.017			0.017	30.612			34.884	108889	17153288	4.9	23.2
jhu/daily	910f68a22d86	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-28	67	15	9				-3	-10	3	34	1	10	23	0.198	0.006	0.058	0.134		2.941	29.412	67.647	6		6		21.429		150		0.035		0.035		61.224		230.769		108889	17153288	4.9	23.2
jhu/daily	2c967fbcb52d	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-30	69	17	11				-1	-8	5	36	1	10	25	0.21	0.006	0.058	0.146		2.778	27.778	69.444	2			2	5.882			8.696	0.012			0.012	20.408			23.256	108889	17153288	4.9	23.2
jhu/daily	d098421786ab	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-31	70	18	12				-0	-7	6	38	1	12	25	0.222	0.006	0.07	0.146		2.632	31.579	65.789	2		2		5.556		20		0.012		0.012		20.408		76.923		108889	17153288	4.9	23.2
jhu/daily	a3e1aa83761c	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-01	71	19	13				0	-6	7	39	1	12	26	0.227	0.006	0.07	0.152		2.564	30.769	66.667	1			1	2.632			4	0.006			0.006	10.204			11.628	108889	17153288	4.9	23.2
jhu/daily	167e4cbda6c9	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-02	72	20	14				1	-5	8	47	1	12	34	0.274	0.006	0.07	0.198		2.128	25.532	72.34	8			8	20.513			30.769	0.047			0.047	81.633			93.023	108889	17153288	4.9	23.2
jhu/daily	0a91dd1e9dcd	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-03	73	21	15				2	-4	9	50	1	12	37	0.291	0.006	0.07	0.216		2	24	74	3			3	6.383			8.824	0.017			0.017	30.612			34.884	108889	17153288	4.9	23.2
jhu/daily	4160fe2c7252	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-04	74	22	16				3	-3	10	61	2	15	44	0.356	0.012	0.087	0.257		3.279	24.59	72.131	11	1	3	7	22	100	25	18.919	0.064	0.006	0.017	0.041	112.245	100	115.385	81.395	108889	17153288	4.9	23.2
jhu/daily	d49928ac5d98	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-06	76	24	18				5	-1	12	70	3	15	52	0.408	0.017	0.087	0.303		4.286	21.429	74.286	9	1		8	14.754	50		18.182	0.052	0.006		0.047	91.837	100		93.023	108889	17153288	4.9	23.2
jhu/daily	bfd9d1e9cce7	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-07	77	25	19				6	0	13	77	3	17	57	0.449	0.017	0.099	0.332		3.896	22.078	74.026	7		2	5	10		13.333	9.615	0.041		0.012	0.029	71.429		76.923	58.14	108889	17153288	4.9	23.2
jhu/daily	ebc28bfcb674	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-08	78	26	20				7	1	14	87	3	17	67	0.507	0.017	0.099	0.391		3.448	19.54	77.011	10			10	12.987			17.544	0.058			0.058	102.041			116.279	108889	17153288	4.9	23.2
jhu/daily	c9c8a7845594	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-09	79	27	21				8	2	15	95	3	17	75	0.554	0.017	0.099	0.437		3.158	17.895	78.947	8			8	9.195			11.94	0.047			0.047	81.633			93.023	108889	17153288	4.9	23.2
jhu/daily	87a9df7261bf	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-10	80	28	22	1			9	3	16	126	3	17	106	0.735	0.017	0.099	0.618		2.381	13.492	84.127	31			31	32.632			41.333	0.181			0.181	316.327			360.465	108889	17153288	4.9	23.2
jhu/daily	b96c00773e50	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-04-11	81	29	23	2			10	4	17	137	3	19	115	0.799	0.017	0.111	0.67		2.19	13.869	83.942	11		2	9	8.73		11.765	8.491	0.064		0.012	0.052	112.245		76.923	104.651	108889	17153288	4.9	23.2
