dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	9cb846585513	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-01-23	2	1					-46	-64	-28	2			2	0.028			0.028				100	2			2					0.028			0.028	3.968			4.31	1108	7249907	7.9	45.6
jhu/daily	af928457e3f4	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-01-25	4	3					-44	-62	-26	5			5	0.069			0.069				100	3			3	150			150	0.041			0.041	5.952			6.466	1108	7249907	7.9	45.6
jhu/daily	ae9ef0926c57	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-01-26	5	4					-43	-61	-25	8			8	0.11			0.11				100	3			3	60			60	0.041			0.041	5.952			6.466	1108	7249907	7.9	45.6
jhu/daily	e9d8d1ac57b1	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-01-29	8	7	1				-40	-58	-22	10			10	0.138			0.138				100	2			2	25			25	0.028			0.028	3.968			4.31	1108	7249907	7.9	45.6
jhu/daily	e94c0deaae05	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-01-31	10	9	3				-38	-56	-20	12			12	0.166			0.166				100	2			2	20			20	0.028			0.028	3.968			4.31	1108	7249907	7.9	45.6
jhu/daily	c3da6c79615f	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-01	11	10	4				-37	-55	-19	13			13	0.179			0.179				100	1			1	8.333			8.333	0.014			0.014	1.984			2.155	1108	7249907	7.9	45.6
jhu/daily	8748bcea8062	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-02	12	11	5				-36	-54	-18	15			15	0.207			0.207				100	2			2	15.385			15.385	0.028			0.028	3.968			4.31	1108	7249907	7.9	45.6
jhu/daily	e2abb55741e5	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-04	14	13	7				-34	-52	-16	17	1		16	0.234	0.014		0.221		5.882		94.118	2	1		1	13.333			6.667	0.028	0.014		0.014	3.968	100		2.155	1108	7249907	7.9	45.6
jhu/daily	bbb3d8d1c397	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-05	15	14	8				-33	-51	-15	21	1		20	0.29	0.014		0.276		4.762		95.238	4			4	23.529			25	0.055			0.055	7.937			8.621	1108	7249907	7.9	45.6
jhu/daily	ba09a2be4afe	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-06	16	15	9				-32	-50	-14	24	1		23	0.331	0.014		0.317		4.167		95.833	3			3	14.286			15	0.041			0.041	5.952			6.466	1108	7249907	7.9	45.6
jhu/daily	b671f3c62c94	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-07	17	16	10				-31	-49	-13	25	1		24	0.345	0.014		0.331		4		96	1			1	4.167			4.348	0.014			0.014	1.984			2.155	1108	7249907	7.9	45.6
jhu/daily	d47d769dbd01	6d70359f4870	total-country	Hong Kong	HK	Hong Kong			22.267	114.188	Asia	Eastern Asia	2020-02-08	18	17	11				-30	-48	-12	26	1		25	0.359	0.014		0.345		3.846		96.154	1			1	4			4.167	0.014			0.014	1.984			2.155	1108	7249907	7.9	45.6
