dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	498c5a68b07d	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-20	59	1					-9	-9		2			2	0.01807047612180838			0.01807047612180838				100	2			2					76.92307692307692			71.42857142857143	27750	11067777	7.4	24.1
jhu/daily	a7873dda7e95	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-23	62	4					-6	-6		6			6	0.05421142836542515			0.05421142836542515				100	4			4	200			200	153.84615384615384			142.85714285714286	27750	11067777	7.4	24.1
jhu/daily	92da4483f7b8	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-24	63	5					-5	-5		7			7	0.06324666642632934			0.06324666642632934				100	1			1	16.666666666666668			16.666666666666668	38.46153846153846			35.714285714285715	27750	11067777	7.4	24.1
jhu/daily	6749491acdbe	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-25	64	6					-4	-4		8			8	0.07228190448723353			0.07228190448723353				100	1			1	14.285714285714286			14.285714285714286	38.46153846153846			35.714285714285715	27750	11067777	7.4	24.1
jhu/daily	2b84a2c39835	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-29	68	10	1				0	0		15		1	14	0.13552857091356285		0.00903523806090419	0.12649333285265868			6.666666666666667	93.33333333333333	7		1	6	87.5			75	269.2307692307692			214.28571428571428	27750	11067777	7.4	24.1
jhu/daily	8663f2baa698	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-01	71	13	4				3	3		16		1	15	0.14456380897446705		0.00903523806090419	0.13552857091356285			6.25	93.75	1			1	6.666666666666667			7.142857142857143	38.46153846153846			35.714285714285715	27750	11067777	7.4	24.1
jhu/daily	eddb463363f0	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-03	73	15	6				5	5		18		1	17	0.16263428509627542		0.00903523806090419	0.15359904703537125			5.555555555555555	94.44444444444444	2			2	12.5			13.333333333333334	76.92307692307692			71.42857142857143	27750	11067777	7.4	24.1
jhu/daily	4f339c28ee38	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-04	74	16	7				6	6		20		1	19	0.18070476121808382		0.00903523806090419	0.17166952315717962			5	95	2			2	11.11111111111111			11.764705882352942	76.92307692307692			71.42857142857143	27750	11067777	7.4	24.1
jhu/daily	9628320e56be	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-05	75	17	8				7	7		21	1	1	19	0.189739999278988	0.00903523806090419	0.00903523806090419	0.17166952315717962		4.761904761904762	4.761904761904762	90.47619047619048	1	1			5				38.46153846153846				27750	11067777	7.4	24.1
jhu/daily	eee7366cbab0	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-06	76	18	9				8	8		24	1		23	0.2168457134617006	0.00903523806090419		0.2078104754007964		4.166666666666666		95.83333333333334	3		-1	4	14.285714285714286		-100	21.05263157894737	115.38461538461537			142.85714285714286	27750	11067777	7.4	24.1
jhu/daily	a6f72034372a	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-07	77	19	10				9	9		25	1		24	0.22588095152260476	0.00903523806090419		0.2168457134617006		4		96	1			1	4.166666666666667			4.3478260869565215	38.46153846153846			35.714285714285715	27750	11067777	7.4	24.1
