dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	00edf3d7c3d5	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-26	36	1					-36	-34	-38	2			2	0.023			0.023				100	2			2					0.314			0.341	21937	8675475	5.3	30.4
jhu/daily	4984fc432e01	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-27	37	2					-35	-33	-37	3		1	2	0.035		0.012	0.023			33.333	66.667	1		1		50				0.157		0.965		21937	8675475	5.3	30.4
jhu/daily	d707a56cd8e1	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-28	38	3					-34	-32	-36	4		1	3	0.046		0.012	0.035			25	75	1			1	33.333			50	0.157			0.17	21937	8675475	5.3	30.4
jhu/daily	646148addfd8	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-29	39	4					-33	-31	-35	7		1	6	0.081		0.012	0.069			14.286	85.714	3			3	75			100	0.471			0.511	21937	8675475	5.3	30.4
jhu/daily	3c1c700c6031	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-01	40	5	1				-32	-30	-34	10		1	9	0.115		0.012	0.104			10	90	3			3	42.857			50	0.471			0.511	21937	8675475	5.3	30.4
jhu/daily	d600979b04c2	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-03	42	7	3				-30	-28	-32	12		1	11	0.138		0.012	0.127			8.333	91.667	2			2	20			22.222	0.314			0.341	21937	8675475	5.3	30.4
jhu/daily	a288fb3be468	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-04	43	8	4				-29	-27	-31	15		1	14	0.173		0.012	0.161			6.667	93.333	3			3	25			27.273	0.471			0.511	21937	8675475	5.3	30.4
jhu/daily	6370d79cb2c9	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-05	44	9	5				-28	-26	-30	16		1	15	0.184		0.012	0.173			6.25	93.75	1			1	6.667			7.143	0.157			0.17	21937	8675475	5.3	30.4
jhu/daily	f73cf7cfced1	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-06	45	10	6				-27	-25	-29	21		2	19	0.242		0.023	0.219			9.524	90.476	5		1	4	31.25		100	26.667	0.784		0.965	0.682	21937	8675475	5.3	30.4
jhu/daily	ccc5f1444361	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-08	47	12	8				-25	-23	-27	39		2	37	0.45		0.023	0.426			5.128	94.872	18			18	85.714			94.737	2.823			3.067	21937	8675475	5.3	30.4
jhu/daily	69de9be34dda	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-10	49	14	10				-23	-21	-25	58		4	54	0.669		0.046	0.622			6.897	93.103	19		2	17	48.718		100	45.946	2.98		1.931	2.897	21937	8675475	5.3	30.4
jhu/daily	c73419e5c2b1	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-11	50	15	11	1			-22	-20	-24	109		4	105	1.256		0.046	1.21			3.67	96.33	51			51	87.931			94.444	7.999			8.691	21937	8675475	5.3	30.4
