dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	b6bcd3488dfd	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-24	34	1					-37	-38	-37	1			1	0.002572502444198885			0.002572502444198885				100	1			1					1.2755102040816324			1.9762845849802373	438317	38872655	3.9	21.2
jhu/daily	2a8b6fd32ff2	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-26	36	3					-35	-36	-35	5			5	0.012862512220994425			0.012862512220994425				100	4			4	400			400	5.10204081632653			7.905138339920949	438317	38872655	3.9	21.2
jhu/daily	47a94d3eed15	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-27	37	4					-34	-35	-34	7			7	0.018007517109392194			0.018007517109392194				100	2			2	40			40	2.551020408163265			3.9525691699604746	438317	38872655	3.9	21.2
jhu/daily	c170747b4932	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-29	39	6	1				-32	-33	-32	13			13	0.033442531774585504			0.033442531774585504				100	6			6	85.71428571428571			85.71428571428571	7.653061224489795			11.857707509881422	438317	38872655	3.9	21.2
jhu/daily	fbb9dfad3adc	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-01	40	7	2				-31	-32	-31	19			19	0.04887754643977881			0.04887754643977881				100	6			6	46.15384615384615			46.15384615384615	7.653061224489795			11.857707509881422	438317	38872655	3.9	21.2
jhu/daily	6bea7ca601ba	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-02	41	8	3				-30	-31	-30	26			26	0.06688506354917101			0.06688506354917101				100	7			7	36.8421052631579			36.8421052631579	8.928571428571427			13.83399209486166	438317	38872655	3.9	21.2
jhu/daily	9ac8e2c45de0	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-03	42	9	4				-29	-30	-29	32			32	0.08232007821436432			0.08232007821436432				100	6			6	23.076923076923077			23.076923076923077	7.653061224489795			11.857707509881422	438317	38872655	3.9	21.2
jhu/daily	86214817a1b2	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-04	43	10	5				-28	-29	-28	35	2		33	0.09003758554696097	0.00514500488839777		0.0848925806585632		5.714285714285714		94.28571428571428	3	2		1	9.375			3.125	3.8265306122448974	47.61904761904761		1.9762845849802373	438317	38872655	3.9	21.2
jhu/daily	286b4c0dbac1	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-06	45	12	7				-26	-27	-26	40	3		37	0.1029000977679554	0.007717507332596654		0.09518259043535873		7.5		92.5	5	1		4	14.285714285714286	50		12.121212121212121	6.377551020408164	23.809523809523807		7.905138339920949	438317	38872655	3.9	21.2
jhu/daily	43147ea79ea1	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-07	46	13	8				-25	-26	-25	54	4		50	0.1389151319867398	0.01029000977679554		0.12862512220994426		7.4074074074074066		92.5925925925926	14	1		13	35	33.333333333333336		35.13513513513514	17.857142857142854	23.809523809523807		25.691699604743086	438317	38872655	3.9	21.2
jhu/daily	a2f42a22ad80	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-08	47	14	9				-24	-25	-24	60	6		54	0.15435014665193308	0.015435014665193309		0.1389151319867398		10		90	6	2		4	11.11111111111111	50		8	7.653061224489795	47.61904761904761		7.905138339920949	438317	38872655	3.9	21.2
jhu/daily	92699c85880f	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-09	48	15	10				-23	-24	-23	60	6	9	45	0.15435014665193308	0.015435014665193309	0.023152521997789964	0.11576260998894983		10	15	75			9	-9				-16.666666666666668			22.613065326633166	-17.786561264822133	438317	38872655	3.9	21.2
jhu/daily	fdfd0a734192	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-10	49	16	11				-22	-23	-22	71	7	3	61	0.18264767353812084	0.018007517109392194	0.007717507332596654	0.15692264909613196		9.859154929577464	4.225352112676056	85.91549295774648	11	1	-6	16	18.333333333333332	16.666666666666668	-66.66666666666667	35.55555555555556	14.030612244897958	23.809523809523807	-15.075376884422113	31.620553359683797	438317	38872655	3.9	21.2
jhu/daily	3655f13864d9	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-11	50	17	12				-21	-22	-21	71	7	15	49	0.18264767353812084	0.018007517109392194	0.03858753666298327	0.12605261976574536		9.859154929577464	21.12676056338028	69.01408450704226			12	-12			400	-19.672131147540984			30.150753768844226	-23.715415019762844	438317	38872655	3.9	21.2
jhu/daily	3b8e672ef4a1	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-12	51	18	13				-20	-21	-20	71	8	15	48	0.18264767353812084	0.02058001955359108	0.03858753666298327	0.12348011732154647		11.267605633802818	21.12676056338028	67.6056338028169		1		-1		14.285714285714286		-2.0408163265306123		23.809523809523807		-1.9762845849802373	438317	38872655	3.9	21.2
jhu/daily	01a50572728c	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-13	52	19	14	1			-19	-20	-19	101	9	24	68	0.25982274686408735	0.023152521997789964	0.061740058660773235	0.17493016620552418		8.91089108910891	23.762376237623762	67.32673267326733	30	1	9	20	42.25352112676056	12.5	60	41.666666666666664	38.265306122448976	23.809523809523807	22.613065326633166	39.52569169960474	438317	38872655	3.9	21.2
