dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	413d92e54f15	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-22	1	1					-68	-71	-66	2			2	0.0015935306226230103			0.0015935306226230103				100	2			2					0.6518904823989569			0.7396449704142012	377915	125507472	10.2	48.6
jhu/daily	707815559e46	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-23	2	2					-67	-70	-65	1			1	0.0007967653113115052			0.0007967653113115052				100	-1			-1	-50			-50	-0.32594524119947843			-0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	67de5f6ad9eb	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-24	3	3					-66	-69	-64	2			2	0.0015935306226230103			0.0015935306226230103				100	1			1	100			100	0.32594524119947843			0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	4437770052e2	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-26	5	5					-64	-67	-62	4		1	3	0.0031870612452460207		0.0007967653113115052	0.0023902959339345154			25	75	2		1	1	100			50	0.6518904823989569		2.1739130434782608	0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	3faef577189b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-28	7	7					-62	-65	-60	7		1	6	0.005577357179180536		0.0007967653113115052	0.004780591867869031			14.285714285714285	85.71428571428571	3			3	75			100	0.9778357235984355			1.109467455621302	377915	125507472	10.2	48.6
jhu/daily	8f048b6e5422	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-30	9	9	1				-60	-63	-58	11		1	10	0.008764418424426556		0.0007967653113115052	0.00796765311311505			9.090909090909092	90.9090909090909	4			4	57.142857142857146			66.66666666666667	1.3037809647979137			1.4792899408284024	377915	125507472	10.2	48.6
jhu/daily	31b0f8d580f1	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-31	10	10	2				-59	-62	-57	15		1	14	0.011951479669672575		0.0007967653113115052	0.011154714358361071			6.666666666666667	93.33333333333333	4			4	36.36363636363637			40	1.3037809647979137			1.4792899408284024	377915	125507472	10.2	48.6
jhu/daily	755bbfbf0a9d	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-01	11	11	3				-58	-61	-56	20		1	19	0.0159353062262301		0.0007967653113115052	0.015138540914918596			5	95	5			5	33.333333333333336			35.714285714285715	1.6297262059973925			1.849112426035503	377915	125507472	10.2	48.6
jhu/daily	e4c5455c7ddd	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-04	14	14	6				-55	-58	-53	22		1	21	0.017528836848853112		0.0007967653113115052	0.016732071537541606			4.545454545454546	95.45454545454545	2			2	10			10.526315789473685	0.6518904823989569			0.7396449704142012	377915	125507472	10.2	48.6
jhu/daily	ae95ffe6a115	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-06	16	16	8				-53	-56	-51	45		1	44	0.035854439009017726		0.0007967653113115052	0.035057673697706224			2.2222222222222223	97.77777777777777	23			23	104.54545454545455			109.52380952380952	7.496740547588004			8.505917159763314	377915	125507472	10.2	48.6
jhu/daily	d6009d714d6b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-07	17	17	9				-52	-55	-50	25		1	24	0.019919132782787626		0.0007967653113115052	0.019122367471476123			4	96	-20			-20	-44.44444444444444			-45.45454545454545	-6.51890482398957			-7.396449704142012	377915	125507472	10.2	48.6
jhu/daily	76cef94a18e9	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-09	19	19	11				-50	-53	-48	26		1	25	0.02071589809409913		0.0007967653113115052	0.019919132782787626			3.8461538461538463	96.15384615384616	1			1	4			4.166666666666667	0.32594524119947843			0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	012e320ff06b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-10	20	20	12				-49	-52	-47	26		4	22	0.02071589809409913		0.0031870612452460207	0.017528836848853112			15.384615384615385	84.61538461538461			3	-3			300	-12			6.521739130434782	-1.109467455621302	377915	125507472	10.2	48.6
jhu/daily	dd8b12871106	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-11	21	21	13				-48	-51	-46	26		9	17	0.02071589809409913		0.007170887801803546	0.013545010292295587			34.61538461538461	65.38461538461539			5	-5			125	-22.727272727272727			10.869565217391305	-1.849112426035503	377915	125507472	10.2	48.6
jhu/daily	7013eacb55a8	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-12	22	22	14				-47	-50	-45	28		9	19	0.022309428716722143		0.007170887801803546	0.015138540914918596			32.142857142857146	67.85714285714286	2			2	7.6923076923076925			11.764705882352942	0.6518904823989569			0.7396449704142012	377915	125507472	10.2	48.6
jhu/daily	11ac1c2affeb	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-13	23	23	15				-46	-49	-44	28	1	9	18	0.022309428716722143	0.0007967653113115052	0.007170887801803546	0.014341775603607092		3.571428571428571	32.142857142857146	64.28571428571429		1		-1				-5.2631578947368425		13.513513513513512		-0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	6f6419269ea2	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-14	24	24	16				-45	-48	-43	29	1	9	19	0.023106194028033645	0.0007967653113115052	0.007170887801803546	0.015138540914918596		3.4482758620689653	31.03448275862069	65.51724137931035	1			1	3.5714285714285716			5.555555555555555	0.32594524119947843			0.3698224852071006	377915	125507472	10.2	48.6
jhu/daily	76b7b74d21cd	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-15	25	25	17				-44	-47	-42	43	1	12	30	0.034260908386394714	0.0007967653113115052	0.009561183735738062	0.02390295933934515		2.3255813953488373	27.906976744186046	69.76744186046511	14		3	11	48.275862068965516		33.333333333333336	57.89473684210526	4.563233376792699		6.521739130434782	4.068047337278107	377915	125507472	10.2	48.6
jhu/daily	5c27e9e0964b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-16	26	26	18				-43	-46	-41	59	1	12	46	0.0470091533673788	0.0007967653113115052	0.009561183735738062	0.036651204320329235		1.694915254237288	20.33898305084746	77.96610169491525	16			16	37.2093023255814			53.333333333333336	5.215123859191655			5.9171597633136095	377915	125507472	10.2	48.6
jhu/daily	967d0d8b851a	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-17	27	27	19				-42	-45	-40	66	1	12	53	0.052586510546559335	0.0007967653113115052	0.009561183735738062	0.04222856149950977		1.5151515151515151	18.181818181818183	80.3030303030303	7			7	11.864406779661017			15.217391304347826	2.2816166883963493			2.5887573964497044	377915	125507472	10.2	48.6
jhu/daily	b42dbba4a44e	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-18	28	28	20				-41	-44	-39	74	1	13	60	0.058960633037051374	0.0007967653113115052	0.010357949047049566	0.0478059186786903		1.3513513513513513	17.56756756756757	81.08108108108108	8		1	7	12.121212121212121		8.333333333333334	13.20754716981132	2.6075619295958274		2.1739130434782608	2.5887573964497044	377915	125507472	10.2	48.6
jhu/daily	7373579dc403	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-19	29	29	21				-40	-43	-38	84	1	18	65	0.06692828615016642	0.0007967653113115052	0.014341775603607092	0.05178974523524783		1.1904761904761905	21.428571428571427	77.38095238095238	10		5	5	13.513513513513514		38.46153846153846	8.333333333333334	3.259452411994785		10.869565217391305	1.849112426035503	377915	125507472	10.2	48.6
jhu/daily	ce1e1939b013	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-20	30	30	22				-39	-42	-37	94	1	18	75	0.07489593926328147	0.0007967653113115052	0.014341775603607092	0.059757398348362877		1.0638297872340425	19.148936170212767	79.7872340425532	10			10	11.904761904761905			15.384615384615385	3.259452411994785			3.698224852071006	377915	125507472	10.2	48.6
jhu/daily	23c9a4a452bb	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-21	31	31	23	1			-38	-41	-36	105	1	22	82	0.08366035768770803	0.0007967653113115052	0.017528836848853112	0.0653347555275434		0.9523809523809524	20.952380952380953	78.0952380952381	11		4	7	11.702127659574469		22.22222222222222	9.333333333333334	3.585397653194263		8.695652173913043	2.5887573964497044	377915	125507472	10.2	48.6
jhu/daily	9b284d7003d5	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-22	32	32	24	2			-37	-40	-35	122	1	22	99	0.09720536798000362	0.0007967653113115052	0.017528836848853112	0.078879765819839		0.819672131147541	18.0327868852459	81.14754098360656	17			17	16.19047619047619			20.73170731707317	5.541069100391134			6.28698224852071	377915	125507472	10.2	48.6
jhu/daily	bbbf298008c3	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-23	33	33	25	3			-36	-39	-34	147	1	22	124	0.11712450076279124	0.0007967653113115052	0.017528836848853112	0.09879889860262663		0.6802721088435374	14.965986394557824	84.35374149659864	25			25	20.491803278688526			25.252525252525253	8.148631029986962			9.245562130177516	377915	125507472	10.2	48.6
jhu/daily	465b5e802ee4	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-24	34	34	26	4			-35	-38	-33	159	1	22	136	0.12668568449852932	0.0007967653113115052	0.017528836848853112	0.1083600823383647		0.628930817610063	13.836477987421384	85.53459119496856	12			12	8.16326530612245			9.67741935483871	3.911342894393742			4.437869822485208	377915	125507472	10.2	48.6
jhu/daily	56c676bf5536	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-25	35	35	27	5			-34	-37	-32	170	1	22	147	0.13545010292295587	0.0007967653113115052	0.017528836848853112	0.11712450076279124		0.5882352941176471	12.941176470588237	86.47058823529412	11			11	6.918238993710692			8.088235294117647	3.585397653194263			4.068047337278107	377915	125507472	10.2	48.6
jhu/daily	ff65f3ad8b2d	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-26	36	36	28	6			-33	-36	-31	189	2	22	165	0.15058864383787446	0.0015935306226230103	0.017528836848853112	0.13146627636639832		1.0582010582010581	11.64021164021164	87.3015873015873	19	1		18	11.176470588235293	100		12.244897959183673	6.192959582790091	13.513513513513512		6.656804733727811	377915	125507472	10.2	48.6
jhu/daily	ac0d9bf0d92d	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-27	37	37	29	7			-32	-35	-30	214	4	22	188	0.17050777662066208	0.0031870612452460207	0.017528836848853112	0.14979187852656295		1.8691588785046727	10.2803738317757	87.85046728971963	25	2		23	13.227513227513228	100		13.93939393939394	8.148631029986962	27.027027027027025		8.505917159763314	377915	125507472	10.2	48.6
jhu/daily	cbc30743421b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-28	38	38	30	8			-31	-34	-29	228	4	22	202	0.18166249097902315	0.0031870612452460207	0.017528836848853112	0.16094659288492402		1.7543859649122806	9.649122807017543	88.59649122807018	14			14	6.542056074766355			7.446808510638298	4.563233376792699			5.177514792899409	377915	125507472	10.2	48.6
jhu/daily	a2b0ff28fa00	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-29	39	39	31	9			-30	-33	-28	241	5	32	204	0.19202044002607271	0.003983826556557525	0.025496489961968165	0.162540123507547		2.0746887966804977	13.278008298755188	84.64730290456431	13	1	10	2	5.701754385964913	25	45.45454545454545	0.9900990099009901	4.23728813559322	13.513513513513512	21.73913043478261	0.7396449704142012	377915	125507472	10.2	48.6
jhu/daily	75619c697d9f	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-01	40	40	32	10			-29	-32	-27	256	6	32	218	0.20397191969574532	0.004780591867869031	0.025496489961968165	0.17369483786590809		2.34375	12.5	85.15625	15	1		14	6.224066390041494	20		6.862745098039215	4.889178617992177	13.513513513513512		5.177514792899409	377915	125507472	10.2	48.6
jhu/daily	94ff570b558b	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-02	41	41	33	11			-28	-31	-26	274	6	32	236	0.2183136952993524	0.004780591867869031	0.025496489961968165	0.1880366134695152		2.18978102189781	11.678832116788321	86.13138686131386	18			18	7.03125			8.256880733944953	5.867014341590612			6.656804733727811	377915	125507472	10.2	48.6
jhu/daily	0554ea473ed1	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-03	42	42	34	12			-27	-30	-25	293	6	43	244	0.23345223621427097	0.004780591867869031	0.034260908386394714	0.19441073596000724		2.04778156996587	14.675767918088736	83.27645051194538	19		11	8	6.934306569343065		34.375	3.389830508474576	6.192959582790091		23.91304347826087	2.9585798816568047	377915	125507472	10.2	48.6
jhu/daily	b970d65fa8ae	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-04	43	43	35	13			-26	-29	-24	331	6	43	282	0.26372931804410815	0.004780591867869031	0.034260908386394714	0.22468781778984442		1.812688821752266	12.990936555891238	85.1963746223565	38			38	12.969283276450511			15.573770491803279	12.385919165580182			14.053254437869825	377915	125507472	10.2	48.6
jhu/daily	1899a5cbb292	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-05	44	44	36	14			-25	-28	-23	360	6	43	311	0.2868355120721418	0.004780591867869031	0.034260908386394714	0.24779401181787808		1.6666666666666667	11.944444444444445	86.38888888888889	29			29	8.761329305135952			10.28368794326241	9.452411994784876			10.724852071005918	377915	125507472	10.2	48.6
jhu/daily	a1a1bf28ae55	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-06	45	45	37	15			-24	-27	-22	420	6	46	368	0.33464143075083214	0.004780591867869031	0.036651204320329235	0.2932096345626339		1.4285714285714286	10.952380952380953	87.61904761904762	60		3	57	16.666666666666668		6.976744186046512	18.327974276527332	19.556714471968707		6.521739130434782	21.079881656804737	377915	125507472	10.2	48.6
