dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	97f1d1ba9410	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-13	52	1					-21	-22	-20	1			1	0.002			0.002				100	1			1					6.25			6.944	580367	53527936	5.2	20
jhu/daily	6409a1a68600	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-15	54	3					-19	-20	-18	3			3	0.006			0.006				100	2			2	200			200	12.5			13.889	580367	53527936	5.2	20
jhu/daily	59ed0f884fca	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-19	58	7					-15	-16	-14	7			7	0.013			0.013				100	4			4	133.333			133.333	25			27.778	580367	53527936	5.2	20
jhu/daily	eccebd041f35	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-22	61	10	1				-12	-13	-11	15			15	0.028			0.028				100	8			8	114.286			114.286	50			55.556	580367	53527936	5.2	20
jhu/daily	d08ebf90a809	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-23	62	11	2				-11	-12	-10	16			16	0.03			0.03				100	1			1	6.667			6.667	6.25			6.944	580367	53527936	5.2	20
jhu/daily	3749c2cc9772	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-24	63	12	3				-10	-11	-9	25			25	0.047			0.047				100	9			9	56.25			56.25	56.25			62.5	580367	53527936	5.2	20
jhu/daily	7703baba7bcb	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-25	64	13	4				-9	-10	-8	28		1	27	0.052		0.002	0.05			3.571	96.429	3		1	2	12			8	18.75		55.556	13.889	580367	53527936	5.2	20
jhu/daily	7e4ecaf1c628	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-26	65	14	5				-8	-9	-7	31	1	1	29	0.058	0.002	0.002	0.054		3.226	3.226	93.548	3	1		2	10.714			7.407	18.75	80		13.889	580367	53527936	5.2	20
jhu/daily	8b3af1dddf56	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-28	67	16	7				-6	-7	-5	38	1	1	36	0.071	0.002	0.002	0.067		2.632	2.632	94.737	7			7	22.581			24.138	43.75			48.611	580367	53527936	5.2	20
jhu/daily	95fbee8506bc	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-29	68	17	8				-5	-6	-4	42	1	1	40	0.078	0.002	0.002	0.075		2.381	2.381	95.238	4			4	10.526			11.111	25			27.778	580367	53527936	5.2	20
jhu/daily	32d694d5f30e	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-30	69	18	9				-4	-5	-3	50	1	1	48	0.093	0.002	0.002	0.09		2	2	96	8			8	19.048			20	50			55.556	580367	53527936	5.2	20
jhu/daily	3d99bcaaafd8	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-31	70	19	10				-3	-4	-2	59	1	1	57	0.11	0.002	0.002	0.106		1.695	1.695	96.61	9			9	18			18.75	56.25			62.5	580367	53527936	5.2	20
jhu/daily	4d13a6f86e1a	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-01	71	20	11				-2	-3	-1	81	1	3	77	0.151	0.002	0.006	0.144		1.235	3.704	95.062	22		2	20	37.288		200	35.088	137.5		111.111	138.889	580367	53527936	5.2	20
jhu/daily	38766a56fa2d	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-02	72	21	12	1			-1	-2	0	110	3	4	103	0.206	0.006	0.007	0.192		2.727	3.636	93.636	29	2	1	26	35.802	200	33.333	33.766	181.25	160	55.556	180.556	580367	53527936	5.2	20
jhu/daily	5fa8923bddc7	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-03	73	22	13	2			0	-1	1	122	4	4	114	0.228	0.007	0.007	0.213		3.279	3.279	93.443	12	1		11	10.909	33.333		10.68	75	80		76.389	580367	53527936	5.2	20
jhu/daily	038bca669cbf	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-04	74	23	14	3			1	0	2	126	4	4	118	0.235	0.007	0.007	0.22		3.175	3.175	93.651	4			4	3.279			3.509	25			27.778	580367	53527936	5.2	20
jhu/daily	d32a3d570b4f	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-05	75	24	15	4			2	1	3	142	4	4	134	0.265	0.007	0.007	0.25		2.817	2.817	94.366	16			16	12.698			13.559	100			111.111	580367	53527936	5.2	20
jhu/daily	7faa42066015	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-06	76	25	16	5			3	2	4	158	6	4	148	0.295	0.011	0.007	0.276		3.797	2.532	93.671	16	2		14	11.268	50		10.448	100	160		97.222	580367	53527936	5.2	20
jhu/daily	7dae8a28511d	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-07	77	26	17	6			4	3	5	172	6	7	159	0.321	0.011	0.013	0.297		3.488	4.07	92.442	14		3	11	8.861		75	7.432	87.5		166.667	76.389	580367	53527936	5.2	20
jhu/daily	9b1695b02fdb	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-08	78	27	18	7			5	4	6	179	6	9	164	0.334	0.011	0.017	0.306		3.352	5.028	91.62	7		2	5	4.07		28.571	3.145	43.75		111.111	34.722	580367	53527936	5.2	20
jhu/daily	8fc5d221b6b5	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-04-09	79	28	19	8			6	5	7	184	7	12	165	0.344	0.013	0.022	0.308		3.804	6.522	89.674	5	1	3	1	2.793	16.667	33.333	0.61	31.25	80	166.667	6.944	580367	53527936	5.2	20
