dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	4e4d4d77ad5c	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-18	57	1					-15	-14	-16	3			3	0.05			0.05				100	3			3					12.295			12.397	199951	5964897	6.3	27.3
jhu/daily	6ab1b38b5d6c	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-20	59	3					-13	-12	-14	6			6	0.101			0.101				100	3			3	100			100	12.295			12.397	199951	5964897	6.3	27.3
jhu/daily	a3f818c53835	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-21	60	4	1				-12	-11	-13	14			14	0.235			0.235				100	8			8	133.333			133.333	32.787			33.058	199951	5964897	6.3	27.3
jhu/daily	9fd264045112	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-23	62	6	3				-10	-9	-11	16			16	0.268			0.268				100	2			2	14.286			14.286	8.197			8.264	199951	5964897	6.3	27.3
jhu/daily	4579e7d89ec3	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-24	63	7	4				-9	-8	-10	42			42	0.704			0.704				100	26			26	162.5			162.5	106.557			107.438	199951	5964897	6.3	27.3
jhu/daily	5aed2a2e57ee	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-25	64	8	5				-8	-7	-9	44			44	0.738			0.738				100	2			2	4.762			4.762	8.197			8.264	199951	5964897	6.3	27.3
jhu/daily	a17f99701881	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-27	66	10	7				-6	-5	-7	58			58	0.972			0.972				100	14			14	31.818			31.818	57.377			57.851	199951	5964897	6.3	27.3
jhu/daily	54f51b03750c	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-29	68	12	9				-4	-3	-5	84			84	1.408			1.408				100	26			26	44.828			44.828	106.557			107.438	199951	5964897	6.3	27.3
jhu/daily	239763d86920	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-30	69	13	10				-3	-2	-4	94		3	91	1.576		0.05	1.526			3.191	96.809	10		3	7	11.905			8.333	40.984		136.364	28.926	199951	5964897	6.3	27.3
jhu/daily	213fda97765e	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-31	70	14	11	1			-2	-1	-3	107		3	104	1.794		0.05	1.744			2.804	97.196	13			13	13.83			14.286	53.279			53.719	199951	5964897	6.3	27.3
jhu/daily	78b980c52e66	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-01	71	15	12	2			-1	0	-2	111		3	108	1.861		0.05	1.811			2.703	97.297	4			4	3.738			3.846	16.393			16.529	199951	5964897	6.3	27.3
jhu/daily	a931f8c21df3	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-02	72	16	13	3			0	1	-1	116		5	111	1.945		0.084	1.861			4.31	95.69	5		2	3	4.505		66.667	2.778	20.492		90.909	12.397	199951	5964897	6.3	27.3
jhu/daily	c01e95d9cf8c	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-03	73	17	14	4			1	2	0	130	1	6	123	2.179	0.017	0.101	2.062		0.769	4.615	94.615	14	1	1	12	12.069		20	10.811	57.377	100	45.455	49.587	199951	5964897	6.3	27.3
jhu/daily	56feab7a7c3e	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-04	74	18	15	5			2	3	1	144	1	9	134	2.414	0.017	0.151	2.246		0.694	6.25	93.056	14		3	11	10.769		50	8.943	57.377		136.364	45.455	199951	5964897	6.3	27.3
jhu/daily	bb2a76211ac5	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-05	75	19	16	6			3	4	2	147	1	9	137	2.464	0.017	0.151	2.297		0.68	6.122	93.197	3			3	2.083			2.239	12.295			12.397	199951	5964897	6.3	27.3
jhu/daily	55e9803e126b	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-06	76	20	17	7			4	5	3	216	4	33	179	3.621	0.067	0.553	3.001		1.852	15.278	82.87	69	3	24	42	46.939	300	266.667	30.657	282.787	300	1090.909	173.554	199951	5964897	6.3	27.3
jhu/daily	a43cf617c7ae	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-07	77	21	18	8			5	6	4	228	4	33	191	3.822	0.067	0.553	3.202		1.754	14.474	83.772	12			12	5.556			6.704	49.18			49.587	199951	5964897	6.3	27.3
jhu/daily	4c1b052da37c	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-08	78	22	19	9			6	7	5	270	4	33	233	4.526	0.067	0.553	3.906		1.481	12.222	86.296	42			42	18.421			21.99	172.131			173.554	199951	5964897	6.3	27.3
