dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	8d07b8db63e4	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-13	52	1					-21	-21		1			1	1.6143613586465193			1.6143613586465193				100	1			1					18.51851851851852			22.727272727272727	264	61944	6.1	40.5
jhu/daily	ad227d62bf89	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-16	55	4					-18	-18		1	1			1.6143613586465193	1.6143613586465193				100				1		-1				-100				-22.727272727272727	264	61944	6.1	40.5
jhu/daily	0933b76a5e0e	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-19	58	7					-15	-15		3	1		2	4.843084075939559	1.6143613586465193		3.2287227172930386		33.33333333333333		66.66666666666666	2			2	200				37.03703703703704			45.45454545454545	264	61944	6.1	40.5
jhu/daily	65d909176780	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-23	62	11					-11	-11		5	1		4	8.071806793232597	1.6143613586465193		6.457445434586077		20		80	2			2	66.66666666666667			100	37.03703703703704			45.45454545454545	264	61944	6.1	40.5
jhu/daily	64ae5784ebf1	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-24	63	12					-10	-10		6	1		5	9.686168151879118	1.6143613586465193		8.071806793232597		16.666666666666664		83.33333333333334	1			1	20			25	18.51851851851852			22.727272727272727	264	61944	6.1	40.5
jhu/daily	f01b3d24416d	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-25	64	13					-9	-9		8	1		7	12.914890869172154	1.6143613586465193		11.300529510525635		12.5		87.5	2			2	33.333333333333336			40	37.03703703703704			45.45454545454545	264	61944	6.1	40.5
jhu/daily	8dc2a90a9cb6	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-30	69	18	1				-4	-4		12	1		11	19.372336303758235	1.6143613586465193		17.757974945111712		8.333333333333332		91.66666666666666	4			4	50			57.142857142857146	74.07407407407408			90.9090909090909	264	61944	6.1	40.5
jhu/daily	dc6944bf6c25	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-31	70	19	2				-3	-3		14	1		13	22.60105902105127	1.6143613586465193		20.98669766240475		7.142857142857142		92.85714285714286	2			2	16.666666666666668			18.181818181818183	37.03703703703704			45.45454545454545	264	61944	6.1	40.5
jhu/daily	a67267556c3f	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-01	71	20	3				-2	-2		22	1		21	35.515949890223425	1.6143613586465193		33.90158853157691		4.545454545454546		95.45454545454545	8			8	57.142857142857146			61.53846153846154	148.14814814814815			181.8181818181818	264	61944	6.1	40.5
jhu/daily	405602bec8aa	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-02	72	21	4				-1	-1		28	1		27	45.20211804210254	1.6143613586465193		43.58775668345602		3.571428571428571		96.42857142857143	6			6	27.272727272727273			28.571428571428573	111.1111111111111			136.36363636363635	264	61944	6.1	40.5
jhu/daily	d2669e415b10	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-04	74	23	6				1	1		35	1	1	33	56.50264755262818	1.6143613586465193	1.6143613586465193	53.27392483533514		2.857142857142857	2.857142857142857	94.28571428571428	7		1	6	25			22.22222222222222	129.62962962962962		100	136.36363636363635	264	61944	6.1	40.5
jhu/daily	1804bded2726	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-06	76	25	8				3	3		39	1	1	37	62.96009298721425	1.6143613586465193	1.6143613586465193	59.731370269921214		2.564102564102564	2.564102564102564	94.87179487179486	4			4	11.428571428571429			12.121212121212121	74.07407407407408			90.9090909090909	264	61944	6.1	40.5
jhu/daily	bd9c97549dbf	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-07	77	26	9				4	4		45	1	6	38	72.64626113909337	1.6143613586465193	9.686168151879118	61.345731628567734		2.2222222222222223	13.333333333333334	84.44444444444444	6		5	1	15.384615384615385		500	2.7027027027027026	111.1111111111111		500	22.727272727272727	264	61944	6.1	40.5
