dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	d9b1ee1636f0	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-13	52	1					-20	-20	-20	4			4	0.02095123970842369			0.02095123970842369				100	4			4					6.451612903225806			7.168458781362008	2724900	19091949	8.2	31.6
jhu/daily	6cec2eea81d4	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-14	53	2					-19	-19	-19	6			6	0.03142685956263554			0.03142685956263554				100	2			2	50			50	3.225806451612903			3.584229390681004	2724900	19091949	8.2	31.6
jhu/daily	34e1dc249b2f	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-15	54	3					-18	-18	-18	9			9	0.047140289343953305			0.047140289343953305				100	3			3	50			50	4.838709677419355			5.376344086021505	2724900	19091949	8.2	31.6
jhu/daily	7d3845f5f20b	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-16	55	4	1				-17	-17	-17	10			10	0.05237809927105923			0.05237809927105923				100	1			1	11.11111111111111			11.11111111111111	1.6129032258064515			1.792114695340502	2724900	19091949	8.2	31.6
jhu/daily	445923c42584	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-17	56	5	2				-16	-16	-16	33			33	0.17284772759449546			0.17284772759449546				100	23			23	230			230	37.096774193548384			41.21863799283154	2724900	19091949	8.2	31.6
jhu/daily	87ca7a2b309d	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-18	57	6	3				-15	-15	-15	35			35	0.1833233474487073			0.1833233474487073				100	2			2	6.0606060606060606			6.0606060606060606	3.225806451612903			3.584229390681004	2724900	19091949	8.2	31.6
jhu/daily	2d7c144aac55	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-19	58	7	4				-14	-14	-14	44			44	0.2304636367926606			0.2304636367926606				100	9			9	25.714285714285715			25.714285714285715	14.516129032258066			16.129032258064516	2724900	19091949	8.2	31.6
jhu/daily	96a916d15776	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-20	59	8	5				-13	-13	-13	49	3		46	0.2566526864281902	0.01571342978131777		0.24093925664687246		6.122448979591836		93.87755102040816	5	3		2	11.363636363636363			4.545454545454546	8.064516129032258	214.28571428571428		3.584229390681004	2724900	19091949	8.2	31.6
jhu/daily	71a3bf6ec795	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-21	60	9	6				-12	-12	-12	53			53	0.2776039261366139			0.2776039261366139				100	4	-3		7	8.16326530612245	-100		15.217391304347826	6.451612903225806	-214.28571428571428		12.544802867383515	2724900	19091949	8.2	31.6
jhu/daily	08311fdbaf37	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-22	61	10	7				-11	-11	-11	59			59	0.3090307856992494			0.3090307856992494				100	6			6	11.320754716981131			11.320754716981131	9.67741935483871			10.75268817204301	2724900	19091949	8.2	31.6
jhu/daily	e8fd2be81661	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-23	62	11	8				-10	-10	-10	62			62	0.32474421548056726			0.32474421548056726				100	3			3	5.084745762711864			5.084745762711864	4.838709677419355			5.376344086021505	2724900	19091949	8.2	31.6
jhu/daily	57be4a262881	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-24	63	12	9				-9	-9	-9	72			72	0.37712231475162644			0.37712231475162644				100	10			10	16.129032258064516			16.129032258064516	16.129032258064516			17.921146953405017	2724900	19091949	8.2	31.6
jhu/daily	dc9d2bb250a8	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-25	64	13	10				-8	-8	-8	81			81	0.4242626040955797			0.4242626040955797				100	9			9	12.5			12.5	14.516129032258066			16.129032258064516	2724900	19091949	8.2	31.6
jhu/daily	0e4bf8b31b73	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-26	65	14	11	1			-7	-7	-7	111	1	2	108	0.5813969019087575	0.005237809927105923	0.010475619854211846	0.5656834721274396		0.9009009009009009	1.8018018018018018	97.2972972972973	30	1	2	27	37.03703703703704			33.333333333333336	48.38709677419355	71.42857142857143	35.714285714285715	48.38709677419355	2724900	19091949	8.2	31.6
jhu/daily	95e0b9d19451	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-27	66	15	12	2			-6	-6	-6	150	1	3	146	0.7856714890658885	0.005237809927105923	0.01571342978131777	0.7647202493574647		0.6666666666666667	2	97.33333333333334	39		1	38	35.13513513513514		50	35.18518518518518	62.903225806451616		17.857142857142858	68.10035842293907	2724900	19091949	8.2	31.6
jhu/daily	9c860122d790	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-28	67	16	13	3			-5	-5	-5	228	1	16	211	1.1942206633801504	0.005237809927105923	0.08380495883369476	1.1051778946193496		0.43859649122807015	7.017543859649122	92.54385964912281	78		13	65	52		433.3333333333333	44.52054794520548	125.80645161290323		232.14285714285717	116.48745519713262	2724900	19091949	8.2	31.6
jhu/daily	67530319ea4b	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-29	68	17	14	4			-4	-4	-4	284	1	20	263	1.487538019298082	0.005237809927105923	0.10475619854211846	1.3775440108288577		0.35211267605633806	7.042253521126761	92.6056338028169	56		4	52	24.56140350877193		25	24.644549763033176	90.32258064516128		71.42857142857143	93.1899641577061	2724900	19091949	8.2	31.6
jhu/daily	9ead8a456e57	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-30	69	18	15	5			-3	-3	-3	302	1	21	280	1.5818185979859887	0.005237809927105923	0.10999400846922439	1.4665867795896583		0.33112582781456956	6.95364238410596	92.71523178807946	18		1	17	6.338028169014085		5	6.4638783269961975	29.03225806451613		17.857142857142858	30.46594982078853	2724900	19091949	8.2	31.6
jhu/daily	c3b60ac2724d	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-31	70	19	16	6			-2	-2	-2	343	2	24	317	1.7965688049973314	0.010475619854211846	0.12570743825054215	1.6603857468925776		0.5830903790087464	6.997084548104956	92.4198250728863	41	1	3	37	13.57615894039735	100	14.285714285714286	13.214285714285714	66.12903225806451	71.42857142857143	53.57142857142857	66.30824372759857	2724900	19091949	8.2	31.6
