dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	110816f32ace	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-03-24	63	1					-10	-10		2			2	0.027			0.027				100	2			2					0.027			0.027	111.111			111.111	236800	7447396	7.2	24
jhu/daily	2065718592f7	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-03-25	64	2					-9	-9		3			3	0.04			0.04				100	1			1	50			50	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	79d5702f3bdd	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-03-26	65	3					-8	-8		6			6	0.081			0.081				100	3			3	100			100	0.04			0.04	166.667			166.667	236800	7447396	7.2	24
jhu/daily	3c6396a15eeb	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-03-28	67	5					-6	-6		8			8	0.107			0.107				100	2			2	33.333			33.333	0.027			0.027	111.111			111.111	236800	7447396	7.2	24
jhu/daily	75bd4c331411	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-03-31	70	8					-3	-3		9			9	0.121			0.121				100	1			1	12.5			12.5	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	418e14566584	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-01	71	9	1				-2	-2		10			10	0.134			0.134				100	1			1	11.111			11.111	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	2e7310a3a2d0	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-05	75	13	5				2	2		11			11	0.148			0.148				100	1			1	10			10	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	bc2527741f8f	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-06	76	14	6				3	3		12			12	0.161			0.161				100	1			1	9.091			9.091	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	32f796b170e8	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-07	77	15	7				4	4		14			14	0.188			0.188				100	2			2	16.667			16.667	0.027			0.027	111.111			111.111	236800	7447396	7.2	24
jhu/daily	b957b4630cd8	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-08	78	16	8				5	5		15			15	0.201			0.201				100	1			1	7.143			7.143	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	fdc5b9a03231	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-09	79	17	9				6	6		16			16	0.215			0.215				100	1			1	6.667			6.667	0.013			0.013	55.556			55.556	236800	7447396	7.2	24
jhu/daily	1755432444ae	7f47750f1eb8	total-country	Laos	LA	Laos			18	105	Asia	South-Eastern Asia	2020-04-11	81	19	11				8	8		18			18	0.242			0.242				100	2			2	12.5			12.5	0.027			0.027	111.111			111.111	236800	7447396	7.2	24
