dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	24e8b1dad74d	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-01-27	6	1					-59	-55	-64	1			1	0.004368872465229345			0.004368872465229345				100	1			1					7.8125			7.936507936507936	65610	22889201	6.5	33.7
jhu/daily	6a79dbf87877	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-02-08	18	13					-47	-43	-52	1		1		0.004368872465229345		0.004368872465229345				100				1	-1				-100			23.809523809523807	-7.936507936507936	65610	22889201	6.5	33.7
jhu/daily	3156ed2f2934	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-11	50	45					-15	-11	-20	2		1	1	0.00873774493045869		0.004368872465229345	0.004368872465229345			50	50	1			1	100				7.8125			7.936507936507936	65610	22889201	6.5	33.7
jhu/daily	1ca448296b4b	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-13	52	47					-13	-9	-18	6		1	5	0.02621323479137607		0.004368872465229345	0.021844362326146727			16.666666666666664	83.33333333333334	4			4	200			400	31.25			31.746031746031743	65610	22889201	6.5	33.7
jhu/daily	7b83c04748d0	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-14	53	48	1				-12	-8	-17	10		1	9	0.043688724652293454		0.004368872465229345	0.03931985218706411			10	90	4			4	66.66666666666667			80	31.25			31.746031746031743	65610	22889201	6.5	33.7
jhu/daily	dbdc937987ad	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-15	54	49	2				-11	-7	-16	18		1	17	0.07863970437412822		0.004368872465229345	0.07427083190889888			5.555555555555555	94.44444444444444	8			8	80			88.88888888888889	62.5			63.49206349206349	65610	22889201	6.5	33.7
jhu/daily	93d5985d530d	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-16	55	50	3				-10	-6	-15	28		1	27	0.12232842902642167		0.004368872465229345	0.11795955656119232			3.571428571428571	96.42857142857143	10			10	55.55555555555556			58.8235294117647	78.125			79.36507936507937	65610	22889201	6.5	33.7
jhu/daily	dfe8276f3084	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-17	56	51	4				-9	-5	-14	44		1	43	0.1922303884700912		0.004368872465229345	0.18786151600486184			2.272727272727273	97.72727272727273	16			16	57.142857142857146			59.25925925925926	125			126.98412698412697	65610	22889201	6.5	33.7
jhu/daily	8387f4740a8d	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-18	57	52	5				-8	-4	-13	51		1	50	0.2228124957266966		0.004368872465229345	0.2184436232614673			1.9607843137254901	98.0392156862745	7			7	15.909090909090908			16.27906976744186	54.6875			55.55555555555556	65610	22889201	6.5	33.7
jhu/daily	c440da6e7352	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-19	58	53	6				-7	-3	-12	60		3	57	0.2621323479137607		0.013106617395688035	0.24902573051807267			5	95	9		2	7	17.647058823529413		200	14	70.3125		47.61904761904761	55.55555555555556	65610	22889201	6.5	33.7
jhu/daily	0290e4f518bf	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-20	59	54	7				-6	-2	-11	73		3	70	0.3189276899617422		0.013106617395688035	0.3058210725660542			4.10958904109589	95.8904109589041	13			13	21.666666666666668			22.80701754385965	101.5625			103.17460317460319	65610	22889201	6.5	33.7
jhu/daily	baa4c4c10f3e	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-21	60	55	8				-5	-1	-10	77		1	76	0.3364031798226596		0.004368872465229345	0.3320343073574302			1.2987012987012987	98.7012987012987	4		-2	6	5.47945205479452		-66.66666666666667	8.571428571428571	31.25		-47.61904761904761	47.61904761904762	65610	22889201	6.5	33.7
jhu/daily	83739eeaaea3	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-22	61	56	9				-4	0	-9	82		3	79	0.35824754214880633		0.013106617395688035	0.3451409247531183			3.6585365853658534	96.34146341463415	5		2	3	6.4935064935064934		200	3.9473684210526314	39.0625		47.61904761904761	23.80952380952381	65610	22889201	6.5	33.7
jhu/daily	f3fa6c75e3db	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-23	62	57	10				-3	1	-8	97		2	95	0.42378062912724646		0.00873774493045869	0.41504288419678775			2.0618556701030926	97.9381443298969	15		-1	16	18.29268292682927		-33.333333333333336	20.253164556962027	117.1875		-23.809523809523807	126.98412698412697	65610	22889201	6.5	33.7
jhu/daily	5a70d1d885dd	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-24	63	58	11	1			-2	2	-7	102		2	100	0.4456249914533932		0.00873774493045869	0.4368872465229346			1.9607843137254901	98.0392156862745	5			5	5.154639175257732			5.2631578947368425	39.0625			39.682539682539684	65610	22889201	6.5	33.7
