dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	52e4ecef2fce	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-02-28	38	1					-30	-28	-33	1			1	0.037			0.037				100	1			1					0.037			0.037	1.623			1.645	65300	2731464	15	44.5
jhu/daily	9e65553839c9	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-11	50	13					-18	-16	-21	3			3	0.11			0.11				100	2			2	200			200	0.073			0.073	3.247			3.289	65300	2731464	15	44.5
jhu/daily	c750201f38cd	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-13	52	15					-16	-14	-19	6			6	0.22			0.22				100	3			3	100			100	0.11			0.11	4.87			4.934	65300	2731464	15	44.5
jhu/daily	a750525774c5	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-14	53	16					-15	-13	-18	8			8	0.293			0.293				100	2			2	33.333			33.333	0.073			0.073	3.247			3.289	65300	2731464	15	44.5
jhu/daily	f6d36ccb2a9a	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-15	54	17	1				-14	-12	-17	12		1	11	0.439		0.037	0.403			8.333	91.667	4		1	3	50			37.5	0.146		0.037	0.11	6.494		7.843	4.934	65300	2731464	15	44.5
jhu/daily	26761c1a4cc6	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-16	55	18	2				-13	-11	-16	17		1	16	0.622		0.037	0.586			5.882	94.118	5			5	41.667			45.455	0.183			0.183	8.117			8.224	65300	2731464	15	44.5
jhu/daily	d9185b3d459f	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-17	56	19	3				-12	-10	-15	25		1	24	0.915		0.037	0.879			4	96	8			8	47.059			50	0.293			0.293	12.987			13.158	65300	2731464	15	44.5
jhu/daily	1b2c080b7d2b	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-18	57	20	4				-11	-9	-14	27		1	26	0.988		0.037	0.952			3.704	96.296	2			2	8			8.333	0.073			0.073	3.247			3.289	65300	2731464	15	44.5
jhu/daily	1edfa386fd2e	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-19	58	21	5				-10	-8	-13	36		1	35	1.318		0.037	1.281			2.778	97.222	9			9	33.333			34.615	0.329			0.329	14.61			14.803	65300	2731464	15	44.5
jhu/daily	edef3e3604d1	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-20	59	22	6				-9	-7	-12	49		1	48	1.794		0.037	1.757			2.041	97.959	13			13	36.111			37.143	0.476			0.476	21.104			21.382	65300	2731464	15	44.5
jhu/daily	bd675a15f3b5	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-21	60	23	7				-8	-6	-11	83	1	1	81	3.039	0.037	0.037	2.965		1.205	1.205	97.59	34	1		33	69.388			68.75	1.245	0.037		1.208	55.195	50		54.276	65300	2731464	15	44.5
jhu/daily	d895ab8806db	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-22	61	24	8	1			-7	-5	-10	129	1	1	127	4.723	0.037	0.037	4.65		0.775	0.775	98.45	46			46	55.422			56.79	1.684			1.684	74.675			75.658	65300	2731464	15	44.5
jhu/daily	088b1a07df4e	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-23	62	25	9	2			-6	-4	-9	179	1	1	177	6.553	0.037	0.037	6.48		0.559	0.559	98.883	50			50	38.76			39.37	1.831			1.831	81.169			82.237	65300	2731464	15	44.5
jhu/daily	1d8b660f3acb	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-24	63	26	10	3			-5	-3	-8	209	2	1	206	7.652	0.073	0.037	7.542		0.957	0.478	98.565	30	1		29	16.76	100		16.384	1.098	0.037		1.062	48.701	50		47.697	65300	2731464	15	44.5
jhu/daily	325689ab981e	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-25	64	27	11	4			-4	-2	-7	274	4	1	269	10.031	0.146	0.037	9.848		1.46	0.365	98.175	65	2		63	31.1	100		30.583	2.38	0.073		2.306	105.519	100		103.618	65300	2731464	15	44.5
jhu/daily	fc748c377e2e	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-26	65	28	12	5			-3	-1	-6	299	4	1	294	10.947	0.146	0.037	10.763		1.338	0.334	98.328	25			25	9.124			9.294	0.915			0.915	40.584			41.118	65300	2731464	15	44.5
jhu/daily	f72299714493	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-27	66	29	13	6			-2	0	-5	358	5	1	352	13.107	0.183	0.037	12.887		1.397	0.279	98.324	59	1		58	19.732	25		19.728	2.16	0.037		2.123	95.779	50		95.395	65300	2731464	15	44.5
jhu/daily	60af6ab66a37	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-28	67	30	14	7			-1	1	-4	394	7	1	386	14.424	0.256	0.037	14.132		1.777	0.254	97.97	36	2		34	10.056	40		9.659	1.318	0.073		1.245	58.442	100		55.921	65300	2731464	15	44.5
jhu/daily	60100c927b69	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-29	68	31	15	8			-0	2	-3	460	7	1	452	16.841	0.256	0.037	16.548		1.522	0.217	98.261	66			66	16.751			17.098	2.416			2.416	107.143			108.553	65300	2731464	15	44.5
jhu/daily	3abb53c59662	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-30	69	32	16	9			0	3	-2	491	7	7	477	17.976	0.256	0.256	17.463		1.426	1.426	97.149	31		6	25	6.739		600	5.531	1.135		0.22	0.915	50.325		47.059	41.118	65300	2731464	15	44.5
jhu/daily	1dc208763cea	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-03-31	70	33	17	10			1	4	-1	537	8	7	522	19.66	0.293	0.256	19.111		1.49	1.304	97.207	46	1		45	9.369	14.286		9.434	1.684	0.037		1.647	74.675	50		74.013	65300	2731464	15	44.5
jhu/daily	294848bee530	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-01	71	34	18	11			2	5	0	581	8	7	566	21.271	0.293	0.256	20.721		1.377	1.205	97.418	44			44	8.194			8.429	1.611			1.611	71.429			72.368	65300	2731464	15	44.5
jhu/daily	7632624e899c	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-02	72	35	19	12			3	6	1	649	9	7	633	23.76	0.329	0.256	23.174		1.387	1.079	97.535	68	1		67	11.704	12.5		11.837	2.49	0.037		2.453	110.39	50		110.197	65300	2731464	15	44.5
jhu/daily	25c740873c79	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-03	73	36	20	13			4	7	2	696	9	7	680	25.481	0.329	0.256	24.895		1.293	1.006	97.701	47			47	7.242			7.425	1.721			1.721	76.299			77.303	65300	2731464	15	44.5
jhu/daily	512b223b7be6	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-04	74	37	21	14			5	8	3	771	11	7	753	28.227	0.403	0.256	27.568		1.427	0.908	97.665	75	2		73	10.776	22.222		10.735	2.746	0.073		2.673	121.753	100		120.066	65300	2731464	15	44.5
jhu/daily	ece9b3150110	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-05	75	38	22	15			6	9	4	811	13	7	791	29.691	0.476	0.256	28.959		1.603	0.863	97.534	40	2		38	5.188	18.182		5.046	1.464	0.073		1.391	64.935	100		62.5	65300	2731464	15	44.5
jhu/daily	966f3520ac11	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-06	76	39	23	16			7	10	5	843	15	8	820	30.863	0.549	0.293	30.021		1.779	0.949	97.272	32	2	1	29	3.946	15.385	14.286	3.666	1.172	0.073	0.037	1.062	51.948	100	7.843	47.697	65300	2731464	15	44.5
jhu/daily	34f40408f1d9	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-07	77	40	24	17			8	11	6	880	15	8	857	32.217	0.549	0.293	31.375		1.705	0.909	97.386	37			37	4.389			4.512	1.355			1.355	60.065			60.855	65300	2731464	15	44.5
jhu/daily	decc0a1761d4	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-08	78	41	25	18			9	12	7	912	15	8	889	33.389	0.549	0.293	32.547		1.645	0.877	97.478	32			32	3.636			3.734	1.172			1.172	51.948			52.632	65300	2731464	15	44.5
jhu/daily	1bcbf5fc875e	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-09	79	42	26	19			10	13	8	955	16	8	931	34.963	0.586	0.293	34.084		1.675	0.838	97.487	43	1		42	4.715	6.667		4.724	1.574	0.037		1.538	69.805	50		69.079	65300	2731464	15	44.5
jhu/daily	080ccad2e9bb	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-10	80	43	27	20			11	14	9	999	22	54	923	36.574	0.805	1.977	33.791		2.202	5.405	92.392	44	6	46	-8	4.607	37.5	575	-0.859	1.611	0.22	1.684	-0.293	71.429	300	360.784	-13.158	65300	2731464	15	44.5
jhu/daily	e2c6c30eb8db	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-11	81	44	28	21	1		12	15	10	1026	23	54	949	37.562	0.842	1.977	34.743		2.242	5.263	92.495	27	1		26	2.703	4.545		2.817	0.988	0.037		0.952	43.831	50		42.763	65300	2731464	15	44.5
jhu/daily	5ac3c42196c7	b580d5dc7d6b	total-country	Lithuania	LT	Lithuania			56	24	Europe	Northern Europe	2020-04-12	82	45	29	22	2		13	16	11	1053	23	97	933	38.551	0.842	3.551	34.158		2.184	9.212	88.604	27		43	-16	2.632		79.63	-1.686	0.988		1.574	-0.586	43.831		337.255	-26.316	65300	2731464	15	44.5
