dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	5c5f23937b73	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-02	41	1					-31	-28	-34	1			1	0.053			0.053				100	1			1					0.053			0.053	2.732			2.551	64589	1881232	14.6	44.4
jhu/daily	dd3792b9dd2f	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-08	47	7					-25	-22	-28	2			2	0.106			0.106				100	1			1	100			100	0.053			0.053	2.732			2.551	64589	1881232	14.6	44.4
jhu/daily	c29104579402	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-09	48	8					-24	-21	-27	6			6	0.319			0.319				100	4			4	200			200	0.213			0.213	10.929			10.204	64589	1881232	14.6	44.4
jhu/daily	c231dcec41f9	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-10	49	9					-23	-20	-26	8		1	7	0.425		0.053	0.372			12.5	87.5	2		1	1	33.333			16.667	0.106		0.053	0.053	5.464		12.5	2.551	64589	1881232	14.6	44.4
jhu/daily	ce633589a625	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-11	50	10	1				-22	-19	-25	10		1	9	0.532		0.053	0.478			10	90	2			2	25			28.571	0.106			0.106	5.464			5.102	64589	1881232	14.6	44.4
jhu/daily	3c9a53d2d864	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-13	52	12	3				-20	-17	-23	17		1	16	0.904		0.053	0.851			5.882	94.118	7			7	70			77.778	0.372			0.372	19.126			17.857	64589	1881232	14.6	44.4
jhu/daily	e11749ae81e4	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-14	53	13	4				-19	-16	-22	26		1	25	1.382		0.053	1.329			3.846	96.154	9			9	52.941			56.25	0.478			0.478	24.59			22.959	64589	1881232	14.6	44.4
jhu/daily	08a1cc3e7a45	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-15	54	14	5				-18	-15	-21	30		1	29	1.595		0.053	1.542			3.333	96.667	4			4	15.385			16	0.213			0.213	10.929			10.204	64589	1881232	14.6	44.4
jhu/daily	837423440d26	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-16	55	15	6				-17	-14	-20	34		1	33	1.807		0.053	1.754			2.941	97.059	4			4	13.333			13.793	0.213			0.213	10.929			10.204	64589	1881232	14.6	44.4
jhu/daily	95b1e69ec29b	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-17	56	16	7				-16	-13	-19	49		1	48	2.605		0.053	2.552			2.041	97.959	15			15	44.118			45.455	0.797			0.797	40.984			38.265	64589	1881232	14.6	44.4
