dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	374b8b33d5ee	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-03-24	63	1					-9	-9		1			1	0.014512661208454788			0.014512661208454788				100	1			1					45.45454545454545			50	1759540	6890535	3.5	25.8
jhu/daily	f9e9dc86fdfd	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-03-28	67	5					-5	-5		3			3	0.04353798362536436			0.04353798362536436				100	2			2	200			200	90.9090909090909			100	1759540	6890535	3.5	25.8
jhu/daily	abf4737fb28d	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-03-29	68	6					-4	-4		8			8	0.1161012896676383			0.1161012896676383				100	5			5	166.66666666666666			166.66666666666666	227.27272727272725			250	1759540	6890535	3.5	25.8
jhu/daily	29b762a3f2ed	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-03-31	70	8	1				-2	-2		10		1	9	0.14512661208454786		0.014512661208454788	0.13061395087609307			10	90	2		1	1	25			12.5	90.9090909090909		100	50	1759540	6890535	3.5	25.8
jhu/daily	c81e1be5c3e8	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-01	71	9	2				-1	-1		10			10	0.14512661208454786			0.14512661208454786				100			-1	1			-100	11.11111111111111			-100	50	1759540	6890535	3.5	25.8
jhu/daily	bfc5cdcdb458	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-02	72	10	3				0	0		11	1		10	0.15963927329300265	0.014512661208454788		0.14512661208454786		9.090909090909092		90.9090909090909	1	1			10				45.45454545454545				1759540	6890535	3.5	25.8
jhu/daily	8d44f95044f4	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-04	74	12	5				2	2		18	1		17	0.26122790175218613	0.014512661208454788		0.24671524054373137		5.555555555555555		94.44444444444444	7			7	63.63636363636363			70	318.1818181818182			350	1759540	6890535	3.5	25.8
jhu/daily	b98692840453	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-06	76	14	7				4	4		19	1	1	17	0.275740562960641	0.014512661208454788	0.014512661208454788	0.24671524054373137		5.263157894736842	5.263157894736842	89.47368421052632	1		1		5.555555555555555				45.45454545454545		100		1759540	6890535	3.5	25.8
jhu/daily	b8a185845516	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-07	77	15	8				5	5		20	1	1	18	0.2902532241690957	0.014512661208454788	0.014512661208454788	0.26122790175218613		5	5	90	1			1	5.2631578947368425			5.882352941176471	45.45454545454545			50	1759540	6890535	3.5	25.8
jhu/daily	7bb9d30dae6c	ebb61746eeb1	total-country	Libya	LY	Libya			25	17	Africa	Northern Africa	2020-04-08	78	16	9				6	6		21	1	8	12	0.3047658853775505	0.014512661208454788	0.1161012896676383	0.17415193450145744		4.761904761904762	38.095238095238095	57.14285714285714	1		7	-6	5		700	-33.333333333333336	45.45454545454545		700	-300	1759540	6890535	3.5	25.8
