dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	3776a4a981c7	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-17	56	1					-10	-15	-6	2			2	0.328			0.328				100	2			2					9.524			9.615	13812	609859	10.4	39.6
jhu/daily	f3b78e64f00d	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-18	57	2					-9	-14	-5	1			1	0.164			0.164				100	-1			-1	-50			-50	-4.762			-4.808	13812	609859	10.4	39.6
jhu/daily	85cebbfb37f1	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-19	58	3					-8	-13	-4	3			3	0.492			0.492				100	2			2	200			200	9.524			9.615	13812	609859	10.4	39.6
jhu/daily	47b0d44138c6	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-20	59	4	1				-7	-12	-3	14			14	2.296			2.296				100	11			11	366.667			366.667	52.381			52.885	13812	609859	10.4	39.6
jhu/daily	4fca9cd02b51	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-22	61	6	3				-5	-10	-1	21			21	3.443			3.443				100	7			7	50			50	33.333			33.654	13812	609859	10.4	39.6
jhu/daily	1361f4bd7af0	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-23	62	7	4				-4	-9	0	27	1		26	4.427	0.164		4.263		3.704		96.296	6	1		5	28.571			23.81	28.571	100		24.038	13812	609859	10.4	39.6
jhu/daily	0ee095f9ced0	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-24	63	8	5				-3	-8	1	47	1		46	7.707	0.164		7.543		2.128		97.872	20			20	74.074			76.923	95.238			96.154	13812	609859	10.4	39.6
jhu/daily	6ddd3df7a5cb	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-25	64	9	6				-2	-7	2	52	1		51	8.527	0.164		8.363		1.923		98.077	5			5	10.638			10.87	23.81			24.038	13812	609859	10.4	39.6
jhu/daily	7aa0091a8e93	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-26	65	10	7				-1	-6	3	69	1		68	11.314	0.164		11.15		1.449		98.551	17			17	32.692			33.333	80.952			81.731	13812	609859	10.4	39.6
jhu/daily	8c143e7951de	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-27	66	11	8				-0	-5	4	82	1		81	13.446	0.164		13.282		1.22		98.78	13			13	18.841			19.118	61.905			62.5	13812	609859	10.4	39.6
jhu/daily	c2d6c7add53f	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-28	67	12	9				0	-4	5	84	1		83	13.774	0.164		13.61		1.19		98.81	2			2	2.439			2.469	9.524			9.615	13812	609859	10.4	39.6
jhu/daily	6dcf8129d611	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-29	68	13	10				1	-3	6	85	1		84	13.938	0.164		13.774		1.176		98.824	1			1	1.19			1.205	4.762			4.808	13812	609859	10.4	39.6
jhu/daily	b5064ee8e857	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-30	69	14	11				2	-2	7	91	1		90	14.921	0.164		14.758		1.099		98.901	6			6	7.059			7.143	28.571			28.846	13812	609859	10.4	39.6
jhu/daily	ea99b3d6d86b	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-31	70	15	12	1			3	-1	8	109	2		107	17.873	0.328		17.545		1.835		98.165	18	1		17	19.78	100		18.889	85.714	100		81.731	13812	609859	10.4	39.6
jhu/daily	3650352daf02	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-01	71	16	13	2			4	0	9	123	2		121	20.169	0.328		19.841		1.626		98.374	14			14	12.844			13.084	66.667			67.308	13812	609859	10.4	39.6
jhu/daily	2cde78d52da0	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-02	72	17	14	3			5	1	10	144	2		142	23.612	0.328		23.284		1.389		98.611	21			21	17.073			17.355	100			100.962	13812	609859	10.4	39.6
jhu/daily	9d3c00608400	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-03	73	18	15	4			6	2	11	174	2	1	171	28.531	0.328	0.164	28.039		1.149	0.575	98.276	30		1	29	20.833			20.423	142.857		100	139.423	13812	609859	10.4	39.6
jhu/daily	1e82961687e9	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-04	74	19	16	5			7	3	12	201	2	1	198	32.958	0.328	0.164	32.467		0.995	0.498	98.507	27			27	15.517			15.789	128.571			129.808	13812	609859	10.4	39.6
jhu/daily	532a6ebddb06	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-05	75	20	17	6			8	4	13	214	2	1	211	35.09	0.328	0.164	34.598		0.935	0.467	98.598	13			13	6.468			6.566	61.905			62.5	13812	609859	10.4	39.6
jhu/daily	e1727236f6ba	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-06	76	21	18	7			9	5	14	233	2	1	230	38.206	0.328	0.164	37.714		0.858	0.429	98.712	19			19	8.879			9.005	90.476			91.346	13812	609859	10.4	39.6
jhu/daily	b3675e1f19c1	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-07	77	22	19	8			10	6	15	241	2	4	235	39.517	0.328	0.656	38.533		0.83	1.66	97.51	8		3	5	3.433		300	2.174	38.095		300	24.038	13812	609859	10.4	39.6
jhu/daily	7110ff3beb2c	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-08	78	23	20	9			11	7	16	248	2	4	242	40.665	0.328	0.656	39.681		0.806	1.613	97.581	7			7	2.905			2.979	33.333			33.654	13812	609859	10.4	39.6
jhu/daily	0272dea76800	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-09	79	24	21	10			12	8	17	252	2	4	246	41.321	0.328	0.656	40.337		0.794	1.587	97.619	4			4	1.613			1.653	19.048			19.231	13812	609859	10.4	39.6
