dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	be13e99d78e3	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-09	48	1					-20	-20	-21	2			2	6.143260842855388			6.143260842855388				100	2			2					52.63157894736842			66.66666666666666	54.4	32556	4.6	33.3
jhu/daily	5f1112a70d1e	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-18	57	10					-11	-11	-12	3			3	9.214891264283082			9.214891264283082				100	1			1	50			50	26.31578947368421			33.33333333333333	54.4	32556	4.6	33.3
jhu/daily	7b4f8abbf267	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-19	58	11					-10	-10	-11	4			4	12.286521685710776			12.286521685710776				100	1			1	33.333333333333336			33.333333333333336	26.31578947368421			33.33333333333333	54.4	32556	4.6	33.3
jhu/daily	deb79b762192	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-22	61	14					-7	-7	-8	5			5	15.358152107138471			15.358152107138471				100	1			1	25			25	26.31578947368421			33.33333333333333	54.4	32556	4.6	33.3
jhu/daily	769559a7c943	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-23	62	15					-6	-6	-7	8			8	24.57304337142155			24.57304337142155				100	3			3	60			60	78.94736842105263			100	54.4	32556	4.6	33.3
jhu/daily	4b711a35be16	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-25	64	17	1				-4	-4	-5	11			11	33.78793463570464			33.78793463570464				100	3			3	37.5			37.5	78.94736842105263			100	54.4	32556	4.6	33.3
jhu/daily	51259019ad6e	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-03-30	69	22	6				0	1	0	15	1	2	12	46.07445632141541	3.071630421427694	6.143260842855388	36.85956505713233		6.666666666666667	13.333333333333334	80	4	1	2	1	36.36363636363637			9.090909090909092	105.26315789473684	100	100	33.33333333333333	54.4	32556	4.6	33.3
jhu/daily	f8b2764d2a0f	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-04-02	72	25	9				3	4	3	22	1	2	19	67.57586927140927	3.071630421427694	6.143260842855388	58.360978007126185		4.545454545454546	9.090909090909092	86.36363636363636	7			7	46.666666666666664			58.333333333333336	184.21052631578948			233.33333333333334	54.4	32556	4.6	33.3
jhu/daily	23434b2c1407	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-04-04	74	27	11				5	6	5	24	2	5	17	73.71913011426466	6.143260842855388	15.358152107138471	52.217717164270795		8.333333333333332	20.833333333333336	70.83333333333334	2	1	3	-2	9.090909090909092	100	150	-10.526315789473685	52.63157894736842	100	150	-66.66666666666666	54.4	32556	4.6	33.3
jhu/daily	6e0dfdb60ccd	7115d71bd53f	total-country	Saint Martin	MF	Saint Martin			18.08333333	-63.95	Americas	Caribbean	2020-04-05	75	28	12				6	7	6	32	2	7	23	98.2921734856862	6.143260842855388	21.50141294999386	70.64749969283697		6.25	21.875	71.875	8		2	6	33.333333333333336		40	35.294117647058826	210.52631578947367		100	200	54.4	32556	4.6	33.3
