dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	941ef22c6e1b	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-20	59	1					-13	-13		3			3	0.011			0.011				100	3			3					0.011			0.011	28.846			28.846	587041	26955737	6.2	20.3
jhu/daily	62fc709e3cd7	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-23	62	4	1				-10	-10		12			12	0.045			0.045				100	9			9	300			300	0.033			0.033	86.538			86.538	587041	26955737	6.2	20.3
jhu/daily	57924f6d8a61	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-24	63	5	2				-9	-9		17			17	0.063			0.063				100	5			5	41.667			41.667	0.019			0.019	48.077			48.077	587041	26955737	6.2	20.3
jhu/daily	92dd5dcaddd0	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-25	64	6	3				-8	-8		19			19	0.07			0.07				100	2			2	11.765			11.765	0.007			0.007	19.231			19.231	587041	26955737	6.2	20.3
jhu/daily	3adb4947a8c2	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-26	65	7	4				-7	-7		23			23	0.085			0.085				100	4			4	21.053			21.053	0.015			0.015	38.462			38.462	587041	26955737	6.2	20.3
jhu/daily	ac80d2365220	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-27	66	8	5				-6	-6		26			26	0.096			0.096				100	3			3	13.043			13.043	0.011			0.011	28.846			28.846	587041	26955737	6.2	20.3
jhu/daily	1a36ca9a59a3	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-29	68	10	7				-4	-4		39			39	0.145			0.145				100	13			13	50			50	0.048			0.048	125			125	587041	26955737	6.2	20.3
jhu/daily	fa14c4c74fbe	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-30	69	11	8				-3	-3		43			43	0.16			0.16				100	4			4	10.256			10.256	0.015			0.015	38.462			38.462	587041	26955737	6.2	20.3
jhu/daily	546246caea74	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-31	70	12	9				-2	-2		57			57	0.211			0.211				100	14			14	32.558			32.558	0.052			0.052	134.615			134.615	587041	26955737	6.2	20.3
jhu/daily	d3b570c17d99	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-02	72	14	11				0	0		59			59	0.219			0.219				100	2			2	3.509			3.509	0.007			0.007	19.231			19.231	587041	26955737	6.2	20.3
