dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	bf97f57bf5eb	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-07	46	1					-18	-17	-19	2			2								100	2			2					16.393442622950822			19.23076923076923				
jhu/daily	4e4bde78e88f	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-11	50	5					-14	-13	-15	3			3								100	1			1	50			50	8.196721311475411			9.615384615384615				
jhu/daily	13632706208d	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-14	53	8					-11	-10	-12	9			9								100	6			6	200			200	49.180327868852466			57.692307692307686				
jhu/daily	ef9e12fea10d	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-16	55	10	1				-9	-8	-10	15	1		14						6.666666666666667		93.33333333333333	6	1		5	66.66666666666667			55.55555555555556	49.180327868852466	100		48.07692307692307				
jhu/daily	4e3319459220	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-17	56	11	2				-8	-7	-9	16	1		15						6.25		93.75	1			1	6.666666666666667			7.142857142857143	8.196721311475411			9.615384615384615				
jhu/daily	ebc9ddd57343	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-18	57	12	3				-7	-6	-8	19	1		18						5.263157894736842		94.73684210526315	3			3	18.75			20	24.590163934426233			28.846153846153843				
jhu/daily	c88f51449838	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-19	58	13	4				-6	-5	-7	23	1		22						4.3478260869565215		95.65217391304348	4			4	21.05263157894737			22.22222222222222	32.786885245901644			38.46153846153846				
jhu/daily	5053bb735081	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-20	59	14	5				-5	-4	-6	32	1		31						3.125		96.875	9			9	39.130434782608695			40.90909090909091	73.77049180327869			86.53846153846153				
jhu/daily	3d3b068b84ae	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-22	61	16	7				-3	-2	-4	37	1		36						2.7027027027027026		97.2972972972973	5			5	15.625			16.129032258064516	40.98360655737705			48.07692307692307				
jhu/daily	1409729a97fc	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-23	62	17	8				-2	-1	-3	53	1		52						1.8867924528301887		98.11320754716981	16			16	43.24324324324324			44.44444444444444	131.14754098360658			153.84615384615384				
jhu/daily	3d7478c2dce5	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-24	63	18	9				-1	0	-2	57	1		56						1.7543859649122806		98.24561403508771	4			4	7.547169811320755			7.6923076923076925	32.786885245901644			38.46153846153846				
jhu/daily	b63ef0eee417	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-25	64	19	10				0	1	-1	66	1		65						1.5151515151515151		98.48484848484848	9			9	15.789473684210526			16.071428571428573	73.77049180327869			86.53846153846153				
jhu/daily	b688d1c9c5ed	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-27	66	21	12				2	3	1	81	1		80						1.2345679012345678		98.76543209876543	15			15	22.727272727272727			23.076923076923077	122.95081967213115			144.23076923076923				
jhu/daily	001b7cfc1bb4	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-28	67	22	13				3	4	2	93	1		92						1.0752688172043012		98.9247311827957	12			12	14.814814814814815			15	98.36065573770493			115.38461538461537				
jhu/daily	418e8efa15c6	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-03-31	70	25	16	1			6	7	5	128	3	27	98						2.34375	21.09375	76.5625	35	2	27	6	37.634408602150536	200		6.521739130434782	286.8852459016394	200	117.3913043478261	57.692307692307686				
jhu/daily	bf5196da01ea	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-04-01	71	26	17	2			7	8	6	135	3	27	105						2.2222222222222223	20	77.77777777777779	7			7	5.46875			7.142857142857143	57.37704918032788			67.3076923076923				
jhu/daily	eb83cd875a3f	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-04-02	72	27	18	3			8	9	7	138	3	27	108						2.1739130434782608	19.565217391304348	78.26086956521739	3			3	2.2222222222222223			2.857142857142857	24.590163934426233			28.846153846153843				
jhu/daily	c46ef390631b	030e812baaf5	total-country	Martinique	MQ	Martinique			14.666667	-61	Americas	Caribbean	2020-04-03	73	28	19	4			9	10	8	143	3	27	113						2.097902097902098	18.88111888111888	79.02097902097903	5			5	3.6231884057971016			4.62962962962963	40.98360655737705			48.07692307692307				
