dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	e4b4ecfba2c1	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-02-28	38	1					-39	-40	-39	1			1	0.001			0.001				100	1			1					0.001			0.001	0.322			0.348	1964375	128649565	5.4	29.3
jhu/daily	10118a0e6636	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-02-29	39	2					-38	-39	-38	4			4	0.003			0.003				100	3			3	300			300	0.002			0.002	0.967			1.045	1964375	128649565	5.4	29.3
jhu/daily	842e98d9e7bd	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-01	40	3					-37	-38	-37	5			5	0.004			0.004				100	1			1	25			25	0.001			0.001	0.322			0.348	1964375	128649565	5.4	29.3
jhu/daily	e159dba5b9f4	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-03	42	5					-35	-36	-35	5		1	4	0.004		0.001	0.003			20	80			1	-1				-20			0.001	-0.001			8.571	-0.348	1964375	128649565	5.4	29.3
jhu/daily	d44a3fe9d049	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-06	45	8					-32	-33	-32	6		1	5	0.005		0.001	0.004			16.667	83.333	1			1	20			25	0.001			0.001	0.322			0.348	1964375	128649565	5.4	29.3
jhu/daily	7056a7e8ec10	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-08	47	10					-30	-31	-30	7		1	6	0.005		0.001	0.005			14.286	85.714	1			1	16.667			20	0.001			0.001	0.322			0.348	1964375	128649565	5.4	29.3
jhu/daily	e12ddd8bf10d	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-10	49	12					-28	-29	-28	7		4	3	0.005		0.003	0.002			57.143	42.857			3	-3			300	-50			0.002	-0.002			25.714	-1.045	1964375	128649565	5.4	29.3
jhu/daily	cbacaea0c26a	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-11	50	13					-27	-28	-27	8		4	4	0.006		0.003	0.003			50	50	1			1	14.286			33.333	0.001			0.001	0.322			0.348	1964375	128649565	5.4	29.3
jhu/daily	8a0809b82461	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-12	51	14	1				-26	-27	-26	12		4	8	0.009		0.003	0.006			33.333	66.667	4			4	50			100	0.003			0.003	1.289			1.393	1964375	128649565	5.4	29.3
jhu/daily	9149eb287f44	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-14	53	16	3				-24	-25	-24	26		4	22	0.02		0.003	0.017			15.385	84.615	14			14	116.667			175	0.011			0.011	4.513			4.875	1964375	128649565	5.4	29.3
jhu/daily	2ff6e80ea763	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-15	54	17	4				-23	-24	-23	41		4	37	0.032		0.003	0.029			9.756	90.244	15			15	57.692			68.182	0.012			0.012	4.836			5.223	1964375	128649565	5.4	29.3
jhu/daily	c6951e5cdc9e	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-16	55	18	5				-22	-23	-22	53		4	49	0.041		0.003	0.038			7.547	92.453	12			12	29.268			32.432	0.009			0.009	3.868			4.178	1964375	128649565	5.4	29.3
jhu/daily	ea86a4b361f3	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-17	56	19	6				-21	-22	-21	82		4	78	0.064		0.003	0.061			4.878	95.122	29			29	54.717			59.184	0.023			0.023	9.349			10.097	1964375	128649565	5.4	29.3
jhu/daily	89cb23673e12	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-18	57	20	7				-20	-21	-20	93		4	89	0.072		0.003	0.069			4.301	95.699	11			11	13.415			14.103	0.009			0.009	3.546			3.83	1964375	128649565	5.4	29.3
jhu/daily	34d9f9900bdc	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-19	58	21	8	1			-19	-20	-19	118	1	4	113	0.092	0.001	0.003	0.088		0.847	3.39	95.763	25	1		24	26.882			26.966	0.019	0.001		0.019	8.059	4.202		8.357	1964375	128649565	5.4	29.3
