dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	18f4fd1f29a8	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-01-25	4	1					-64	-63	-66	3			3	0.009187775248519367			0.009187775248519367				100	3			3					1.4910536779324057			1.8404907975460123	329847	32652083	5.3	29.2
jhu/daily	7cb6a61508bd	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-01-26	5	2					-63	-62	-65	4			4	0.012250366998025822			0.012250366998025822				100	1			1	33.333333333333336			33.333333333333336	0.4970178926441352			0.6134969325153374	329847	32652083	5.3	29.2
jhu/daily	e1de8b86386a	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-01-29	8	5					-60	-59	-62	7			7	0.02143814224654519			0.02143814224654519				100	3			3	75			75	1.4910536779324057			1.8404907975460123	329847	32652083	5.3	29.2
jhu/daily	a7fc5189d273	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-01-30	9	6					-59	-58	-61	8			8	0.024500733996051644			0.024500733996051644				100	1			1	14.285714285714286			14.285714285714286	0.4970178926441352			0.6134969325153374	329847	32652083	5.3	29.2
jhu/daily	bf5312ec7961	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-04	14	11	1				-54	-53	-56	10			10	0.030625917495064558			0.030625917495064558				100	2			2	25			25	0.9940357852882704			1.2269938650306749	329847	32652083	5.3	29.2
jhu/daily	1f86e5f41b88	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-05	15	12	2				-53	-52	-55	12			12	0.03675110099407747			0.03675110099407747				100	2			2	20			20	0.9940357852882704			1.2269938650306749	329847	32652083	5.3	29.2
jhu/daily	a2cfac78c2ac	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-07	17	14	4				-51	-50	-53	12		1	11	0.03675110099407747		0.0030625917495064555	0.033688509244571015			8.333333333333332	91.66666666666666			1	-1				-8.333333333333334			0.8665511265164645	-0.6134969325153374	329847	32652083	5.3	29.2
jhu/daily	02075fc2d266	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-08	18	15	5				-50	-49	-52	16		1	15	0.04900146799210329		0.0030625917495064555	0.045938876242596835			6.25	93.75	4			4	33.333333333333336			36.36363636363637	1.9880715705765408			2.4539877300613497	329847	32652083	5.3	29.2
jhu/daily	26aec377ff48	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-10	20	17	7				-48	-47	-50	18		1	17	0.0551266514911162		0.0030625917495064555	0.05206405974160974			5.555555555555555	94.44444444444444	2			2	12.5			13.333333333333334	0.9940357852882704			1.2269938650306749	329847	32652083	5.3	29.2
jhu/daily	70bb2f537d4b	ea7f0859003c	total-country	Malaysia	MY	Malaysia			2.5	112.5	Asia	South-Eastern Asia	2020-02-11	21	18	8				-47	-46	-49	18		3	15	0.0551266514911162		0.009187775248519367	0.045938876242596835			16.666666666666664	83.33333333333334			2	-2			200	-11.764705882352942			1.733102253032929	-1.2269938650306749	329847	32652083	5.3	29.2
