dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	0ff54ff9d5d7	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-02-27	37	1					-35	-34	-36	1			1	0.006			0.006				100	1			1					0.006			0.006	0.085			0.095	41543	17280397	9.2	42.8
jhu/daily	63b85a64264f	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-02-29	39	3					-33	-32	-34	6			6	0.035			0.035				100	5			5	500			500	0.029			0.029	0.426			0.477	41543	17280397	9.2	42.8
jhu/daily	9572919f2a8e	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-01	40	4	1				-32	-31	-33	10			10	0.058			0.058				100	4			4	66.667			66.667	0.023			0.023	0.341			0.382	41543	17280397	9.2	42.8
jhu/daily	dd6642c3de94	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-02	41	5	2				-31	-30	-32	18			18	0.104			0.104				100	8			8	80			80	0.046			0.046	0.681			0.763	41543	17280397	9.2	42.8
jhu/daily	2e643bcf1f86	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-03	42	6	3				-30	-29	-31	24			24	0.139			0.139				100	6			6	33.333			33.333	0.035			0.035	0.511			0.572	41543	17280397	9.2	42.8
jhu/daily	bd3f6c528c6f	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-04	43	7	4				-29	-28	-30	38			38	0.22			0.22				100	14			14	58.333			58.333	0.081			0.081	1.192			1.336	41543	17280397	9.2	42.8
jhu/daily	67ad3f9a421d	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-05	44	8	5				-28	-27	-29	82			82	0.475			0.475				100	44			44	115.789			115.789	0.255			0.255	3.747			4.198	41543	17280397	9.2	42.8
jhu/daily	dd580220146e	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-06	45	9	6	1			-27	-26	-28	128	1		127	0.741	0.006		0.735		0.781		99.219	46	1		45	56.098			54.878	0.266	0.006		0.26	3.917	0.624		4.293	41543	17280397	9.2	42.8
jhu/daily	cb0a445a0277	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-07	46	10	7	2			-26	-25	-27	188	1		187	1.088	0.006		1.082		0.532		99.468	60			60	46.875			47.244	0.347			0.347	5.109			5.724	41543	17280397	9.2	42.8
jhu/daily	fff8bbecb8ab	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-08	47	11	8	3			-25	-24	-26	265	3		262	1.534	0.017		1.516		1.132		98.868	77	2		75	40.957	200		40.107	0.446	0.012		0.434	6.557	1.248		7.155	41543	17280397	9.2	42.8
jhu/daily	71774dce4ffd	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-09	48	12	9	4			-24	-23	-25	321	3		318	1.858	0.017		1.84		0.935		99.065	56			56	21.132			21.374	0.324			0.324	4.768			5.342	41543	17280397	9.2	42.8
