dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	877c450782f9	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-02-28	38	1					-33	-30	-36	1			1	0.02			0.02				100	1			1					0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	698b9713a843	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-04	43	6					-28	-25	-31	3			3	0.061			0.061				100	2			2	200			200	0.041			0.041	2.398			2.89	268838	4925477	6.9	37.2
jhu/daily	431d4ae25a19	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-06	45	8					-26	-23	-29	4			4	0.081			0.081				100	1			1	33.333			33.333	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	07e0ce695cc5	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-07	46	9					-25	-22	-28	5			5	0.102			0.102				100	1			1	25			25	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	39e4ac2cb6c4	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-14	53	16					-18	-15	-21	6			6	0.122			0.122				100	1			1	20			20	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	0780004e81c5	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-15	54	17					-17	-14	-20	8			8	0.162			0.162				100	2			2	33.333			33.333	0.041			0.041	2.398			2.89	268838	4925477	6.9	37.2
jhu/daily	169ed088d5ca	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-17	56	19	1				-15	-12	-18	12			12	0.244			0.244				100	4			4	50			50	0.081			0.081	4.796			5.78	268838	4925477	6.9	37.2
jhu/daily	209c1d8941dc	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-18	57	20	2				-14	-11	-17	20			20	0.406			0.406				100	8			8	66.667			66.667	0.162			0.162	9.592			11.561	268838	4925477	6.9	37.2
jhu/daily	c40e056faef6	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-19	58	21	3				-13	-10	-16	28			28	0.568			0.568				100	8			8	40			40	0.162			0.162	9.592			11.561	268838	4925477	6.9	37.2
jhu/daily	8a14d38c3613	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-20	59	22	4				-12	-9	-15	39			39	0.792			0.792				100	11			11	39.286			39.286	0.223			0.223	13.189			15.896	268838	4925477	6.9	37.2
jhu/daily	6b29bdfbaca3	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-21	60	23	5				-11	-8	-14	52			52	1.056			1.056				100	13			13	33.333			33.333	0.264			0.264	15.588			18.786	268838	4925477	6.9	37.2
jhu/daily	b9b7596e3a80	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-22	61	24	6	1			-10	-7	-13	102			102	2.071			2.071				100	50			50	96.154			96.154	1.015			1.015	59.952			72.254	268838	4925477	6.9	37.2
jhu/daily	ee818de1e501	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-24	63	26	8	3			-8	-5	-11	155		12	143	3.147		0.244	2.903			7.742	92.258	53		12	41	51.961			40.196	1.076		0.244	0.832	63.549		26.087	59.249	268838	4925477	6.9	37.2
jhu/daily	dc1fca243efa	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-25	64	27	9	4			-7	-4	-10	205		22	183	4.162		0.447	3.715			10.732	89.268	50		10	40	32.258		83.333	27.972	1.015		0.203	0.812	59.952		21.739	57.803	268838	4925477	6.9	37.2
jhu/daily	139c1be71f4e	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-26	65	28	10	5			-6	-3	-9	283		27	256	5.746		0.548	5.197			9.541	90.459	78		5	73	38.049		22.727	39.891	1.584		0.102	1.482	93.525		10.87	105.491	268838	4925477	6.9	37.2
jhu/daily	b0439dfb0430	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-27	66	29	11	6			-5	-2	-8	368		37	331	7.471		0.751	6.72			10.054	89.946	85		10	75	30.035		37.037	29.297	1.726		0.203	1.523	101.918		21.739	108.382	268838	4925477	6.9	37.2
jhu/daily	8cf056619c58	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-28	67	30	12	7			-4	-1	-7	451		50	401	9.156		1.015	8.141			11.086	88.914	83		13	70	22.554		35.135	21.148	1.685		0.264	1.421	99.52		28.261	101.156	268838	4925477	6.9	37.2
jhu/daily	00270cad2a78	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-29	68	31	13	8			-3	0	-6	514	1	56	457	10.436	0.02	1.137	9.278		0.195	10.895	88.911	63	1	6	56	13.969		12	13.965	1.279	0.02	0.122	1.137	75.54	100	13.043	80.925	268838	4925477	6.9	37.2
jhu/daily	e8affaa1516c	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-30	69	32	14	9			-2	1	-5	589	1	63	525	11.958	0.02	1.279	10.659		0.17	10.696	89.134	75		7	68	14.591		12.5	14.88	1.523		0.142	1.381	89.928		15.217	98.266	268838	4925477	6.9	37.2
jhu/daily	12b4346fd55e	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-31	70	33	15	10			-1	2	-4	647	1	74	572	13.136	0.02	1.502	11.613		0.155	11.437	88.408	58		11	47	9.847		17.46	8.952	1.178		0.223	0.954	69.544		23.913	67.919	268838	4925477	6.9	37.2
jhu/daily	73ba36fc8006	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-01	71	34	16	11			0	3	-3	708	1	83	624	14.374	0.02	1.685	12.669		0.141	11.723	88.136	61		9	52	9.428		12.162	9.091	1.238		0.183	1.056	73.141		19.565	75.145	268838	4925477	6.9	37.2
jhu/daily	a4ebe6717f49	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-02	72	35	17	12			1	4	-2	797	1	92	704	16.181	0.02	1.868	14.293		0.125	11.543	88.331	89		9	80	12.571		10.843	12.821	1.807		0.183	1.624	106.715		19.565	115.607	268838	4925477	6.9	37.2
jhu/daily	8d37c975a032	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-03	73	36	18	13			2	5	-1	868	1	103	764	17.623	0.02	2.091	15.511		0.115	11.866	88.018	71		11	60	8.908		11.957	8.523	1.441		0.223	1.218	85.132		23.913	86.705	268838	4925477	6.9	37.2
jhu/daily	a8669d76a8e1	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-04	74	37	19	14			3	6	0	950	1	127	822	19.287	0.02	2.578	16.689		0.105	13.368	86.526	82		24	58	9.447		23.301	7.592	1.665		0.487	1.178	98.321		52.174	83.815	268838	4925477	6.9	37.2
jhu/daily	4bac1d9653c2	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-05	75	38	20	15	1		4	7	1	1039	1	156	882	21.094	0.02	3.167	17.907		0.096	15.014	84.889	89		29	60	9.368		22.835	7.299	1.807		0.589	1.218	106.715		63.043	86.705	268838	4925477	6.9	37.2
jhu/daily	71ab6ccd2617	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-06	76	39	21	16	2		5	8	2	1106	1	176	929	22.455	0.02	3.573	18.861		0.09	15.913	83.996	67		20	47	6.449		12.821	5.329	1.36		0.406	0.954	80.336		43.478	67.919	268838	4925477	6.9	37.2
jhu/daily	9255e9b7a354	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-07	77	40	22	17	3		6	9	3	1160	1	241	918	23.551	0.02	4.893	18.638		0.086	20.776	79.138	54		65	-11	4.882		36.932	-1.184	1.096		1.32	-0.223	64.748		141.304	-15.896	268838	4925477	6.9	37.2
jhu/daily	b8cff7e541b2	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-08	78	41	23	18	4		7	10	4	1210	1	282	927	24.566	0.02	5.725	18.821		0.083	23.306	76.612	50		41	9	4.31		17.012	0.98	1.015		0.832	0.183	59.952		89.13	13.006	268838	4925477	6.9	37.2
jhu/daily	ab31d080427d	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-09	79	42	24	19	5		8	11	5	1239	1	317	921	25.155	0.02	6.436	18.699		0.081	25.585	74.334	29		35	-6	2.397		12.411	-0.647	0.589		0.711	-0.122	34.772		76.087	-8.671	268838	4925477	6.9	37.2
jhu/daily	d3c47ae4f58b	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-10	80	43	25	20	6		9	12	6	1283	2	373	908	26.048	0.041	7.573	18.435		0.156	29.072	70.772	44	1	56	-13	3.551	100	17.666	-1.412	0.893	0.02	1.137	-0.264	52.758	100	121.739	-18.786	268838	4925477	6.9	37.2
jhu/daily	225ac4b08397	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-11	81	44	26	21	7		10	13	7	1312	4	422	886	26.637	0.081	8.568	17.988		0.305	32.165	67.53	29	2	49	-22	2.26	100	13.137	-2.423	0.589	0.041	0.995	-0.447	34.772	200	106.522	-31.792	268838	4925477	6.9	37.2
jhu/daily	c73530b44e1d	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-04-12	82	45	27	22	8		11	14	8	1330	4	471	855	27.002	0.081	9.563	17.359		0.301	35.414	64.286	18		49	-31	1.372		11.611	-3.499	0.365		0.995	-0.629	21.583		106.522	-44.798	268838	4925477	6.9	37.2
