dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	dff4c34844b1	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-24	34	1					-37	-39	-36	2			2	0.04287388817289496			0.04287388817289496				100	2			2					7.092198581560284			7.633587786259542	309500	4664844	3.3	26.2
jhu/daily	8d90ff32328b	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-26	36	3					-35	-37	-34	4			4	0.08574777634578992			0.08574777634578992				100	2			2	100			100	7.092198581560284			7.633587786259542	309500	4664844	3.3	26.2
jhu/daily	c413d3cc4e5b	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-29	39	6					-32	-34	-31	6		1	5	0.12862166451868487		0.02143694408644748	0.10718472043223738			16.666666666666664	83.33333333333334	2		1	1	50			25	7.092198581560284		16.666666666666664	3.816793893129771	309500	4664844	3.3	26.2
jhu/daily	ffb4058ab0b7	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-03	42	9	1				-29	-31	-28	12		2	10	0.25724332903736974		0.04287388817289496	0.21436944086447476			16.666666666666664	83.33333333333334	6		1	5	100		100	100	21.27659574468085		16.666666666666664	19.083969465648856	309500	4664844	3.3	26.2
jhu/daily	ffa72c4d670f	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-04	43	10	2				-28	-30	-27	15		2	13	0.32155416129671216		0.04287388817289496	0.2786802731238172			13.333333333333334	86.66666666666667	3			3	25			30	10.638297872340425			11.450381679389313	309500	4664844	3.3	26.2
jhu/daily	74734047d3a0	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-05	44	11	3				-27	-29	-26	16		2	14	0.3429911053831597		0.04287388817289496	0.3001172172102647			12.5	87.5	1			1	6.666666666666667			7.6923076923076925	3.546099290780142			3.816793893129771	309500	4664844	3.3	26.2
jhu/daily	b9693b9c7003	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-10	49	16	8				-22	-24	-21	18		9	9	0.38586499355605464		0.19293249677802732	0.19293249677802732			50	50	2		7	-5	12.5		350	-35.714285714285715	7.092198581560284		116.66666666666667	-19.083969465648856	309500	4664844	3.3	26.2
jhu/daily	d5936c984e13	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-13	52	19	11				-19	-21	-18	19		9	10	0.4073019376425021		0.19293249677802732	0.21436944086447476			47.368421052631575	52.63157894736842	1			1	5.555555555555555			11.11111111111111	3.546099290780142			3.816793893129771	309500	4664844	3.3	26.2
jhu/daily	5a17cf1c507a	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-15	54	21	13				-17	-19	-16	22		9	13	0.47161276990184453		0.19293249677802732	0.2786802731238172			40.909090909090914	59.09090909090909	3			3	15.789473684210526			30	10.638297872340425			11.450381679389313	309500	4664844	3.3	26.2
jhu/daily	80248fd68976	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-17	56	23	15				-15	-17	-14	24		9	15	0.5144866580747395		0.19293249677802732	0.32155416129671216			37.5	62.5	2			2	9.090909090909092			15.384615384615385	7.092198581560284			7.633587786259542	309500	4664844	3.3	26.2
