dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	d93919f77173	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-13	52	1					-14	-14		3			3	1.0165322020459406			1.0165322020459406				100	3			3					60			60	4167	295121	5.5	33.3
jhu/daily	783cade82451	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-19	58	7					-8	-8		6			6	2.0330644040918813			2.0330644040918813				100	3			3	100			100	60			60	4167	295121	5.5	33.3
jhu/daily	93f1ac49c0bc	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-20	59	8	1				-7	-7		11			11	3.7272847408351155			3.7272847408351155				100	5			5	83.33333333333333			83.33333333333333	100			100	4167	295121	5.5	33.3
jhu/daily	87715c4288db	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-21	60	9	2				-6	-6		15			15	5.082661010229702			5.082661010229702				100	4			4	36.36363636363637			36.36363636363637	80			80	4167	295121	5.5	33.3
jhu/daily	4021be84b27d	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-23	62	11	4	1	1	1	-4	-4		19874	860	2200	16814	6734.186994487007	291.4058979198363	745.4569481670231	5697.324148400148		4.3272617490188185	11.069739357955118	84.60299889302605	19859	860	2200	16799	132393.33333333334			111993.33333333333	397180			335980	4167	295121	5.5	33.3
jhu/daily	a00f4013d75c	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-24	63	12	5	2	2	2	-3	-3		25			25	8.47110168371617			8.47110168371617				100	-19849	-860	-2200	-16789	-99.87420750729596	-100	-100	-99.85131438087308	-396980			-335780	4167	295121	5.5	33.3
jhu/daily	d80857ed9804	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-26	65	14	7	4	4	4	-1	-1		30			30	10.165322020459405			10.165322020459405				100	5			5	20			20	100			100	4167	295121	5.5	33.3
jhu/daily	104b900eada0	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-30	69	18	11	8	8	8	3	3		36			36	12.198386424551288			12.198386424551288				100	6			6	20			20	120			120	4167	295121	5.5	33.3
jhu/daily	91a930d6d744	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-01	71	20	13	10	10	10	5	5		37			37	12.537230491899933			12.537230491899933				100	1			1	2.7777777777777777			2.7777777777777777	20			20	4167	295121	5.5	33.3
jhu/daily	0d50e138ccf8	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-03	73	22	15	12	12	12	7	7		39			39	13.214918626597228			13.214918626597228				100	2			2	5.405405405405405			5.405405405405405	40			40	4167	295121	5.5	33.3
jhu/daily	86203da9b19b	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-04	74	23	16	13	13	13	8	8		40			40	13.553762693945872			13.553762693945872				100	1			1	2.5641025641025643			2.5641025641025643	20			20	4167	295121	5.5	33.3
jhu/daily	b0e2bcb9eb7f	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-05	75	24	17	14	14	14	9	9		41			41	13.892606761294521			13.892606761294521				100	1			1	2.5			2.5	20			20	4167	295121	5.5	33.3
jhu/daily	a12113f33f68	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-06	76	25	18	15	15	15	10	10		42			42	14.231450828643165			14.231450828643165				100	1			1	2.4390243902439024			2.4390243902439024	20			20	4167	295121	5.5	33.3
jhu/daily	3f5c7b01133a	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-07	77	26	19	16	16	16	11	11		47			47	15.925671165386401			15.925671165386401				100	5			5	11.904761904761905			11.904761904761905	100			100	4167	295121	5.5	33.3
