dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	861371c6fbea	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-04	43	1					-32	-32	-32	1			1	0.003			0.003				100	1			1					0.003			0.003	0.251			0.283	312685	38282325	10.6	41.9
jhu/daily	cdd1200598da	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-06	45	3					-30	-30	-30	5			5	0.013			0.013				100	4			4	400			400	0.01			0.01	1.005			1.133	312685	38282325	10.6	41.9
jhu/daily	da9b2680bbe8	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-08	47	5	1				-28	-28	-28	11			11	0.029			0.029				100	6			6	120			120	0.016			0.016	1.507			1.7	312685	38282325	10.6	41.9
jhu/daily	70c1663b3d73	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-09	48	6	2				-27	-27	-27	16			16	0.042			0.042				100	5			5	45.455			45.455	0.013			0.013	1.256			1.416	312685	38282325	10.6	41.9
jhu/daily	fcf1e005e356	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-10	49	7	3				-26	-26	-26	22			22	0.057			0.057				100	6			6	37.5			37.5	0.016			0.016	1.507			1.7	312685	38282325	10.6	41.9
jhu/daily	6870dc7cc707	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-11	50	8	4				-25	-25	-25	31			31	0.081			0.081				100	9			9	40.909			40.909	0.024			0.024	2.26			2.55	312685	38282325	10.6	41.9
jhu/daily	05033a65bd78	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-12	51	9	5				-24	-24	-24	49	1		48	0.128	0.003		0.125		2.041		97.959	18	1		17	58.065			54.839	0.047	0.003		0.044	4.52	6.25		4.816	312685	38282325	10.6	41.9
jhu/daily	7a60d3089421	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-13	52	10	6				-23	-23	-23	68	2		66	0.178	0.005		0.172		2.941		97.059	19	1		18	38.776	100		37.5	0.05	0.003		0.047	4.771	6.25		5.099	312685	38282325	10.6	41.9
jhu/daily	eae235dc2fd3	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-14	53	11	7	1			-22	-22	-22	103	3		100	0.269	0.008		0.261		2.913		97.087	35	1		34	51.471	50		51.515	0.091	0.003		0.089	8.79	6.25		9.632	312685	38282325	10.6	41.9
jhu/daily	0b620ee06c46	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-15	54	12	8	2			-21	-21	-21	119	3		116	0.311	0.008		0.303		2.521		97.479	16			16	15.534			16	0.042			0.042	4.018			4.533	312685	38282325	10.6	41.9
jhu/daily	b890bad584c5	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-16	55	13	9	3			-20	-20	-20	177	4	13	160	0.462	0.01	0.034	0.418		2.26	7.345	90.395	58	1	13	44	48.739	33.333		37.931	0.152	0.003	0.034	0.115	14.566	6.25	34.574	12.465	312685	38282325	10.6	41.9
jhu/daily	4466f7823a7c	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-17	56	14	10	4			-19	-19	-19	238	5	13	220	0.622	0.013	0.034	0.575		2.101	5.462	92.437	61	1		60	34.463	25		37.5	0.159	0.003		0.157	15.319	6.25		16.997	312685	38282325	10.6	41.9
jhu/daily	4026b18cd728	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-18	57	15	11	5			-18	-18	-18	251	5	13	233	0.656	0.013	0.034	0.609		1.992	5.179	92.829	13			13	5.462			5.909	0.034			0.034	3.265			3.683	312685	38282325	10.6	41.9
jhu/daily	da9920fb0d18	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-19	58	16	12	6			-17	-17	-17	355	5	1	349	0.927	0.013	0.003	0.912		1.408	0.282	98.31	104		-12	116	41.434		-92.308	49.785	0.272		-0.031	0.303	26.118		-31.915	32.861	312685	38282325	10.6	41.9
jhu/daily	58062de9ef53	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-20	59	17	13	7			-16	-16	-16	425	5	1	419	1.11	0.013	0.003	1.094		1.176	0.235	98.588	70			70	19.718			20.057	0.183			0.183	17.579			19.83	312685	38282325	10.6	41.9
jhu/daily	ad884eaf3eb9	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-21	60	18	14	8			-15	-15	-15	536	5	1	530	1.4	0.013	0.003	1.384		0.933	0.187	98.881	111			111	26.118			26.492	0.29			0.29	27.875			31.445	312685	38282325	10.6	41.9
jhu/daily	7bbb54c2ed1a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-22	61	19	15	9			-14	-14	-14	634	7	13	614	1.656	0.018	0.034	1.604		1.104	2.05	96.845	98	2	12	84	18.284	40	1200	15.849	0.256	0.005	0.031	0.219	24.611	12.5	31.915	23.796	312685	38282325	10.6	41.9
jhu/daily	46b23f48039d	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-23	62	20	16	10			-13	-13	-13	749	8	13	728	1.957	0.021	0.034	1.902		1.068	1.736	97.196	115	1		114	18.139	14.286		18.567	0.3	0.003		0.298	28.88	6.25		32.295	312685	38282325	10.6	41.9
jhu/daily	ecbbc9e4a982	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-24	63	21	17	11			-12	-12	-12	901	10	1	890	2.354	0.026	0.003	2.325		1.11	0.111	98.779	152	2	-12	162	20.294	25	-92.308	22.253	0.397	0.005	-0.031	0.423	38.172	12.5	-31.915	45.892	312685	38282325	10.6	41.9
jhu/daily	e259eeb02510	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-25	64	22	18	12	1		-11	-11	-11	1051	14	7	1030	2.745	0.037	0.018	2.691		1.332	0.666	98.002	150	4	6	140	16.648	40	600	15.73	0.392	0.01	0.016	0.366	37.67	25	15.957	39.66	312685	38282325	10.6	41.9
jhu/daily	a44f1554c1a6	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-26	65	23	19	13	2		-10	-10	-10	1221	16	7	1198	3.189	0.042	0.018	3.129		1.31	0.573	98.116	170	2		168	16.175	14.286		16.311	0.444	0.005		0.439	42.692	12.5		47.592	312685	38282325	10.6	41.9
jhu/daily	0937bdb15fe7	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-27	66	24	20	14	3		-9	-9	-9	1389	16	7	1366	3.628	0.042	0.018	3.568		1.152	0.504	98.344	168			168	13.759			14.023	0.439			0.439	42.19			47.592	312685	38282325	10.6	41.9
jhu/daily	6c8f6740f32c	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-28	67	25	21	15	4		-8	-8	-8	1638	18	7	1613	4.279	0.047	0.018	4.213		1.099	0.427	98.474	249	2		247	17.927	12.5		18.082	0.65	0.005		0.645	62.531	12.5		69.972	312685	38282325	10.6	41.9
jhu/daily	7f8e36038653	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-29	68	26	22	16	5		-7	-7	-7	1862	22	7	1833	4.864	0.057	0.018	4.788		1.182	0.376	98.443	224	4		220	13.675	22.222		13.639	0.585	0.01		0.575	56.253	25		62.323	312685	38282325	10.6	41.9
jhu/daily	4495d412496f	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-30	69	27	23	17	6		-6	-6	-6	2055	31	7	2017	5.368	0.081	0.018	5.269		1.509	0.341	98.151	193	9		184	10.365	40.909		10.038	0.504	0.024		0.481	48.468	56.25		52.125	312685	38282325	10.6	41.9
jhu/daily	aa32e49964ad	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-31	70	28	24	18	7		-5	-5	-5	2311	33	7	2271	6.037	0.086	0.018	5.932		1.428	0.303	98.269	256	2		254	12.457	6.452		12.593	0.669	0.005		0.663	64.289	12.5		71.955	312685	38282325	10.6	41.9
jhu/daily	a483300f0816	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-01	71	29	25	19	8		-4	-4	-4	2554	43	47	2464	6.671	0.112	0.123	6.436		1.684	1.84	96.476	243	10	40	193	10.515	30.303	571.429	8.498	0.635	0.026	0.104	0.504	61.025	62.5	106.383	54.674	312685	38282325	10.6	41.9
jhu/daily	e1194e36abc3	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-02	72	30	26	20	9		-3	-3	-3	2946	57	56	2833	7.695	0.149	0.146	7.4		1.935	1.901	96.164	392	14	9	369	15.348	32.558	19.149	14.976	1.024	0.037	0.024	0.964	98.443	87.5	23.936	104.533	312685	38282325	10.6	41.9
jhu/daily	00afecf48e3a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-03	73	31	27	21	10		-2	-2	-2	3383	71	56	3256	8.837	0.185	0.146	8.505		2.099	1.655	96.246	437	14		423	14.834	24.561		14.931	1.142	0.037		1.105	109.744	87.5		119.83	312685	38282325	10.6	41.9
jhu/daily	4340093a66ee	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-04	74	32	28	22	11		-1	-1	-1	3627	79	116	3432	9.474	0.206	0.303	8.965		2.178	3.198	94.624	244	8	60	176	7.213	11.268	107.143	5.405	0.637	0.021	0.157	0.46	61.276	50	159.574	49.858	312685	38282325	10.6	41.9
jhu/daily	5bc7c8a91b22	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-05	75	33	29	23	12		0	0	0	4102	94	134	3874	10.715	0.246	0.35	10.12		2.292	3.267	94.442	475	15	18	442	13.096	18.987	15.517	12.879	1.241	0.039	0.047	1.155	119.287	93.75	47.872	125.212	312685	38282325	10.6	41.9
jhu/daily	4d7760bdcfe1	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-06	76	34	30	24	13		1	1	1	4413	107	162	4144	11.528	0.28	0.423	10.825		2.425	3.671	93.904	311	13	28	270	7.582	13.83	20.896	6.97	0.812	0.034	0.073	0.705	78.101	81.25	74.468	76.487	312685	38282325	10.6	41.9
jhu/daily	5d1ee8b5dc39	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-07	77	35	31	25	14		2	2	2	4848	129	191	4528	12.664	0.337	0.499	11.828		2.661	3.94	93.399	435	22	29	384	9.857	20.561	17.901	9.266	1.136	0.057	0.076	1.003	109.242	137.5	77.128	108.782	312685	38282325	10.6	41.9
jhu/daily	f6bad0b76651	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-08	78	36	32	26	15		3	3	3	5205	159	222	4824	13.596	0.415	0.58	12.601		3.055	4.265	92.68	357	30	31	296	7.364	23.256	16.23	6.537	0.933	0.078	0.081	0.773	89.653	187.5	82.447	83.853	312685	38282325	10.6	41.9
jhu/daily	eeccc185a180	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-09	79	37	33	27	16		4	4	4	5575	174	284	5117	14.563	0.455	0.742	13.366		3.121	5.094	91.785	370	15	62	293	7.109	9.434	27.928	6.074	0.967	0.039	0.162	0.765	92.918	93.75	164.894	83.003	312685	38282325	10.6	41.9
