dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	509abcf4c194	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-14	53	1					-20	-22	-19	3			3	0.09407137132227973			0.09407137132227973				100	3			3					5.319148936170213			5.660377358490567	9104	3189068	9.5	43.6
jhu/daily	8e03a1d83666	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-15	54	2					-19	-21	-18	5			5	0.15678561887046621			0.15678561887046621				100	2			2	66.66666666666667			66.66666666666667	3.546099290780142			3.7735849056603774	9104	3189068	9.5	43.6
jhu/daily	6317b97e16ad	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-16	55	3					-18	-20	-17	8			8	0.25085699019274593			0.25085699019274593				100	3			3	60			60	5.319148936170213			5.660377358490567	9104	3189068	9.5	43.6
jhu/daily	2b292cae6418	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-17	56	4					-17	-19	-16	5			5	0.15678561887046621			0.15678561887046621				100	-3			-3	-37.5			-37.5	-5.319148936170213			-5.660377358490567	9104	3189068	9.5	43.6
jhu/daily	2bb21933b9bd	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-20	59	7	1				-14	-16	-13	14			14	0.4389997328373054			0.4389997328373054				100	9			9	180			180	15.957446808510639			16.9811320754717	9104	3189068	9.5	43.6
jhu/daily	2017188b5de6	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-21	60	8	2				-13	-15	-12	21	1		20	0.6584995992559581	0.03135712377409324		0.6271424754818649		4.761904761904762		95.23809523809523	7	1		6	50			42.857142857142854	12.411347517730496	35.714285714285715		11.320754716981133	9104	3189068	9.5	43.6
jhu/daily	1a71af2cb27b	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-22	61	9	3				-12	-14	-11	23	1		22	0.7212138468041446	0.03135712377409324		0.6898567230300513		4.3478260869565215		95.65217391304348	2			2	9.523809523809524			10	3.546099290780142			3.7735849056603774	9104	3189068	9.5	43.6
jhu/daily	d97f5c2780e3	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-23	62	10	4				-11	-13	-10	31	2		29	0.9720708369968906	0.06271424754818648		0.9093565894487041		6.451612903225806		93.54838709677419	8	1		7	34.78260869565217	100		31.818181818181817	14.184397163120568	35.714285714285715		13.20754716981132	9104	3189068	9.5	43.6
jhu/daily	c0fe855fac43	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-24	63	11	5				-10	-12	-9	39	2		37	1.2229278271896364	0.06271424754818648		1.1602135796414499		5.128205128205128		94.87179487179486	8			8	25.806451612903224			27.586206896551722	14.184397163120568			15.09433962264151	9104	3189068	9.5	43.6
jhu/daily	e12beeb7d31c	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-25	64	12	6				-9	-11	-8	51	2		49	1.5992133124787553	0.06271424754818648		1.536499064930569		3.9215686274509802		96.07843137254902	12			12	30.76923076923077			32.432432432432435	21.27659574468085			22.641509433962266	9104	3189068	9.5	43.6
jhu/daily	100241c868d4	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-26	65	13	7				-8	-10	-7	64	2		62	2.0068559215419675	0.06271424754818648		1.9441416739937811		3.125		96.875	13			13	25.49019607843137			26.53061224489796	23.04964539007092			24.528301886792452	9104	3189068	9.5	43.6
jhu/daily	280c77c39c22	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-27	66	14	8				-7	-9	-6	79	3		76	2.4772127781533664	0.09407137132227973		2.3831414068310868		3.79746835443038		96.20253164556962	15	1		14	23.4375	50		22.580645161290324	26.595744680851062	35.714285714285715		26.41509433962264	9104	3189068	9.5	43.6
jhu/daily	91f8c4a1bebe	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-28	67	15	9	1			-6	-8	-5	100	3		97	3.135712377409324	0.09407137132227973		3.0416410060870445		3		97	21			21	26.582278481012658			27.63157894736842	37.234042553191486			39.62264150943396	9104	3189068	9.5	43.6
jhu/daily	ccb41ccd954a	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-29	68	16	10	2			-5	-7	-4	127	3		124	3.982354719309842	0.09407137132227973		3.8882833479875623		2.3622047244094486		97.63779527559055	27			27	27			27.835051546391753	47.87234042553192			50.943396226415096	9104	3189068	9.5	43.6
jhu/daily	e85f6bc908a0	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-30	69	17	11	3			-4	-6	-3	174	6		168	5.456139536692224	0.18814274264455946		5.267996794047665		3.4482758620689653		96.55172413793103	47	3		44	37.00787401574803	100		35.483870967741936	83.33333333333334	107.14285714285714		83.01886792452831	9104	3189068	9.5	43.6
