dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	5a6be06388c2	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-05	44	1					-26	-31	-21	4			4								100	4			4									16			16.807				
jhu/daily	215df6924dfb	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-06	45	2	1				-25	-30	-20	16			16								100	12			12	300			300					48			50.42				
jhu/daily	f16d84acef64	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-07	46	3	2				-24	-29	-19	22			22								100	6			6	37.5			37.5					24			25.21				
jhu/daily	02905d7f4b36	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-10	49	6	5				-21	-26	-16	25			25								100	3			3	13.636			13.636					12			12.605				
jhu/daily	2949ebb85b12	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-11	50	7	6				-20	-25	-15													-25			-25	-100			-100					-100			-105.042				
jhu/daily	9e5459886f46	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-26	65	22	21				-5	-10	0	84	1	17	66						1.19	20.238	78.571	84	1	17	66									336	100	223.684	277.311				
jhu/daily	2a6e3893a06f	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-27	66	23	22				-4	-9	1	91	1	17	73						1.099	18.681	80.22	7			7	8.333			10.606					28			29.412				
jhu/daily	aabc87471ee2	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-28	67	24	23				-3	-8	2	98	1	18	79						1.02	18.367	80.612	7		1	6	7.692		5.882	8.219					28		13.158	25.21				
jhu/daily	7904062357f6	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-29	68	25	24	1			-2	-7	3	109	1	18	90						0.917	16.514	82.569	11			11	11.224			13.924					44			46.218				
jhu/daily	c1271a7fc5a7	2676c51c36d0	total-country	Palestine	PS	Palestine			31.9	35.2	Asia	Western Asia	2020-03-30	69	26	25	2			-1	-6	4	116	1	18	97						0.862	15.517	83.621	7			7	6.422			7.778					28			29.412				
