dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	b51ff87e36a0	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-02	41	1					-34	-31	-37	2			2	0.019			0.019				100	2			2					0.019			0.019	0.227			0.234	92090	10302674	10.8	44.6
jhu/daily	bf297468dabf	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-04	43	3					-32	-29	-35	5			5	0.049			0.049				100	3			3	150			150	0.029			0.029	0.34			0.352	92090	10302674	10.8	44.6
jhu/daily	f0434afee588	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-05	44	4					-31	-28	-34	8			8	0.078			0.078				100	3			3	60			60	0.029			0.029	0.34			0.352	92090	10302674	10.8	44.6
jhu/daily	d938a7431f1d	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-06	45	5	1				-30	-27	-33	13			13	0.126			0.126				100	5			5	62.5			62.5	0.049			0.049	0.567			0.586	92090	10302674	10.8	44.6
jhu/daily	bb9d0ff35773	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-07	46	6	2				-29	-26	-32	20			20	0.194			0.194				100	7			7	53.846			53.846	0.068			0.068	0.793			0.82	92090	10302674	10.8	44.6
jhu/daily	5614f00d48a6	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-08	47	7	3				-28	-25	-31	30			30	0.291			0.291				100	10			10	50			50	0.097			0.097	1.133			1.172	92090	10302674	10.8	44.6
jhu/daily	737e4636467d	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-10	49	9	5				-26	-23	-29	41			41	0.398			0.398				100	11			11	36.667			36.667	0.107			0.107	1.247			1.289	92090	10302674	10.8	44.6
jhu/daily	9a9e8f107ffa	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-11	50	10	6				-25	-22	-28	59			59	0.573			0.573				100	18			18	43.902			43.902	0.175			0.175	2.04			2.11	92090	10302674	10.8	44.6
jhu/daily	d930fe7717cc	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-13	52	12	8	1			-23	-20	-26	112		1	111	1.087		0.01	1.077			0.893	99.107	53		1	52	89.831			88.136	0.514		0.01	0.505	6.006		3.311	6.095	92090	10302674	10.8	44.6
jhu/daily	1b956be576ea	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-14	53	13	9	2			-22	-19	-25	169		2	167	1.64		0.019	1.621			1.183	98.817	57		1	56	50.893		100	50.45	0.553		0.01	0.544	6.46		3.311	6.564	92090	10302674	10.8	44.6
jhu/daily	4e60e9391b95	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-15	54	14	10	3			-21	-18	-24	245		2	243	2.378		0.019	2.359			0.816	99.184	76			76	44.97			45.509	0.738			0.738	8.613			8.908	92090	10302674	10.8	44.6
