dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	cf4c5fffdf80	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-02-29	39	1					-32	-32	-32	1			1	0.04091361744294801			0.04091361744294801				100	1			1					0.4570383912248629			0.4897159647404506	11586	2444174	1.6	33.7
jhu/daily	549bf3b7d42d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-01	40	2					-31	-31	-31	3			3	0.12274085232884403			0.12274085232884403				100	2			2	200			200	0.9140767824497258			0.9794319294809012	11586	2444174	1.6	33.7
jhu/daily	ebab8109d235	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-03	42	4					-29	-29	-29	7			7	0.28639532210063606			0.28639532210063606				100	4			4	133.33333333333334			133.33333333333334	1.8281535648994516			1.9588638589618024	11586	2444174	1.6	33.7
jhu/daily	b15ff0dc4983	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-04	43	5					-28	-28	-28	8			8	0.3273089395435841			0.3273089395435841				100	1			1	14.285714285714286			14.285714285714286	0.4570383912248629			0.4897159647404506	11586	2444174	1.6	33.7
jhu/daily	a693b8fe8077	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-08	47	9	1				-24	-24	-24	15			15	0.6137042616442201			0.6137042616442201				100	7			7	87.5			87.5	3.19926873857404			3.428011753183154	11586	2444174	1.6	33.7
jhu/daily	797e33268be9	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-09	48	10	2				-23	-23	-23	18			18	0.7364451139730641			0.7364451139730641				100	3			3	20			20	1.3711151736745886			1.4691478942213516	11586	2444174	1.6	33.7
jhu/daily	357cf73531b3	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-10	49	11	3				-22	-22	-22	24			24	0.9819268186307523			0.9819268186307523				100	6			6	33.333333333333336			33.333333333333336	2.742230347349177			2.9382957884427032	11586	2444174	1.6	33.7
jhu/daily	e3cd5906bd92	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-11	50	12	4	1			-21	-21	-21	262			262	10.719367770052378			10.719367770052378				100	238			238	991.6666666666666			991.6666666666666	108.77513711151737			116.55239960822723	11586	2444174	1.6	33.7
jhu/daily	feb7d7f862f1	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-13	52	14	6	3			-19	-19	-19	320			320	13.09235758174336			13.09235758174336				100	58			58	22.137404580152673			22.137404580152673	26.508226691042047			28.403525954946137	11586	2444174	1.6	33.7
jhu/daily	f4e83f9c1525	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-14	53	15	7	4			-18	-18	-18	337		4	333	13.787889078273476		0.16365446977179204	13.624234608501688			1.1869436201780417	98.81305637982196	17		4	13	5.3125			4.0625	7.769652650822668		22.98850574712644	6.366307541625857	11586	2444174	1.6	33.7
jhu/daily	c81fe3b3b1ab	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-15	54	16	8	5			-17	-17	-17	401		4	397	16.406360594622154		0.16365446977179204	16.242706124850358			0.997506234413965	99.00249376558602	64			64	18.991097922848663			19.21921921921922	29.250457038391225			31.341821743388838	11586	2444174	1.6	33.7
jhu/daily	f7780510b71a	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-16	55	17	9	6			-16	-16	-16	439		4	435	17.961078057454174		0.16365446977179204	17.79742358768238			0.9111617312072893	99.08883826879271	38			38	9.476309226932669			9.571788413098236	17.367458866544787			18.60920666013712	11586	2444174	1.6	33.7
jhu/daily	579c4918799d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-18	57	19	11	8			-14	-14	-14	452		4	448	18.492955084212497		0.16365446977179204	18.329300614440708			0.8849557522123894	99.11504424778761	13			13	2.9612756264236904			2.9885057471264367	5.941499085923217			6.366307541625857	11586	2444174	1.6	33.7
jhu/daily	b17f736041c4	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-19	58	20	12	9			-13	-13	-13	460		4	456	18.820264023756085		0.16365446977179204	18.65660955398429			0.8695652173913043	99.1304347826087	8			8	1.7699115044247788			1.7857142857142858	3.656307129798903			3.9177277179236047	11586	2444174	1.6	33.7
jhu/daily	389d00b45b95	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-20	59	21	13	10			-12	-12	-12	470		10	460	19.229400198185566		0.40913617442948	18.820264023756085			2.127659574468085	97.87234042553192	10		6	4	2.1739130434782608		150	0.8771929824561403	4.570383912248629		34.48275862068966	1.9588638589618024	11586	2444174	1.6	33.7
jhu/daily	f3b11dd560eb	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-21	60	22	14	11			-11	-11	-11	481		27	454	19.67944999005799		1.1046676709595962	18.574782319098396			5.613305613305614	94.38669438669439	11		17	-6	2.3404255319148937		170	-1.3043478260869565	5.027422303473491		97.70114942528735	-2.9382957884427032	11586	2444174	1.6	33.7
jhu/daily	2d71a88a03d1	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-22	61	23	15	12			-10	-10	-10	494		33	461	20.211327016816316		1.3501493756172842	18.86117764119903			6.680161943319838	93.31983805668015	13		6	7	2.7027027027027026		22.22222222222222	1.5418502202643172	5.941499085923217		34.48275862068966	3.428011753183154	11586	2444174	1.6	33.7
jhu/daily	a1e803c5cf80	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-23	62	24	16	13			-9	-9	-9	501		33	468	20.49772233891695		1.3501493756172842	19.147572963299666			6.58682634730539	93.41317365269461	7			7	1.417004048582996			1.5184381778741864	3.19926873857404			3.428011753183154	11586	2444174	1.6	33.7
jhu/daily	bdbfa0a10423	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-24	63	25	17	14			-8	-8	-8	526		41	485	21.52056277499065		1.6774583151608684	19.84310445982978			7.79467680608365	92.20532319391636	25		8	17	4.990019960079841		24.242424242424242	3.6324786324786325	11.425959780621572		45.97701149425288	8.32517140058766	11586	2444174	1.6	33.7
jhu/daily	2b7f9d16d97d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-25	64	26	18	15			-7	-7	-7	537		41	496	21.97061256686308		1.6774583151608684	20.293154251702212			7.635009310986965	92.36499068901304	11			11	2.091254752851711			2.268041237113402	5.027422303473491			5.386875612144956	11586	2444174	1.6	33.7
