dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	2e880ad84608	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-02-26	36	1					-37	-37	-37	1			1	0.004694198107271158			0.004694198107271158				100	1			1					0.27917364600781686			0.3405994550408719	238391	21302893	12	42.5
jhu/daily	693826717810	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-02-28	38	3					-35	-35	-35	3			3	0.014082594321813476			0.014082594321813476				100	2			2	200			200	0.5583472920156337			0.6811989100817438	238391	21302893	12	42.5
jhu/daily	c8210c553606	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-04	43	8					-30	-30	-30	4		1	3	0.018776792429084633		0.004694198107271158	0.014082594321813476			25	75	1		1		33.333333333333336				0.27917364600781686		2.0491803278688527		238391	21302893	12	42.5
jhu/daily	1738c344804c	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-05	44	9					-29	-29	-29	6		1	5	0.02816518864362695		0.004694198107271158	0.02347099053635579			16.666666666666664	83.33333333333334	2			2	50			66.66666666666667	0.5583472920156337			0.6811989100817438	238391	21302893	12	42.5
jhu/daily	b1cfe3dd3b3a	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-06	45	10					-28	-28	-28	9		1	8	0.04224778296544042		0.004694198107271158	0.037553584858169266			11.11111111111111	88.88888888888889	3			3	50			60	0.8375209380234507			1.021798365122616	238391	21302893	12	42.5
jhu/daily	b3ee37e4c800	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-07	46	11					-27	-27	-27	9		3	6	0.04224778296544042		0.014082594321813476	0.02816518864362695			33.33333333333333	66.66666666666666			2	-2			200	-25			4.0983606557377055	-0.6811989100817438	238391	21302893	12	42.5
jhu/daily	c7c25ba11e17	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-08	47	12	1				-26	-26	-26	15		3	12	0.07041297160906737		0.014082594321813476	0.0563303772872539			20	80	6			6	66.66666666666667			100	1.6750418760469015			2.043596730245232	238391	21302893	12	42.5
jhu/daily	c65a073a0507	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-10	49	14	3				-24	-24	-24	25		3	22	0.11735495268177895		0.014082594321813476	0.10327235835996547			12	88	10			10	66.66666666666667			83.33333333333333	2.7917364600781687			3.405994550408719	238391	21302893	12	42.5
jhu/daily	37f083cd584a	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-11	50	15	4				-23	-23	-23	45		6	39	0.2112389148272021		0.02816518864362695	0.18307372618357518			13.333333333333334	86.66666666666667	20		3	17	80		100	77.27272727272727	5.583472920156337		6.147540983606558	5.790190735694822	238391	21302893	12	42.5
jhu/daily	5629f5d7da5f	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-12	51	16	5				-22	-22	-22	49		6	43	0.23001570725628673		0.02816518864362695	0.2018505186126598			12.244897959183673	87.75510204081633	4			4	8.88888888888889			10.256410256410257	1.1166945840312674			1.3623978201634876	238391	21302893	12	42.5
