dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	b6ae8bff5b7f	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-06	45	1					-28	-28	-28	1			1	0.014260930825215894			0.014260930825215894				100	1			1					0.42194092827004215			0.4359197907585004	77474	7012165	13.5	43.4
jhu/daily	7e919c2cdd96	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-10	49	5					-24	-24	-24	5			5	0.07130465412607946			0.07130465412607946				100	4			4	400			400	1.6877637130801686			1.7436791630340016	77474	7012165	13.5	43.4
jhu/daily	aa7a92de0914	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-11	50	6	1				-23	-23	-23	12			12	0.17113116990259072			0.17113116990259072				100	7			7	140			140	2.9535864978902953			3.051438535309503	77474	7012165	13.5	43.4
jhu/daily	55ab49eda658	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-12	51	7	2				-22	-22	-22	19			19	0.27095768567910195			0.27095768567910195				100	7			7	58.333333333333336			58.333333333333336	2.9535864978902953			3.051438535309503	77474	7012165	13.5	43.4
jhu/daily	b57a3f6de7df	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-13	52	8	3				-21	-21	-21	35			35	0.49913257888255624			0.49913257888255624				100	16			16	84.21052631578948			84.21052631578948	6.751054852320674			6.9747166521360064	77474	7012165	13.5	43.4
jhu/daily	96f32f7f8585	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-14	53	9	4				-20	-20	-20	46			46	0.6560028179599311			0.6560028179599311				100	11			11	31.428571428571427			31.428571428571427	4.641350210970464			4.795117698343505	77474	7012165	13.5	43.4
jhu/daily	9644d17e5b5b	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-15	54	10	5				-19	-19	-19	48			48	0.6845246796103629			0.6845246796103629				100	2			2	4.3478260869565215			4.3478260869565215	0.8438818565400843			0.8718395815170008	77474	7012165	13.5	43.4
jhu/daily	57a2524fdfe9	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-16	55	11	6				-18	-18	-18	55		1	54	0.7843511953868741		0.014260930825215894	0.7700902645616582			1.8181818181818181	98.18181818181819	7		1	6	14.583333333333334			12.5	2.9535864978902953		100	2.6155187445510024	77474	7012165	13.5	43.4
jhu/daily	c2a4ffe8cd06	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-17	56	12	7				-17	-17	-17	65		1	64	0.926960503639033		0.014260930825215894	0.9126995728138172			1.5384615384615385	98.46153846153847	10			10	18.181818181818183			18.51851851851852	4.219409282700422			4.3591979075850045	77474	7012165	13.5	43.4
jhu/daily	2fe294fc3af1	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-18	57	13	8				-16	-16	-16	83		1	82	1.183657258492919		0.014260930825215894	1.1693963276677033			1.2048192771084338	98.79518072289156	18			18	27.692307692307693			28.125	7.59493670886076			7.846556233653007	77474	7012165	13.5	43.4
jhu/daily	83fb2a844cf5	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-19	58	14	9	1			-15	-15	-15	103		1	102	1.468875874997237		0.014260930825215894	1.454614944172021			0.9708737864077669	99.02912621359224	20			20	24.096385542168676			24.390243902439025	8.438818565400844			8.718395815170009	77474	7012165	13.5	43.4
jhu/daily	dd64ae3d435d	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-20	59	15	10	2			-14	-14	-14	135	1	1	133	1.9252256614041456	0.014260930825215894	0.014260930825215894	1.896703799753714		0.7407407407407408	0.7407407407407408	98.51851851851852	32	1		31	31.067961165048544			30.392156862745097	13.502109704641349	13.88888888888889		13.513513513513514	77474	7012165	13.5	43.4
jhu/daily	7c699fa3cac5	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-21	60	16	11	3			-13	-13	-13	171	1	1	169	2.4386191711119176	0.014260930825215894	0.014260930825215894	2.4100973094614857		0.5847953216374269	0.5847953216374269	98.83040935672514	36			36	26.666666666666668			27.06766917293233	15.18987341772152			15.693112467306014	77474	7012165	13.5	43.4
jhu/daily	ed353bda8b9b	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-22	61	17	12	4			-12	-12	-12	222	2	2	218	3.1659266431979285	0.028521861650431787	0.028521861650431787	3.1088829198970647		0.9009009009009009	0.9009009009009009	98.1981981981982	51	1	1	49	29.82456140350877	100	100	28.994082840236686	21.518987341772153	13.88888888888889	100	21.36006974716652	77474	7012165	13.5	43.4
jhu/daily	467506783719	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-23	62	18	13	5			-11	-11	-11	249	3	3	243	3.5509717754787578	0.04278279247564768	0.04278279247564768	3.465406190527462		1.2048192771084338	1.2048192771084338	97.59036144578313	27	1	1	25	12.162162162162161	50	50	11.46788990825688	11.39240506329114	13.88888888888889	100	10.89799476896251	77474	7012165	13.5	43.4
jhu/daily	1debfc7795c1	33c001a47974	total-country	Serbia	RS	Serbia			44	21	Europe	Southern Europe	2020-03-24	63	19	14	6			-10	-10	-10	303	3	15	285	4.321062040040415	0.04278279247564768	0.21391396237823837	4.06436528518653		0.9900990099009901	4.9504950495049505	94.05940594059405	54		12	42	21.686746987951807		400	17.28395061728395	22.78481012658228		1200	18.30863121185702	77474	7012165	13.5	43.4
