dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	1b264249c068	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-06	45	1					-20	-21	-19	1			1	0.018380318942646422			0.018380318942646422				100	1			1					2.487562189054726			2.577319587628866	49035	5440602	10.1	41.8
jhu/daily	0bb0f8f8c155	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-08	47	3					-18	-19	-17	3			3	0.055140956827939264			0.055140956827939264				100	2			2	200			200	4.975124378109452			5.154639175257732	49035	5440602	10.1	41.8
jhu/daily	2461266cf461	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-10	49	5					-16	-17	-15	7			7	0.12866223259852494			0.12866223259852494				100	4			4	133.33333333333334			133.33333333333334	9.950248756218905			10.309278350515465	49035	5440602	10.1	41.8
jhu/daily	db1856ee8c37	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-11	50	6	1				-15	-16	-14	10			10	0.1838031894264642			0.1838031894264642				100	3			3	42.857142857142854			42.857142857142854	7.462686567164178			7.731958762886598	49035	5440602	10.1	41.8
jhu/daily	ab1a88dcdb7f	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-12	51	7	2				-14	-15	-13	16			16	0.29408510308234276			0.29408510308234276				100	6			6	60			60	14.925373134328357			15.463917525773196	49035	5440602	10.1	41.8
jhu/daily	1b1b72115798	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-13	52	8	3				-13	-14	-12	32			32	0.5881702061646855			0.5881702061646855				100	16			16	100			100	39.80099502487562			41.23711340206186	49035	5440602	10.1	41.8
jhu/daily	8ba773fa0798	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-14	53	9	4				-12	-13	-11	44			44	0.8087340334764425			0.8087340334764425				100	12			12	37.5			37.5	29.850746268656714			30.927835051546392	49035	5440602	10.1	41.8
jhu/daily	781c2ce2b95b	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-15	54	10	5				-11	-12	-10	54			54	0.9925372229029067			0.9925372229029067				100	10			10	22.727272727272727			22.727272727272727	24.87562189054726			25.773195876288664	49035	5440602	10.1	41.8
jhu/daily	44bdad60cec9	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-16	55	11	6				-10	-11	-9	63			63	1.1579600933867245			1.1579600933867245				100	9			9	16.666666666666668			16.666666666666668	22.388059701492537			23.195876288659793	49035	5440602	10.1	41.8
jhu/daily	c25a8d4da6a8	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-17	56	12	7				-9	-10	-8	72			72	1.3233829638705423			1.3233829638705423				100	9			9	14.285714285714286			14.285714285714286	22.388059701492537			23.195876288659793	49035	5440602	10.1	41.8
jhu/daily	40d15f859d15	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-18	57	13	8	1			-8	-9	-7	105	1		104	1.929933488977874	0.018380318942646422		1.9115531700352277		0.9523809523809524		99.04761904761905	33	1		32	45.833333333333336			44.44444444444444	82.08955223880596	100		82.47422680412372	49035	5440602	10.1	41.8
jhu/daily	4bd9c84bdb06	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-19	58	14	9	2			-7	-8	-6	123	1		122	2.2607792299455096	0.018380318942646422		2.2423989110028635		0.8130081300813009		99.1869918699187	18			18	17.142857142857142			17.307692307692307	44.776119402985074			46.391752577319586	49035	5440602	10.1	41.8
jhu/daily	711ec1bd3873	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-20	59	15	10	3			-6	-7	-5	137	1		136	2.5181036951425595	0.018380318942646422		2.499723376199913		0.7299270072992701		99.27007299270073	14			14	11.382113821138212			11.475409836065573	34.82587064676616			36.08247422680413	49035	5440602	10.1	41.8
jhu/daily	1459b7a5b70a	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-21	60	16	11	4			-5	-6	-4	178	1		177	3.2716967717910626	0.018380318942646422		3.2533164528484164		0.5617977528089888		99.43820224719101	41			41	29.927007299270073			30.147058823529413	101.99004975124377			105.6701030927835	49035	5440602	10.1	41.8
jhu/daily	21a474b5061b	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-22	61	17	12	5			-4	-5	-3	185		7	178	3.400359004389588		0.12866223259852494	3.2716967717910626			3.783783783783784	96.21621621621622	7	-1	7	1	3.932584269662921	-100		0.5649717514124294	17.41293532338308	-100	164.70588235294116	2.577319587628866	49035	5440602	10.1	41.8
jhu/daily	ba4ec47a734d	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-23	62	18	13	6			-3	-4	-2	186		7	179	3.4187393233322343		0.12866223259852494	3.290077090733709			3.763440860215054	96.23655913978494	1			1	0.5405405405405406			0.5617977528089888	2.487562189054726			2.577319587628866	49035	5440602	10.1	41.8
jhu/daily	485453e39cd2	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-24	63	19	14	7			-2	-3	-1	204		7	197	3.74958506429987		0.12866223259852494	3.6209228317013444			3.431372549019608	96.56862745098039	18			18	9.67741935483871			10.05586592178771	44.776119402985074			46.391752577319586	49035	5440602	10.1	41.8
jhu/daily	165ed42729dd	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-25	64	20	15	8			-1	-2	0	216		7	209	3.9701488916116268		0.12866223259852494	3.841486659013102			3.2407407407407405	96.75925925925925	12			12	5.882352941176471			6.091370558375634	29.850746268656714			30.927835051546392	49035	5440602	10.1	41.8
jhu/daily	ee4718c9f29f	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-26	65	21	16	9			0	-1	1	226		2	224	4.153952081038091		0.036760637885292845	4.117191443152798			0.8849557522123894	99.11504424778761	10		-5	15	4.62962962962963		-71.42857142857143	7.177033492822966	24.87562189054726		-117.64705882352942	38.659793814432994	49035	5440602	10.1	41.8
jhu/daily	b928aace38d7	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-27	66	22	17	10			1	0	2	269		2	267	4.944305795571887		0.036760637885292845	4.907545157686594			0.7434944237918215	99.25650557620817	43			43	19.02654867256637			19.196428571428573	106.96517412935323			110.82474226804125	49035	5440602	10.1	41.8
jhu/daily	2e6b5ba21072	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-28	67	23	18	11			2	1	3	292		2	290	5.367053131252755		0.036760637885292845	5.330292493367462			0.684931506849315	99.31506849315068	23			23	8.550185873605948			8.614232209737828	57.2139303482587			59.27835051546392	49035	5440602	10.1	41.8
jhu/daily	d27163f51c6e	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-29	68	24	19	12			3	2	4	314		2	312	5.771420147990977		0.036760637885292845	5.734659510105683			0.6369426751592357	99.36305732484077	22			22	7.534246575342466			7.586206896551724	54.72636815920397			56.70103092783506	49035	5440602	10.1	41.8
jhu/daily	55bceacc208d	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-30	69	25	20	13			4	3	5	336		7	329	6.175787164729198		0.12866223259852494	6.047124932130672			2.083333333333333	97.91666666666666	22		5	17	7.006369426751593		250	5.448717948717949	54.72636815920397		117.64705882352942	43.81443298969073	49035	5440602	10.1	41.8
jhu/daily	be45ae5d8afc	ad55972a8bc9	total-country	Slovakia	SK	Slovakia			48.66666666	19.5	Europe	Central Europe	2020-03-31	70	26	21	14			5	4	6	363		3	360	6.672055776180651		0.055140956827939264	6.616914819352712			0.8264462809917356	99.17355371900827	27		-4	31	8.035714285714286		-57.142857142857146	9.422492401215806	67.16417910447761		-94.11764705882352	79.89690721649485	49035	5440602	10.1	41.8
