dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	e918609f1732	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-02-27	37	1					-26	-23	-29	1			1	2.921			2.921				100	1			1					4.425			4.545	61	34232	9	45.2
jhu/daily	512471966dc9	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-02	41	5					-22	-19	-25	8			8	23.37			23.37				100	7			7	700			700	30.973			31.818	61	34232	9	45.2
jhu/daily	347ca6fd8ff0	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-03	42	6	1				-21	-18	-24	10	1		9	29.212	2.921		26.291		10		90	2	1		1	25			12.5	8.85	31.25		4.545	61	34232	9	45.2
jhu/daily	d719f6dda3ad	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-04	43	7	2				-20	-17	-23	16	1		15	46.74	2.921		43.819		6.25		93.75	6			6	60			66.667	26.549			27.273	61	34232	9	45.2
jhu/daily	0cb37975d72d	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-05	44	8	3				-19	-16	-22	21	1		20	61.346	2.921		58.425		4.762		95.238	5			5	31.25			33.333	22.124			22.727	61	34232	9	45.2
jhu/daily	dc767a459b96	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-07	46	10	5				-17	-14	-20	23	1		22	67.189	2.921		64.267		4.348		95.652	2			2	9.524			10	8.85			9.091	61	34232	9	45.2
jhu/daily	deccf165e054	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-08	47	11	6				-16	-13	-19	36	1		35	105.165	2.921		102.244		2.778		97.222	13			13	56.522			59.091	57.522			59.091	61	34232	9	45.2
jhu/daily	b059ba3b0ec0	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-10	49	13	8				-14	-11	-17	51	2		49	148.983	5.842		143.141		3.922		96.078	15	1		14	41.667	100		40	66.372	31.25		63.636	61	34232	9	45.2
jhu/daily	60daccd1e192	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-11	50	14	9				-13	-10	-16	62	2		60	181.117	5.842		175.275		3.226		96.774	11			11	21.569			22.449	48.673			50	61	34232	9	45.2
jhu/daily	2b363d0a9d13	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-12	51	15	10				-12	-9	-15	69	3		66	201.566	8.764		192.802		4.348		95.652	7	1		6	11.29	50		10	30.973	31.25		27.273	61	34232	9	45.2
jhu/daily	7481b8f6ddfc	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-13	52	16	11				-11	-8	-14	80	5		75	233.699	14.606		219.093		6.25		93.75	11	2		9	15.942	66.667		13.636	48.673	62.5		40.909	61	34232	9	45.2
jhu/daily	0f8d5d6ee599	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-14	53	17	12				-10	-7	-13	80	5	4	71	233.699	14.606	11.685	207.408		6.25	5	88.75			4	-4				-5.333			58.824	-18.182	61	34232	9	45.2
jhu/daily	9b9d7cae4a4f	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-15	54	18	13	1			-9	-6	-12	101	5	4	92	295.046	14.606	11.685	268.754		4.95	3.96	91.089	21			21	26.25			29.577	92.92			95.455	61	34232	9	45.2
jhu/daily	016bccf20ec5	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-16	55	19	14	2			-8	-5	-11	109	7	4	98	318.416	20.449	11.685	286.282		6.422	3.67	89.908	8	2		6	7.921	40		6.522	35.398	62.5		27.273	61	34232	9	45.2
jhu/daily	c66a1b234162	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-18	57	21	16	4			-6	-3	-9	119	11	4	104	347.628	32.134	11.685	303.809		9.244	3.361	87.395	10	4		6	9.174	57.143		6.122	44.248	125		27.273	61	34232	9	45.2
jhu/daily	1053bc1e163d	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-20	59	23	18	6			-4	-1	-7	144	14	4	126	420.659	40.897	11.685	368.077		9.722	2.778	87.5	25	3		22	21.008	27.273		21.154	110.619	93.75		100	61	34232	9	45.2
jhu/daily	7d4311df3cea	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-21	60	24	19	7			-3	0	-6	144	20	4	120	420.659	58.425	11.685	350.549		13.889	2.778	83.333		6		-6		42.857		-4.762		187.5		-27.273	61	34232	9	45.2
jhu/daily	6123ebb12ba7	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-22	61	25	20	8			-2	1	-5	175	20	4	151	511.218	58.425	11.685	441.108		11.429	2.286	86.286	31			31	21.528			25.833	137.168			140.909	61	34232	9	45.2
jhu/daily	e7b270861532	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-23	62	26	21	9			-1	2	-4	187	20	4	163	546.272	58.425	11.685	476.163		10.695	2.139	87.166	12			12	6.857			7.947	53.097			54.545	61	34232	9	45.2
jhu/daily	9b547f8c975d	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-24	63	27	22	10			0	3	-3	187	21	4	162	546.272	61.346	11.685	473.241		11.23	2.139	86.631		1		-1		5		-0.613		31.25		-4.545	61	34232	9	45.2
jhu/daily	e4c01e2ab5d8	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-25	64	28	23	11			1	4	-2	208	21	4	183	607.619	61.346	11.685	534.588		10.096	1.923	87.981	21			21	11.23			12.963	92.92			95.455	61	34232	9	45.2
