dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	62410edd0645	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-19	58	1					-16	-17	-16	1			1	0.015			0.015				100	1			1					0.015			0.015	11.111			13.889	21041	6481102	5.9	27.7
jhu/daily	3986262e3bdb	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-21	60	3					-14	-15	-14	3			3	0.046			0.046				100	2			2	200			200	0.031			0.031	22.222			27.778	21041	6481102	5.9	27.7
jhu/daily	f6272517f70a	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-24	63	6					-11	-12	-11	5			5	0.077			0.077				100	2			2	66.667			66.667	0.031			0.031	22.222			27.778	21041	6481102	5.9	27.7
jhu/daily	52fcd305a73d	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-25	64	7					-10	-11	-10	9			9	0.139			0.139				100	4			4	80			80	0.062			0.062	44.444			55.556	21041	6481102	5.9	27.7
jhu/daily	810c89e6977b	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-26	65	8	1				-9	-10	-9	13			13	0.201			0.201				100	4			4	44.444			44.444	0.062			0.062	44.444			55.556	21041	6481102	5.9	27.7
jhu/daily	ce859e6363df	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-28	67	10	3				-7	-8	-7	19			19	0.293			0.293				100	6			6	46.154			46.154	0.093			0.093	66.667			83.333	21041	6481102	5.9	27.7
jhu/daily	5f1c765c9aad	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-29	68	11	4				-6	-7	-6	24			24	0.37			0.37				100	5			5	26.316			26.316	0.077			0.077	55.556			69.444	21041	6481102	5.9	27.7
jhu/daily	9c4e245c6849	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-30	69	12	5				-5	-6	-5	30			30	0.463			0.463				100	6			6	25			25	0.093			0.093	66.667			83.333	21041	6481102	5.9	27.7
jhu/daily	f4404b6ccddf	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-31	70	13	6				-4	-5	-4	32	1		31	0.494	0.015		0.478		3.125		96.875	2	1		1	6.667			3.333	0.031	0.015		0.015	22.222	100		13.889	21041	6481102	5.9	27.7
jhu/daily	83410e4ef64a	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-04-02	72	15	8				-2	-3	-2	41	2		39	0.633	0.031		0.602		4.878		95.122	9	1		8	28.125	100		25.806	0.139	0.015		0.123	100	100		111.111	21041	6481102	5.9	27.7
