dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	d2438e71de7c	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-11	50	1					-26	-27	-26	1			1	0.001			0.001				100	1			1					0.001			0.001	0.027			0.03	783562	82017514	6.1	32.2
jhu/daily	8177c6172c1c	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-13	52	3					-24	-25	-24	5			5	0.006			0.006				100	4			4	400			400	0.005			0.005	0.109			0.121	783562	82017514	6.1	32.2
jhu/daily	122e2f39ec16	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-15	54	5					-22	-23	-22	6			6	0.007			0.007				100	1			1	20			20	0.001			0.001	0.027			0.03	783562	82017514	6.1	32.2
jhu/daily	ad38d833414a	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-16	55	6	1				-21	-22	-21	18			18	0.022			0.022				100	12			12	200			200	0.015			0.015	0.327			0.362	783562	82017514	6.1	32.2
jhu/daily	1ad42ef77c41	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-17	56	7	2				-20	-21	-20	47	1		46	0.057	0.001		0.056		2.128		97.872	29	1		28	161.111			155.556	0.035	0.001		0.034	0.79	1.208		0.844	783562	82017514	6.1	32.2
jhu/daily	fdca5e255cc6	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-18	57	8	3				-19	-20	-19	98	1		97	0.119	0.001		0.118		1.02		98.98	51			51	108.511			110.87	0.062			0.062	1.39			1.538	783562	82017514	6.1	32.2
jhu/daily	d08e86478124	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-19	58	9	4	1			-18	-19	-18	192	3		189	0.234	0.004		0.23		1.563		98.438	94	2		92	95.918	200		94.845	0.115	0.002		0.112	2.562	2.415		2.774	783562	82017514	6.1	32.2
jhu/daily	8743d68e50dd	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-20	59	10	5	2			-17	-18	-17	359	4		355	0.438	0.005		0.433		1.114		98.886	167	1		166	86.979	33.333		87.831	0.204	0.001		0.202	4.551	1.208		5.005	783562	82017514	6.1	32.2
jhu/daily	6bbcda9e715b	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-21	60	11	6	3			-16	-17	-16	670	9		661	0.817	0.011		0.806		1.343		98.657	311	5		306	86.63	125		86.197	0.379	0.006		0.373	8.475	6.039		9.225	783562	82017514	6.1	32.2
jhu/daily	1427821221a3	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-22	61	12	7	4	1		-15	-16	-15	1236	30		1206	1.507	0.037		1.47		2.427		97.573	566	21		545	84.478	233.333		82.451	0.69	0.026		0.664	15.424	25.362		16.431	783562	82017514	6.1	32.2
jhu/daily	5900f8a604e2	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-23	62	13	8	5	2		-14	-15	-14	1529	37		1492	1.864	0.045		1.819		2.42		97.58	293	7		286	23.706	23.333		23.715	0.357	0.009		0.349	7.985	8.454		8.622	783562	82017514	6.1	32.2
jhu/daily	4afbd07f3897	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-24	63	14	9	6	3		-13	-14	-13	1872	44		1828	2.282	0.054		2.229		2.35		97.65	343	7		336	22.433	18.919		22.52	0.418	0.009		0.41	9.347	8.454		10.13	783562	82017514	6.1	32.2
