dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	9a6ca7618f94	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-14	53	1					-16	-14	-18	2			2	0.165			0.165				100	2			2					0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
jhu/daily	a9a47457183d	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-16	55	3					-14	-12	-16	4			4	0.331			0.331				100	2			2	100			100	0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
jhu/daily	c3d54d64c3f6	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-17	56	4					-13	-11	-15	5			5	0.414			0.414				100	1			1	25			25	0.083			0.083	17.241			17.857	5128	1208789	9.1	37.8
jhu/daily	3f0f3daf848f	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-18	57	5					-12	-10	-14	7			7	0.579			0.579				100	2			2	40			40	0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
jhu/daily	3d49f4054e7f	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-19	58	6					-11	-9	-13	9			9	0.745			0.745				100	2			2	28.571			28.571	0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
jhu/daily	210b1420d7bb	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-21	60	8	1				-9	-7	-11	49		1	48	4.054		0.083	3.971			2.041	97.959	40		1	39	444.444			433.333	3.309		0.083	3.226	689.655		100	696.429	5128	1208789	9.1	37.8
jhu/daily	5737e8bf763e	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-22	61	9	2				-8	-6	-10	50			50	4.136			4.136				100	1		-1	2	2.041		-100	4.167	0.083		-0.083	0.165	17.241		-100	35.714	5128	1208789	9.1	37.8
jhu/daily	e142f95fb59d	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-23	62	10	3				-7	-5	-9	51			51	4.219			4.219				100	1			1	2			2	0.083			0.083	17.241			17.857	5128	1208789	9.1	37.8
jhu/daily	ae8eee906fbe	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-24	63	11	4				-6	-4	-8	57			57	4.715			4.715				100	6			6	11.765			11.765	0.496			0.496	103.448			107.143	5128	1208789	9.1	37.8
jhu/daily	e2c361dfc601	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-25	64	12	5				-5	-3	-7	60	1		59	4.964	0.083		4.881		1.667		98.333	3	1		2	5.263			3.509	0.248	0.083		0.165	51.724	100		35.714	5128	1208789	9.1	37.8
jhu/daily	9d26c2e63634	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-26	65	13	6				-4	-2	-6	65	1		64	5.377	0.083		5.295		1.538		98.462	5			5	8.333			8.475	0.414			0.414	86.207			89.286	5128	1208789	9.1	37.8
jhu/daily	c70cf9dbe0a2	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-27	66	14	7				-3	-1	-5	66	2	1	63	5.46	0.165	0.083	5.212		3.03	1.515	95.455	1	1	1	-1	1.538	100		-1.563	0.083	0.083	0.083	-0.083	17.241	100	100	-17.857	5128	1208789	9.1	37.8
jhu/daily	5b89511da343	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-28	67	15	8				-2	0	-4	74	3	1	70	6.122	0.248	0.083	5.791		4.054	1.351	94.595	8	1		7	12.121	50		11.111	0.662	0.083		0.579	137.931	100		125	5128	1208789	9.1	37.8
jhu/daily	36eb0e036e08	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-29	68	16	9				-1	1	-3	78	3	1	74	6.453	0.248	0.083	6.122		3.846	1.282	94.872	4			4	5.405			5.714	0.331			0.331	68.966			71.429	5128	1208789	9.1	37.8
jhu/daily	e2031ac2d152	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-30	69	17	10				0	2	-2	82	3	1	78	6.784	0.248	0.083	6.453		3.659	1.22	95.122	4			4	5.128			5.405	0.331			0.331	68.966			71.429	5128	1208789	9.1	37.8
jhu/daily	4bbbf81ef471	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-31	70	18	11				1	3	-1	87	3	1	83	7.197	0.248	0.083	6.866		3.448	1.149	95.402	5			5	6.098			6.41	0.414			0.414	86.207			89.286	5128	1208789	9.1	37.8
jhu/daily	1e1274aaa70b	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-01	71	19	12				2	4	0	90	5	1	84	7.445	0.414	0.083	6.949		5.556	1.111	93.333	3	2		1	3.448	66.667		1.205	0.248	0.165		0.083	51.724	200		17.857	5128	1208789	9.1	37.8
jhu/daily	7a5d7388308c	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-02	72	20	13				3	5	1	94	5	1	88	7.776	0.414	0.083	7.28		5.319	1.064	93.617	4			4	4.444			4.762	0.331			0.331	68.966			71.429	5128	1208789	9.1	37.8
jhu/daily	08be67e3b7b3	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-03	73	21	14				4	6	2	98	6	1	91	8.107	0.496	0.083	7.528		6.122	1.02	92.857	4	1		3	4.255	20		3.409	0.331	0.083		0.248	68.966	100		53.571	5128	1208789	9.1	37.8
jhu/daily	e7d79a0225fc	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-04	74	22	15	1			5	7	3	103	6	1	96	8.521	0.496	0.083	7.942		5.825	0.971	93.204	5			5	5.102			5.495	0.414			0.414	86.207			89.286	5128	1208789	9.1	37.8
jhu/daily	5a92179ae1ec	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-05	75	23	16	2			6	8	4	104	7	1	96	8.604	0.579	0.083	7.942		6.731	0.962	92.308	1	1			0.971	16.667			0.083	0.083			17.241	100			5128	1208789	9.1	37.8
jhu/daily	d67f408c3560	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-06	76	24	17	3			7	9	5	105	8	1	96	8.686	0.662	0.083	7.942		7.619	0.952	91.429	1	1			0.962	14.286			0.083	0.083			17.241	100			5128	1208789	9.1	37.8
jhu/daily	7974dd8df138	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-07	77	25	18	4			8	10	6	107	8	1	98	8.852	0.662	0.083	8.107		7.477	0.935	91.589	2			2	1.905			2.083	0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
jhu/daily	7da72ffbceb6	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-09	79	27	20	6			10	12	8	109	8	1	100	9.017	0.662	0.083	8.273		7.339	0.917	91.743	2			2	1.869			2.041	0.165			0.165	34.483			35.714	5128	1208789	9.1	37.8
