dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	5ff85a913bdc	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-22	1	1					-57	-60	-54	1			1	0.004			0.004				100	1			1					0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	7df67b2e9181	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-24	3	3					-55	-58	-52	3			3	0.013			0.013				100	2			2	200			200	0.008			0.008	9.346			9.524	35980	23603049	7.9	42.3
jhu/daily	6a69ad4ef3a3	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-26	5	5					-53	-56	-50	4			4	0.017			0.017				100	1			1	33.333			33.333	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	4266994e227b	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-27	6	6					-52	-55	-49	5			5	0.021			0.021				100	1			1	25			25	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	f26b97226826	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-28	7	7					-51	-54	-48	8			8	0.034			0.034				100	3			3	60			60	0.013			0.013	14.019			14.286	35980	23603049	7.9	42.3
jhu/daily	ce8f18075c15	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-30	9	9					-49	-52	-46	9			9	0.038			0.038				100	1			1	12.5			12.5	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	75e3e2450983	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-31	10	10	1				-48	-51	-45	10			10	0.042			0.042				100	1			1	11.111			11.111	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	fcd120294d1a	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-04	14	14	5				-44	-47	-41	11			11	0.047			0.047				100	1			1	10			10	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/daily	f931f345a41c	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-06	16	16	7				-42	-45	-39	16		1	15	0.068		0.004	0.064			6.25	93.75	5		1	4	45.455			36.364	0.021		0.004	0.017	23.364		15.152	19.048	35980	23603049	7.9	42.3
jhu/daily	82a357afbf3d	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-08	18	18	9				-40	-43	-37	17		1	16	0.072		0.004	0.068			5.882	94.118	1			1	6.25			6.667	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
