dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	6b003206103f	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-15	54	1					-20	-24	-16	1			1	0.003			0.003				100	1			1					0.003			0.003	1.269			1.381	447400	30565411	5.4	30.1
jhu/daily	6ee7387ca1c7	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-16	55	2					-19	-23	-15	6			6	0.02			0.02				100	5			5	500			500	0.016			0.016	6.345			6.906	447400	30565411	5.4	30.1
jhu/daily	e2ff0c4220a6	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-17	56	3	1				-18	-22	-14	10			10	0.033			0.033				100	4			4	66.667			66.667	0.013			0.013	5.076			5.525	447400	30565411	5.4	30.1
jhu/daily	8bb29a0b2355	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-18	57	4	2				-17	-21	-13	15			15	0.049			0.049				100	5			5	50			50	0.016			0.016	6.345			6.906	447400	30565411	5.4	30.1
jhu/daily	222ee68a5c7e	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-19	58	5	3				-16	-20	-12	23			23	0.075			0.075				100	8			8	53.333			53.333	0.026			0.026	10.152			11.05	447400	30565411	5.4	30.1
jhu/daily	f9ccf81865d9	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-20	59	6	4				-15	-19	-11	33			33	0.108			0.108				100	10			10	43.478			43.478	0.033			0.033	12.69			13.812	447400	30565411	5.4	30.1
jhu/daily	99e4b0f27dd3	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-21	60	7	5				-14	-18	-10	43			43	0.141			0.141				100	10			10	30.303			30.303	0.033			0.033	12.69			13.812	447400	30565411	5.4	30.1
jhu/daily	660e6d4c664c	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-23	62	9	7				-12	-16	-8	46			46	0.15			0.15				100	3			3	6.977			6.977	0.01			0.01	3.807			4.144	447400	30565411	5.4	30.1
jhu/daily	635393286ef8	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-24	63	10	8				-11	-15	-7	50			50	0.164			0.164				100	4			4	8.696			8.696	0.013			0.013	5.076			5.525	447400	30565411	5.4	30.1
jhu/daily	27f2d06e4313	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-25	64	11	9				-10	-14	-6	60			60	0.196			0.196				100	10			10	20			20	0.033			0.033	12.69			13.812	447400	30565411	5.4	30.1
jhu/daily	1127b42aab33	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-26	65	12	10				-9	-13	-5	75			75	0.245			0.245				100	15			15	25			25	0.049			0.049	19.036			20.718	447400	30565411	5.4	30.1
jhu/daily	0b724c734b63	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-27	66	13	11				-8	-12	-4	88	1	5	82	0.288	0.003	0.016	0.268		1.136	5.682	93.182	13	1	5	7	17.333			9.333	0.043	0.003	0.016	0.023	16.497	100	69.444	9.669	447400	30565411	5.4	30.1
jhu/daily	6503d44506f8	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-28	67	14	12	1			-7	-11	-3	104	2	5	97	0.34	0.007	0.016	0.317		1.923	4.808	93.269	16	1		15	18.182	100		18.293	0.052	0.003		0.049	20.305	100		20.718	447400	30565411	5.4	30.1
jhu/daily	f7c732959b9b	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-29	68	15	13	2			-6	-10	-2	144	2	7	135	0.471	0.007	0.023	0.442		1.389	4.861	93.75	40		2	38	38.462		40	39.175	0.131		0.007	0.124	50.761		27.778	52.486	447400	30565411	5.4	30.1
jhu/daily	6e9c1452258d	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-30	69	16	14	3			-5	-9	-1	149	2	7	140	0.487	0.007	0.023	0.458		1.342	4.698	93.96	5			5	3.472			3.704	0.016			0.016	6.345			6.906	447400	30565411	5.4	30.1
jhu/daily	c807d50629f8	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-03-31	70	17	15	4			-4	-8	0	172	2	7	163	0.563	0.007	0.023	0.533		1.163	4.07	94.767	23			23	15.436			16.429	0.075			0.075	29.188			31.768	447400	30565411	5.4	30.1
jhu/daily	f5ce781994d2	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-01	71	18	16	5			-3	-7	1	181	2	12	167	0.592	0.007	0.039	0.546		1.105	6.63	92.265	9		5	4	5.233		71.429	2.454	0.029		0.016	0.013	11.421		69.444	5.525	447400	30565411	5.4	30.1
jhu/daily	1e0bb1156f00	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-02	72	19	17	6			-2	-6	2	205	2	25	178	0.671	0.007	0.082	0.582		0.976	12.195	86.829	24		13	11	13.26		108.333	6.587	0.079		0.043	0.036	30.457		180.556	15.193	447400	30565411	5.4	30.1
jhu/daily	f0883acd6b16	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-03	73	20	18	7			-1	-5	3	227	2	25	200	0.743	0.007	0.082	0.654		0.881	11.013	88.106	22			22	10.732			12.36	0.072			0.072	27.919			30.387	447400	30565411	5.4	30.1
jhu/daily	fb08dd9f3742	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-04	74	21	19	8			0	-4	4	266	2	25	239	0.87	0.007	0.082	0.782		0.752	9.398	89.85	39			39	17.181			19.5	0.128			0.128	49.492			53.867	447400	30565411	5.4	30.1
jhu/daily	978b5d137fef	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-05	75	22	20	9			1	-3	5	342	2	30	310	1.119	0.007	0.098	1.014		0.585	8.772	90.643	76		5	71	28.571		20	29.707	0.249		0.016	0.232	96.447		69.444	98.066	447400	30565411	5.4	30.1
jhu/daily	1662e94fd4e6	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-06	76	23	21	10			2	-2	6	457	2	30	425	1.495	0.007	0.098	1.39		0.438	6.565	92.998	115			115	33.626			37.097	0.376			0.376	145.939			158.84	447400	30565411	5.4	30.1
jhu/daily	9b439214b99b	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-07	77	24	22	11			3	-1	7	520	2	30	488	1.701	0.007	0.098	1.597		0.385	5.769	93.846	63			63	13.786			14.824	0.206			0.206	79.949			87.017	447400	30565411	5.4	30.1
jhu/daily	3a432dc93568	b6bbceb0fa8a	total-country	Uzbekistan	UZ	Uzbekistan			41	64	Asia	Central Asia	2020-04-08	78	25	23	12			4	0	8	545	3	30	512	1.783	0.01	0.098	1.675		0.55	5.505	93.945	25	1		24	4.808	50		4.918	0.082	0.003		0.079	31.726	100		33.149	447400	30565411	5.4	30.1
