dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	d9372684fc85	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-16	55	1					-17	-17		1			1								100	1			1									18.519			18.519				
jhu/daily	e8cd6ce211fb	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-17	56	2					-16	-16		2			2								100	1			1	100			100					18.519			18.519				
jhu/daily	e4c870fd1799	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-19	58	4					-14	-14		3			3								100	1			1	50			50					18.519			18.519				
jhu/daily	f40a2ca9deda	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-22	61	7					-11	-11		6			6								100	3			3	100			100					55.556			55.556				
jhu/daily	e869723114a1	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-23	62	8					-10	-10		7			7								100	1			1	16.667			16.667					18.519			18.519				
jhu/daily	678e5ecf80de	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-24	63	9	1				-9	-9		17			17								100	10			10	142.857			142.857					185.185			185.185				
jhu/daily	843ff36b76ca	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-27	66	12	4				-6	-6		19			19								100	2			2	11.765			11.765					37.037			37.037				
jhu/daily	c8b522a54958	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-28	67	13	5				-5	-5		24			24								100	5			5	26.316			26.316					92.593			92.593				
jhu/daily	a88e18be4575	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-29	68	14	6				-4	-4		25			25								100	1			1	4.167			4.167					18.519			18.519				
jhu/daily	eaf03e8bdbc3	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-30	69	15	7				-3	-3		32			32								100	7			7	28			28					129.63			129.63				
jhu/daily	55371d4e8447	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-03-31	70	16	8				-2	-2		33			33								100	1			1	3.125			3.125					18.519			18.519				
jhu/daily	fdb0f6f3dea5	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-03	73	19	11				1	1		40			40								100	7			7	21.212			21.212					129.63			129.63				
jhu/daily	94e552c75005	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-04	74	20	12				2	2		43			43								100	3			3	7.5			7.5					55.556			55.556				
jhu/daily	3b1d0044c1b1	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-05	75	21	13				3	3		45	1		44						2.222		97.778	2	1		1	4.651			2.326					37.037			18.519				
jhu/daily	b4d383013134	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-06	76	22	14				4	4		46	1		45						2.174		97.826	1			1	2.222			2.273					18.519			18.519				
jhu/daily	5999509e25ac	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-08	78	24	16				6	6		48	1		47						2.083		97.917	2			2	4.348			4.444					37.037			37.037				
jhu/daily	835d18aaae57	a2580f89a772	total-country	British Virgin Islands	VG	British Virgin Islands			18.431383	-64.62305	Americas	Caribbean	2020-04-10	80	26	18				8	8		53	1		52						1.887		98.113	5			5	10.417			10.638					92.593			92.593				
