dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	87ff86fe00d4	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-01-23	2	1					-62	-62		2			2	0.002025905763473983			0.002025905763473983				100	2			2					14.705882352941178			18.867924528301888	331210	98721275	6	31.9
jhu/daily	55f0fd62bde3	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-01	11	10					-53	-53		6		1	5	0.0060777172904219485		0.0010129528817369915	0.005064764408684957			16.666666666666664	83.33333333333334	4		1	3	200			150	29.411764705882355		8.064516129032258	28.30188679245283	331210	98721275	6	31.9
jhu/daily	5f5ac04aec83	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-03	13	12					-51	-51		8		1	7	0.008103623053895932		0.0010129528817369915	0.007090670172158939			12.5	87.5	2			2	33.333333333333336			40	14.705882352941178			18.867924528301888	331210	98721275	6	31.9
jhu/daily	f2d4cc5769ba	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-06	16	15	1				-48	-48		10		1	9	0.010129528817369914		0.0010129528817369915	0.009116575935632922			10	90	2			2	25			28.571428571428573	14.705882352941178			18.867924528301888	331210	98721275	6	31.9
jhu/daily	b5d317cb6c28	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-08	18	17	3				-46	-46		13		1	12	0.013168387462580887		0.0010129528817369915	0.012155434580843897			7.6923076923076925	92.3076923076923	3			3	30			33.333333333333336	22.058823529411764			28.30188679245283	331210	98721275	6	31.9
jhu/daily	3cbb2f3d41d0	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-10	20	19	5				-44	-44		14		1	13	0.014181340344317879		0.0010129528817369915	0.013168387462580887			7.142857142857142	92.85714285714286	1			1	7.6923076923076925			8.333333333333334	7.352941176470589			9.433962264150944	331210	98721275	6	31.9
jhu/daily	fc65822a2663	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-11	21	20	6				-43	-43		15		6	9	0.015194293226054872		0.0060777172904219485	0.009116575935632922			40	60	1		5	-4	7.142857142857143		500	-30.76923076923077	7.352941176470589		40.32258064516129	-37.735849056603776	331210	98721275	6	31.9
jhu/daily	420415f4ae48	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-13	23	22	8				-41	-41		16		7	9	0.016207246107791864		0.007090670172158939	0.009116575935632922			43.75	56.25	1		1		6.666666666666667		16.666666666666668		7.352941176470589		8.064516129032258		331210	98721275	6	31.9
jhu/daily	07cae15aa1bc	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-21	31	30	16				-33	-33		16		14	2	0.016207246107791864		0.014181340344317879	0.002025905763473983			87.5	12.5			7	-7			100	-77.77777777777777			56.4516129032258	-66.03773584905662	331210	98721275	6	31.9
jhu/daily	fc6c6bffb031	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-02-25	35	34	20				-29	-29		16		16		0.016207246107791864		0.016207246107791864				100				2	-2			14.285714285714286	-100			16.129032258064516	-18.867924528301888	331210	98721275	6	31.9
jhu/daily	3653ad4430f6	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-07	46	45	31				-18	-18		18		16	2	0.018233151871265844		0.016207246107791864	0.002025905763473983			88.88888888888889	11.11111111111111	2			2	12.5				14.705882352941178			18.867924528301888	331210	98721275	6	31.9
jhu/daily	99fda3d69b34	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-08	47	46	32				-17	-17		30		16	14	0.030388586452109744		0.016207246107791864	0.014181340344317879			53.333333333333336	46.666666666666664	12			12	66.66666666666667			600	88.23529411764706			113.20754716981132	331210	98721275	6	31.9
jhu/daily	095eb16fd6de	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-10	49	48	34				-15	-15		31		16	15	0.031401539333846734		0.016207246107791864	0.015194293226054872			51.61290322580645	48.38709677419355	1			1	3.3333333333333335			7.142857142857143	7.352941176470589			9.433962264150944	331210	98721275	6	31.9
jhu/daily	615c5c81b701	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-11	50	49	35				-14	-14		38		16	22	0.038492209506005674		0.016207246107791864	0.02228496339821381			42.10526315789473	57.89473684210527	7			7	22.580645161290324			46.666666666666664	51.47058823529412			66.03773584905662	331210	98721275	6	31.9
jhu/daily	31b55ed92b99	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-12	51	50	36				-13	-13		39		16	23	0.03950516238774267		0.016207246107791864	0.023297916279950804			41.02564102564102	58.97435897435898	1			1	2.6315789473684212			4.545454545454546	7.352941176470589			9.433962264150944	331210	98721275	6	31.9
jhu/daily	c57d7cc369cb	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-13	52	51	37				-12	-12		47		16	31	0.047608785441638594		0.016207246107791864	0.031401539333846734			34.04255319148936	65.95744680851064	8			8	20.512820512820515			34.78260869565217	58.82352941176471			75.47169811320755	331210	98721275	6	31.9
jhu/daily	49871348f0c1	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-14	53	52	38				-11	-11		53		16	37	0.05368650273206054		0.016207246107791864	0.03747925662426868			30.18867924528302	69.81132075471697	6			6	12.76595744680851			19.35483870967742	44.11764705882353			56.60377358490566	331210	98721275	6	31.9
jhu/daily	58e85d67ee3b	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-15	54	53	39				-10	-10		56		16	40	0.056725361377271515		0.016207246107791864	0.040518115269479654			28.57142857142857	71.42857142857143	3			3	5.660377358490566			8.108108108108109	22.058823529411764			28.30188679245283	331210	98721275	6	31.9
jhu/daily	803f8cd1ccc9	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-16	55	54	40				-9	-9		61		16	45	0.061790125785956475		0.016207246107791864	0.045582879678164615			26.229508196721312	73.77049180327869	5			5	8.928571428571429			12.5	36.76470588235294			47.16981132075472	331210	98721275	6	31.9
jhu/daily	952a705658b7	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-17	56	55	41				-8	-8		66		16	50	0.06685489019464143		0.016207246107791864	0.050647644086849575			24.242424242424242	75.75757575757575	5			5	8.19672131147541			11.11111111111111	36.76470588235294			47.16981132075472	331210	98721275	6	31.9
jhu/daily	e72b4bbaf9a6	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-18	57	56	42				-7	-7		75		16	59	0.07597146613027436		0.016207246107791864	0.05976422002248249			21.333333333333336	78.66666666666666	9			9	13.636363636363637			18	66.17647058823529			84.90566037735849	331210	98721275	6	31.9
jhu/daily	770c40515a8c	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-19	58	57	43				-6	-6		85		16	69	0.08610099494764427		0.016207246107791864	0.0698937488398524			18.823529411764707	81.17647058823529	10			10	13.333333333333334			16.949152542372882	73.52941176470588			94.33962264150944	331210	98721275	6	31.9
jhu/daily	9518be2403d9	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-20	59	58	44				-5	-5		91		16	75	0.09217871223806622		0.016207246107791864	0.07597146613027436			17.582417582417584	82.41758241758241	6			6	7.0588235294117645			8.695652173913043	44.11764705882353			56.60377358490566	331210	98721275	6	31.9
jhu/daily	e6e888bf497f	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-21	60	59	45				-4	-4		94		17	77	0.09521757088327719		0.017220198989528854	0.07799737189374835			18.085106382978726	81.91489361702128	3		1	2	3.2967032967032965		6.25	2.6666666666666665	22.058823529411764		8.064516129032258	18.867924528301888	331210	98721275	6	31.9
jhu/daily	bc7cb5bd4f62	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-22	61	60	46	1			-3	-3		113		17	96	0.11446367563628004		0.017220198989528854	0.09724347664675118			15.04424778761062	84.95575221238938	19			19	20.21276595744681			24.675324675324674	139.7058823529412			179.24528301886792	331210	98721275	6	31.9
jhu/daily	68686ca75efe	dd3f190e091d	total-country	Vietnam	VN	Vietnam			16.16666666	107.83333333	Asia	South-Eastern Asia	2020-03-23	62	61	47	2			-2	-2		123		17	106	0.12459320445364994		0.017220198989528854	0.10737300546412108			13.821138211382115	86.1788617886179	10			10	8.849557522123893			10.416666666666666	73.52941176470588			94.33962264150944	331210	98721275	6	31.9
