dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	2efaed052804	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-20	59	1					-10	-11	-10	1			1	0.006874593797438993			0.006874593797438993				100	1			1					71.42857142857143			71.42857142857143	390757	14546314	9.3	20.5
jhu/daily	1df6819f147f	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-21	60	2					-9	-10	-9	3			3	0.020623781392316982			0.020623781392316982				100	2			2	200			200	142.85714285714286			142.85714285714286	390757	14546314	9.3	20.5
jhu/daily	e3f4b405e396	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-23	62	4					-7	-8	-7	3	1		2	0.020623781392316982	0.006874593797438993		0.013749187594877987		33.33333333333333		66.66666666666666		1		-1				-33.333333333333336		100		-71.42857142857143	390757	14546314	9.3	20.5
jhu/daily	aabf3c1989f5	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-27	66	8					-3	-4	-3	5	1		4	0.03437296898719497	0.006874593797438993		0.027498375189755973		20		80	2			2	66.66666666666667			100	142.85714285714286			142.85714285714286	390757	14546314	9.3	20.5
jhu/daily	84a4cab15aa5	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-28	67	9					-2	-3	-2	7	1		6	0.04812215658207296	0.006874593797438993		0.041247562784633963		14.285714285714285		85.71428571428571	2			2	40			50	142.85714285714286			142.85714285714286	390757	14546314	9.3	20.5
jhu/daily	b4b699fdbf4c	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-03-31	70	12					0	0	1	8	1		7	0.05499675037951195	0.006874593797438993		0.04812215658207296		12.5		87.5	1			1	14.285714285714286			16.666666666666668	71.42857142857143			71.42857142857143	390757	14546314	9.3	20.5
jhu/daily	26a76a6b9b64	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-04-02	72	14					2	2	3	9	1		8	0.06187134417695094	0.006874593797438993		0.05499675037951195		11.11111111111111		88.88888888888889	1			1	12.5			14.285714285714286	71.42857142857143			71.42857142857143	390757	14546314	9.3	20.5
jhu/daily	2b5b39a1dc59	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-04-06	76	18	1				6	6	7	10	1		9	0.06874593797438994	0.006874593797438993		0.06187134417695094		10		90	1			1	11.11111111111111			12.5	71.42857142857143			71.42857142857143	390757	14546314	9.3	20.5
jhu/daily	7b6a53fa74c4	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-04-07	77	19	2				7	7	8	11	2		9	0.07562053177182892	0.013749187594877987		0.06187134417695094		18.181818181818183		81.81818181818183	1	1			10	100			71.42857142857143	100			390757	14546314	9.3	20.5
jhu/daily	ef3fc1eb6ff4	590c7a5b1398	total-country	Zimbabwe	ZW	Zimbabwe			-20	30	Africa	Eastern Africa	2020-04-08	78	20	3				8	8	9	11	3		8	0.07562053177182892	0.020623781392316982		0.05499675037951195		27.27272727272727		72.72727272727273		1		-1		50		-11.11111111111111		100		-71.42857142857143	390757	14546314	9.3	20.5
